p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
3.444979332526541e-6,0.1654899476499701,1,4.925799405673541,0.34827191282727255,0.48859543035300435,0.20794839530154072,0.0707036328816258,105,chr19,3571445,cg11431762,HMG20B,0.34827191282727255,3.444979332526541e-6,5.4628133792125535,chr19,3571445,HMG20B,19,3571445,1
9.127839914538862e-5,0.1654899476499701,1,4.083105481033614,0.3123004628651833,0.4641001099897638,0.16050081574060285,0.07648601397045621,105,chr20,60500578,cg00704664,CDH4,0.3123004628651833,9.127839914538862e-5,4.03963198524651,chr20,60500578,CDH4,20,60500578,1
3.1559710624281504e-4,0.1654899476499701,1,-3.7359142596043218,-0.2995091411199677,-0.1403975148055651,-0.4586207674343703,0.08017023954711672,105,chrX,111621927,cg26287822,ZCCHC16,-0.2995091411199677,3.1559710624281504e-4,3.50086698755558,chrX,111621927,ZCCHC16,23,111621927,1
2.2874419168489535e-4,0.1654899476499701,1,3.827891053289857,0.2860232976705924,0.43431968604396876,0.13772690929721607,0.07472085639030178,105,chr7,158541253,cg13211008,ESYT2,0.2860232976705924,2.2874419168489535e-4,3.6406499248078528,chr7,158541253,ESYT2,7,158541253,1
6.274854866549073e-4,0.16575576537727119,1,-3.5344471395452226,-0.2530875676693325,-0.1109731778650277,-0.3952019574736373,0.07160598466381288,105,chr17,113262,cg16767880,RPH3AL,-0.2530875676693325,6.274854866549073e-4,3.202396314689283,chr17,113262,RPH3AL,17,113262,1
5.510119335773892e-4,0.1654899476499701,1,3.5731097172355266,0.23210734949929535,0.3610306080351827,0.10318409096340797,0.06495948007968647,105,chr5,166334599,cg02079756,CTB-7E3.1,0.23210734949929535,5.510119335773892e-4,3.2588389952848993,chr5,166334599,CTB-7E3.1,5,166334599,1
0.0011756785847654803,0.1670448720365366,1,3.343575225639132,0.23090121260275562,0.3679590416780056,0.09384338352750565,0.06905817785469993,105,chr10,81173663,cg23187802,ZCCHC24,0.23090121260275562,0.0011756785847654803,2.929711392496192,chr10,81173663,ZCCHC24,10,81173663,1
0.012197843756995185,0.21918435627112057,1,-2.5541538625536906,-0.21276488906950577,-0.047438706013438886,-0.3780910721255727,0.08330151608673234,105,chr8,109235928,cg08603678,EIF3E,-0.21276488906950577,0.012197843756995185,1.9137169338500515,chr8,109235928,EIF3E,8,109235928,1
0.011672363626117543,0.21689112520992507,1,-2.5705032668280303,-0.2101447460104096,-0.04789310059911692,-0.37239639142170233,0.08175237461173339,105,chr6,31087240,cg06792428,CDSN,-0.2101447460104096,0.011672363626117543,1.932841191440473,chr6,31087240,CDSN;PSORS1C1,6,31087240,1
0.0010959805164133278,0.1670448720365366,1,-3.365268777853693,-0.2061661747535046,-0.08457938547140696,-0.3277529640356022,0.061262914900067404,105,chr10,128824401,cg02788935,DOCK1,-0.2061661747535046,0.0010959805164133278,2.9601971663711675,chr10,128824401,DOCK1;DOCK1,10,128824401,1
