p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0034661132617212543,0.438196559230421,1,-2.980699886172893,-0.19598103897595887,-0.06583496993395738,-0.32612710801796035,0.06575000719968195,131,chr20,42574362,cg26365090,TOX2,-0.19598103897595887,0.0034661132617212543,2.460157250007309,chr20,42574362,TOX2;TOX2;TOX2;TOX2,20,42574362,1
0.006439324670011969,0.438196559230421,1,-2.77185167464113,-0.195501607139678,-0.05589190664157789,-0.33511130763777813,0.0705310493083976,131,chr19,2340235,cg23803868,SPPL2B,-0.195501607139678,0.006439324670011969,2.191159677277822,chr19,2340235,SPPL2B;SPPL2B,19,2340235,1
7.095695590877374e-4,0.438196559230421,1,-3.4734891340241836,-0.1912004985223119,-0.08224269842559107,-0.30015829861903276,0.05504565903184447,131,chr7,150412715,cg02355809,GIMAP1,-0.1912004985223119,7.095695590877374e-4,3.14900502424143,chr7,150412715,GIMAP1,7,150412715,1
0.0014416119342954828,0.438196559230421,1,-3.2598046150267943,-0.1864972484924782,-0.07325301177242312,-0.2997414852125333,0.05721117383317321,131,chr20,61565484,cg09864671,DIDO1,-0.1864972484924782,0.0014416119342954828,2.841151631070048,chr20,61565484,DIDO1;DIDO1;DIDO1,20,61565484,1
0.0022262068590195683,0.438196559230421,1,3.123777144083767,0.18562047959585423,0.303240458695766,0.06800050049594249,0.05942180604893901,131,chr6,33033176,cg12858166,HLA-DPA1,0.18562047959585423,0.0022262068590195683,2.6524344835068168,chr6,33033176,HLA-DPA1,6,33033176,1
0.015185754813012193,0.44687564094646914,1,2.462345546347672,0.17972537173559197,0.3242013495973176,0.03524939387386633,0.0729895006012351,131,chr7,624424,cg10117599,PRKAR1B,0.17972537173559197,0.015185754813012193,1.8185636164570134,chr7,624424,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,7,624424,1
0.017630575677626277,0.45136031434217033,1,-2.405643814617516,-0.17854364485330465,-0.031634672198592395,-0.3254526175080169,0.07421865355478326,131,chr18,42526328,cg17237138,SETBP1,-0.17854364485330465,0.017630575677626277,1.7537335067854962,chr18,42526328,SETBP1,18,42526328,1
0.006097860952051667,0.438196559230421,1,2.7906693799921705,0.17565028039492864,0.30023813592838877,0.05106242486146849,0.06294198863335844,131,chr6,33036958,cg11437465,HLA-DPA1,0.17565028039492864,0.006097860952051667,2.214822482962632,chr6,33036958,HLA-DPA1,6,33036958,1
0.00572576141524153,0.438196559230421,1,-2.8123023027677454,-0.17459205396520652,-0.05170737983307194,-0.2974767280973411,0.06208153860037757,131,chr7,157982161,cg06012903,PTPRN2,-0.17459205396520652,0.00572576141524153,2.2421667524029303,chr7,157982161,PTPRN2;PTPRN2;PTPRN2,7,157982161,1
0.009685794125942799,0.4395267960544565,1,2.6278272814162174,0.1696086010911927,0.29736607188539566,0.04185113029698975,0.06454328345346402,131,chr3,195709661,cg01029331,SDHAP1,0.1696086010911927,0.009685794125942799,2.0138647662328224,chr3,195709661,SDHAP1,3,195709661,1
0.012609649946610181,0.4436224102797152,1,-2.5316858059644782,-0.16945666613697827,-0.036966360605120874,-0.30194697166883566,0.06693431931314303,131,chr12,3384898,cg20089799,TSPAN9,-0.16945666613697827,0.012609649946610181,1.8992969696018376,chr12,3384898,TSPAN9;TSPAN9,12,3384898,1
0.041571548708354944,0.5051528181063378,1,2.059310749010499,0.16443225261418679,0.3224843889407253,0.006380116287648285,0.07984819808918914,131,chr1,236702902,cg03013609,LGALS8,0.16443225261418679,0.041571548708354944,1.3812037959661445,chr1,236702902,LGALS8;LGALS8;LGALS8;LGALS8,1,236702902,1
0.004432405636067345,0.438196559230421,1,2.8990739122462355,0.1615752384910293,0.271894353226401,0.05125612375565766,0.05573339741650084,131,chr12,53070144,cg12087615,KRT1,0.1615752384910293,0.004432405636067345,2.353360501563814,chr12,53070144,KRT1,12,53070144,1
0.0019467610114671308,0.438196559230421,1,3.1662083893756034,0.1579433837249463,0.2566843091148194,0.05920245833507319,0.04988407719938287,131,chr6,33038766,cg09312328,HLA-DPA1,0.1579433837249463,0.0019467610114671308,2.7106873601243593,chr6,33038766,HLA-DPA1;HLA-DPA1;HLA-DPA1,6,33038766,1
0.029104411731970554,0.4777478719762765,1,-2.2078724739534765,-0.15640081793420677,-0.01618394244562618,-0.2966176934227873,0.07083779510786291,131,chr15,58750131,cg01104393,LOC101928694,-0.15640081793420677,0.029104411731970554,1.5360411743945959,chr15,58750131,LOC101928694;LIPC,15,58750131,1
0.010195480786269424,0.4399715487047861,1,2.6093353183103134,0.15621921633699823,0.2747250726021443,0.03771336007185215,0.05986935264347652,131,chr6,167524238,cg10482512,CCR6,0.15621921633699823,0.010195480786269424,1.9915922894640194,chr6,167524238,CCR6,6,167524238,1
