probeID,gene,chromosome,position,beta_delta,p_value,FDR,comparison
cg23414262,CHSY3,5,129338100,-0.16139444543602846,8.647694899224672e-13,7.472922842554798e-7,C2_severe_nonatopic_vs_rest
cg00251121,UVRAG,11,75631360,-0.15121778055846605,2.276977819271777e-10,9.838274682396723e-5,C2_severe_nonatopic_vs_rest
cg02401524,NA,10,134833335,-0.19887347443614442,6.302456716276017e-10,1.8154268587611177e-4,C2_severe_nonatopic_vs_rest
cg14632071,TTLL11,9,124616283,-0.11742241582249278,3.4605083635806236e-9,7.476013058512307e-4,C2_severe_nonatopic_vs_rest
cg11606607,RNF213,17,78264297,-0.3240160147771866,7.560412481100993e-9,0.001306669113273677,C2_severe_nonatopic_vs_rest
cg06893139,ADAMTS12,5,33852528,-0.06387627809337669,1.4163799861405565e-8,0.002039945996305557,C2_severe_nonatopic_vs_rest
cg19726630,CMTM8,3,32400704,0.3030131719109389,1.9816648904732906e-8,0.002446370969188964,C2_severe_nonatopic_vs_rest
cg11398095,GLI2,2,121717644,-0.1962235692775401,1.0144238113213842e-7,0.01095770456751246,C2_severe_nonatopic_vs_rest
cg13750061,CD3G,11,118344130,-0.10552129743665649,1.5941320163111685e-7,0.015306359668436988,C2_severe_nonatopic_vs_rest
cg09696135,TECTA,11,121025856,-0.06859454860310193,2.0552934662883543e-7,0.01776085959480014,C2_severe_nonatopic_vs_rest
cg08571639,LRRFIP1,2,238639895,-0.234168410764857,2.5068339744155537e-7,0.01830220721784518,C2_severe_nonatopic_vs_rest
cg18363564,IQCF3,3,51827889,-0.16072798663619636,2.8307621790763927e-7,0.01830220721784518,C2_severe_nonatopic_vs_rest
cg11388547,LOC286135,8,29778333,-0.1467034030563419,2.8349087610987866e-7,0.01830220721784518,C2_severe_nonatopic_vs_rest
cg13866190,FLJ14107,8,22642263,-0.1597965852957991,3.172651269987648e-7,0.01830220721784518,C2_severe_nonatopic_vs_rest
cg12218999,NA,6,33248472,0.03331180436239362,3.1769076304594296e-7,0.01830220721784518,C2_severe_nonatopic_vs_rest
cg20968069,NA,7,7924714,-0.08610165407455841,3.7254542612487215e-7,0.02012099219229128,C2_severe_nonatopic_vs_rest
cg09192059,DMD,23,31266915,0.06317574556889767,4.584140610354648e-7,0.023302319274818763,C2_severe_nonatopic_vs_rest
cg01024679,NA,4,158394288,0.13003477873670868,5.424748882659574e-7,0.026043375535822425,C2_severe_nonatopic_vs_rest
cg01686178,ST6GALNAC1,17,74641236,-0.13341401090356314,5.773397263230575e-7,0.02613504665868478,C2_severe_nonatopic_vs_rest
cg27325096,NA,6,10482947,-0.1731823892093191,6.048715193318949e-7,0.02613504665868478,C2_severe_nonatopic_vs_rest
cg23441066,CORIN,4,47625753,-0.07545816836026509,6.579841371194285e-7,0.0270761099076204,C2_severe_nonatopic_vs_rest
cg22849321,NA,6,113128231,0.2518580133957209,7.752831857862322e-7,0.02877705727097002,C2_severe_nonatopic_vs_rest
cg03529720,TBCD,17,80748264,-0.22359101965873307,7.92356557241058e-7,0.02877705727097002,C2_severe_nonatopic_vs_rest
cg24428529,NA,14,66537014,-0.15016088897578647,7.992220980837635e-7,0.02877705727097002,C2_severe_nonatopic_vs_rest
cg05075169,NA,21,37531869,0.13830405987450967,8.842373682399977e-7,0.030564619609573223,C2_severe_nonatopic_vs_rest
cg10479493,MLN,6,33772694,-0.12241364972938869,9.769230144124713e-7,0.03246961449040638,C2_severe_nonatopic_vs_rest
cg13020736,COL23A1,5,177983110,-0.03512610988623209,1.0204773371979752e-6,0.03266101969978906,C2_severe_nonatopic_vs_rest
cg16434774,PDE4B,1,66723453,-0.2123011883025622,1.1149672208494576e-6,0.03441075549398216,C2_severe_nonatopic_vs_rest
cg03867979,NA,6,170479824,-0.13594499252141365,1.156211411618736e-6,0.03445318633700531,C2_severe_nonatopic_vs_rest
cg07244177,NA,4,153516867,-0.12471184419317356,1.374557767913929e-6,0.03959422814194525,C2_severe_nonatopic_vs_rest
cg12226682,NA,10,135158973,-0.23476351720293584,1.7253019416861166e-6,0.04797620036184258,C2_severe_nonatopic_vs_rest
cg02747151,ATP10A,15,25981177,-0.17067920162901218,1.7947277203836622e-6,0.04797620036184258,C2_severe_nonatopic_vs_rest
cg24996315,NA,11,134503390,0.123413564305442,1.8321020051342877e-6,0.04797620036184258,C2_severe_nonatopic_vs_rest
