probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg23414262,phenotype_signature_C2_vs_rest,8.124916573787863e-4,9.402184539048527e-10,1,-0.1520172981504105,CHSY3,5,129338100
cg19726630,phenotype_signature_C2_vs_rest,0.01658979805310408,3.8395555534452454e-8,1,0.3332627762445715,CMTM8,3,32400704
cg01635668,phenotype_signature_C1_vs_rest,0.01706160070070118,2.7977286637046586e-8,1,-0.05063404523010061,SLC24A3,20,19213673
cg19833642,phenotype_signature_C1_vs_rest,0.01706160070070118,8.853900632811816e-8,1,-0.02431061362628231,ZNF521,18,25329109
cg02741985,phenotype_signature_C1_vs_rest,0.01706160070070118,9.705857276414544e-8,1,-0.08968066325699298,CCDC57,17,82101532
cg24112090,phenotype_signature_C1_vs_rest,0.01706160070070118,1.710167328250891e-7,1,-0.02127277485351204,RIN3,14,92519603
cg04973399,phenotype_signature_C1_vs_rest,0.01706160070070118,1.952878425209912e-7,1,-0.09583438058982208,MIR5095,16,48394014
cg20337696,phenotype_signature_C1_vs_rest,0.01706160070070118,2.031475427918919e-7,1,-0.07448169725220298,SNX21,20,45836974
cg13859771,phenotype_signature_C1_vs_rest,0.01706160070070118,2.0367225176630998e-7,1,-0.0667727958213308,ENTPD7,10,99661385
cg10433549,phenotype_signature_C1_vs_rest,0.01706160070070118,2.174970186844983e-7,1,-0.0856956771165958,NA,17,43395380
cg17278724,phenotype_signature_C1_vs_rest,0.01706160070070118,2.221901428121322e-7,1,-0.09058672762597308,NA,1,229142381
cg10549984,phenotype_signature_C1_vs_rest,0.01706160070070118,2.292762209898173e-7,1,-0.08739729592838402,NA,1,207537034
cg20620049,phenotype_signature_C1_vs_rest,0.01706160070070118,2.3399420257540273e-7,1,-0.03573548803785927,NA,12,64534989
cg17624978,phenotype_signature_C1_vs_rest,0.01706160070070118,2.694178318127333e-7,1,-0.02197768603087557,SMYD3,1,246011807
cg03181212,phenotype_signature_C1_vs_rest,0.01706160070070118,2.820036353749856e-7,1,-0.10857223626538856,AKAP13,15,85477232
cg07410082,phenotype_signature_C1_vs_rest,0.01706160070070118,3.0446140592366616e-7,1,-0.05164553834682157,NA,10,134140238
cg13290417,phenotype_signature_C1_vs_rest,0.01706160070070118,3.147510682625427e-7,1,-0.08885225690267239,OGDH,7,44670945
cg10393540,phenotype_signature_C1_vs_rest,0.01706160070070118,3.746776826390008e-7,1,-0.01315958554128833,MRC2,17,62657233
cg03119748,phenotype_signature_C1_vs_rest,0.01706160070070118,3.799654355858578e-7,1,-0.0552495723935082,CAMK1D,10,12629812
cg19448292,phenotype_signature_C1_vs_rest,0.01706160070070118,3.892723946990007e-7,1,-0.1005153265193987,C20orf118,20,36875661
cg16730961,phenotype_signature_C1_vs_rest,0.01706160070070118,3.93338486776133e-7,1,-0.02863438046303393,SERINC5,5,80204430
cg26057482,phenotype_signature_C1_vs_rest,0.01706160070070118,4.226209627383162e-7,1,-0.08986352629004504,HMGXB3,5,150050361
cg22864884,phenotype_signature_C1_vs_rest,0.01706160070070118,4.650051145145394e-7,1,-0.06034113638093694,NA,3,194575080
cg24600621,phenotype_signature_C1_vs_rest,0.01706160070070118,4.792265130041957e-7,1,-0.03694434584031132,SLC16A12,10,89502991
cg15756055,phenotype_signature_C1_vs_rest,0.01706160070070118,5.190153278782976e-7,1,-0.04004549322651115,MAP4K3,2,39418814
cg21294295,phenotype_signature_C1_vs_rest,0.01706160070070118,5.335839790262935e-7,1,-0.02048362951631622,NA,10,131923210
cg12629001,phenotype_signature_C1_vs_rest,0.01706160070070118,5.408046060609232e-7,1,-0.05692411183165753,RUSC2,9,35537852
cg18367488,phenotype_signature_C1_vs_rest,0.01706160070070118,5.533381230841706e-7,1,-0.08897392483990581,NA,11,47916382
cg07415654,phenotype_signature_C1_vs_rest,0.01706160070070118,5.735591619409299e-7,1,-0.02416135374992175,ANKRD28,3,15756343
cg00361062,phenotype_signature_C1_vs_rest,0.01706160070070118,5.807428111642531e-7,1,-0.02757754357692733,EPHB6,7,142567520
