p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
7.710773900704599e-5,0.025308988760233252,1,4.154731493859054,0.30830777780593344,0.45584496496998106,0.1607705906418858,0.07420642663951475,93,chrX,111621927,cg26287822,ZCCHC16,0.30830777780593344,7.710773900704599e-5,4.112902031295553,chrX,111621927,ZCCHC16,23,111621927,1
1.3547433604781072e-5,0.02113619674653978,1,-4.619152625553361,-0.28661412188701824,-0.1632481874020335,-0.40998005637200297,0.062049069411877836,93,chr7,158541253,cg13211008,ESYT2,-0.28661412188701824,1.3547433604781072e-5,4.868142968763467,chr7,158541253,ESYT2,7,158541253,1
2.074527475895629e-4,0.030062192386101024,1,-3.8768682676381765,-0.2641491052581305,-0.12868380000915577,-0.3996144105071052,0.06813466102603806,93,chr20,60500578,cg00704664,CDH4,-0.2641491052581305,2.074527475895629e-4,3.683080808822072,chr20,60500578,CDH4,20,60500578,1
7.525121988242374e-5,0.025187274625999016,1,-4.161436463985371,-0.2610328797195561,-0.136319822237368,-0.38574593720174416,0.06272662864821614,93,chr17,77187045,cg25561557,RBFOX3,-0.2610328797195561,7.525121988242374e-5,4.123486455416365,chr17,77187045,RBFOX3,17,77187045,1
0.0013473065936047913,0.049810014957144585,1,3.3150500162649235,0.2506677922547535,0.40100567549280375,0.10032990901670322,0.07561508605447276,93,chr20,57463991,cg09885502,GNAS,0.2506677922547535,0.0013473065936047913,2.8705335648118706,chr20,57463991,GNAS;GNAS;GNAS;GNAS,20,57463991,1
4.927039672640828e-4,0.03674840373489447,1,-3.6238740412611192,-0.2382037217660319,-0.10751580683808215,-0.3688916366939817,0.06573178842693338,93,chr19,3571445,cg11431762,HMG20B,-0.2382037217660319,4.927039672640828e-4,3.307413940761497,chr19,3571445,HMG20B,19,3571445,1
4.7567981809408207e-4,0.036283743441728245,1,3.63436750504371,0.23031802809937793,0.356314699830632,0.10432135636812387,0.06337224504119264,93,chr15,29669193,cg01476442,FAM189A1,0.23031802809937793,4.7567981809408207e-4,3.322685274218753,chr15,29669193,FAM189A1,15,29669193,1
2.5196983905770846e-5,0.02237494264552987,1,4.456483903251079,0.23029840599304152,0.33304290294632066,0.12755390903976235,0.05167715423027446,93,chr4,189026860,cg25569462,TRIML2,0.23029840599304152,2.5196983905770846e-5,4.598651441419797,chr4,189026860,TRIML2,4,189026860,1
0.001903333232666521,0.05665952046833302,1,3.2046865385913392,0.22551199236670877,0.36542048132559096,0.08560350340782658,0.07036943852419196,93,chr5,109180462,cg00258945,MAN2A1,0.22551199236670877,0.001903333232666521,2.720485169443539,chr5,109180462,MAN2A1,5,109180462,1
0.0027915787403410314,0.06536820809731149,1,3.0793816817290063,0.2093703039618794,0.3445500237645072,0.07419058415925156,0.06799102079620169,93,chr20,62402415,cg05867245,ZBTB46,0.2093703039618794,0.0027915787403410314,2.554150117763998,chr20,62402415,ZBTB46,20,62402415,1
