p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.042913386985588914,0.8633999159891363,1,-4.057409547476068,-1.1212948965121299,-0.07911402882056318,-2.163475764203697,0.2763573367173735,10,chr12,123757860,cg09084244,CDK2AP1,-1.1212948965121299,0.042913386985588914,1.3674072069517864,chr12,123757860,CDK2AP1,12,123757860,1
0.010524513475403393,0.8633999159891363,1,-7.695005718179611,-1.0596645639426152,-0.5403487329494161,-1.5789803949358143,0.13770809311280116,10,chr21,31709690,cg05809586,KRTAP27-1,-1.0596645639426152,0.010524513475403393,1.977797971485775,chr21,31709690,KRTAP27-1,21,31709690,1
0.003206780802905358,0.8633999159891363,1,-12.944250641810006,-1.0449178455958708,-0.7404949376883698,-1.3493407535033717,0.08072447563868858,10,chrX,51136134,cg08960045,NA,-1.0449178455958708,0.003206780802905358,2.4939307249303395,chrX,51136134,,23,51136134,1
4.1438459737094216e-4,0.8633999159891363,1,-31.314670320829094,-1.0183130887470293,-0.8956805894139571,-1.1409455880801016,0.0325187229600081,10,chr19,17015427,cg22508145,CPAMD8,-1.0183130887470293,4.1438459737094216e-4,3.3825963956400553,chr19,17015427,CPAMD8,19,17015427,1
0.035703366225916,0.8633999159891363,1,-4.425103919758627,-0.9705434550506096,-0.14343281343539516,-1.7976540966658239,0.2193267034288201,10,chr14,21955356,cg12509997,TOX4,-0.9705434550506096,0.035703366225916,1.4472908353046092,chr14,21955356,TOX4;TOX4,14,21955356,1
0.01612633843011915,0.8633999159891363,1,-6.363363213273148,-0.9702933269775574,-0.39526607285449744,-1.5453205811006174,0.15248121071474466,10,chr17,80627638,cg15250633,RAB40B,-0.9702933269775574,0.01612633843011915,1.7924642302621407,chr17,80627638,RAB40B,17,80627638,1
3.2955622941164756e-4,0.8633999159891363,1,-34.55824587155556,-0.9484713907233363,-0.8449703676140238,-1.0519724138326487,0.027445588362574002,10,chr17,80043349,cg03407524,FASN,-0.9484713907233363,3.2955622941164756e-4,3.482070474727694,chr17,80043349,FASN,17,80043349,1
0.01952075887899983,0.8633999159891363,1,-5.839093815876241,-0.9377855652163627,-0.33212375811718153,-1.5434473723155437,0.16060464085481288,10,chr5,404713,cg08238319,AHRR,-0.9377855652163627,0.01952075887899983,1.70950330293184,chr5,404713,AHRR;LOC100310782,5,404713,1
0.08044919778287128,0.8706454324559278,1,-2.9781401873163706,-0.9280681225764326,0.24711843771373376,-2.103254682866599,0.31162674159161163,10,chr1,167393634,cg08146708,NA,-0.9280681225764326,0.08044919778287128,1.094478282207703,chr1,167393634,,1,167393634,1
1.038534078344265e-4,0.8633999159891363,1,-56.78053979785197,-0.9255059907518702,-0.8640376040506175,-0.986974377453123,0.016299703983914615,10,chr1,227189106,cg08332381,CDC42BPA,-0.9255059907518702,1.038534078344265e-4,3.983579248003181,chr1,227189106,CDC42BPA;CDC42BPA,1,227189106,1
0.002363461218744087,0.8633999159891363,1,-14.775419379235426,-0.9024643725744002,-0.6721280935339516,-1.1328006516148486,0.06107876530683621,10,chr11,120233535,cg10738003,ARHGEF12,-0.9024643725744002,0.002363461218744087,2.62645151949757,chr11,120233535,ARHGEF12,11,120233535,1
