p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
2.9243651913099094e-4,0.24214519710134105,1,3.996633536236385,0.39457467399664065,0.5945752048098929,0.19457414318338837,0.09872675851291837,45,chr7,20010777,cg04456492,NA,0.39457467399664065,2.9243651913099094e-4,3.533968394139829,chr7,20010777,,7,20010777,1
0.003368172853489519,0.2994138210950119,1,-3.1327636267465713,-0.38772060858955226,-0.13700144618996024,-0.6384397709891443,0.12376312252840051,45,chr19,1987279,cg01688609,BTBD2,-0.38772060858955226,0.003368172853489519,2.4726056287548177,chr19,1987279,BTBD2,19,1987279,1
0.0229703757128939,0.4450150456910367,1,-2.372060216787864,-0.36570214125108613,-0.05338338704006984,-0.6780208954621024,0.1541706819510271,45,chr6,29648468,cg06032337,NA,-0.36570214125108613,0.0229703757128939,1.6388319012480668,chr6,29648468,,6,29648468,1
0.009920125229164148,0.367501318735551,1,-2.717757752446859,-0.3642756361946974,-0.09274699123487579,-0.635804281154519,0.13403535906271696,45,chr19,12766186,cg11738485,HOOK2,-0.3642756361946974,0.009920125229164148,2.0034828453869826,chr19,12877000,HOOK2;HOOK2,19,12766186,1
0.008652394714393462,0.35692368847810674,1,2.771909117677658,0.3623907400398659,0.6272373236259782,0.09754415645375358,0.13073687651905472,45,chr16,87248612,cg09916840,NA,0.3623907400398659,0.008652394714393462,2.062863676660953,chr16,87248612,,16,87248612,1
0.0022431697983990753,0.2802023225825611,1,3.282457278958747,0.3587000585952298,0.5800750897712366,0.13732502741922303,0.10927790618771305,45,chr19,38229377,cg22671798,ZNF573,0.3587000585952298,0.0022431697983990753,2.6491378509303236,chr19,38229377,ZNF573,19,38229377,1
0.007856876863121831,0.3503970084572582,1,2.809794160486703,0.34414044398308147,0.5922579912142487,0.09602289675191422,0.12247888077448014,45,chr8,27767170,cg04431313,SCARA5,0.34414044398308147,0.007856876863121831,2.104750053280684,chr8,27767170,SCARA5;SCARA5,8,27767170,1
0.013841518384471608,0.3957027516793341,1,-2.583490615941594,-0.3423547870888603,-0.07390331690394725,-0.6108062572737734,0.13251636563970395,45,chr19,49616376,cg06378142,PRR12,-0.3423547870888603,0.013841518384471608,1.8588162661056118,chr19,50119633,PRR12,19,49616376,1
0.011119951364221357,0.3767625254379382,1,-2.6721226562749956,-0.3379951013582385,-0.08175311818101211,-0.594237084535465,0.1264893662588872,45,chr6,29649092,cg20961245,NA,-0.3379951013582385,0.011119951364221357,1.9538971122410547,chr6,29649092,,6,29649092,1
2.3369901750799015e-4,0.24214519710134105,1,-4.072479925456558,-0.33536157286361956,-0.16854061295932724,-0.5021825327679119,0.08234824455912397,45,chr6,55778951,cg11290949,NA,-0.33536157286361956,2.3369901750799015e-4,3.6313431134175946,chr6,55778951,,6,55778951,1
