probeID,gene,chromosome,position,beta,p,fdr
cg22446445,VIL1,2,219303984,-0.0364123552033202,9.73328080790124e-09,0.00841103407670947
cg09588850,PPAPDC3,9,131297723,-0.0156301065308081,4.41937636976947e-08,0.0190950646434451
cg13822791,ADAMTS13,9,133428111,-0.0127828990115293,2.19396454792345e-07,0.0631972950672382
cg07058847,,4,26217530,-0.0112803490503186,9.90104192994602e-07,0.213900129646168
cg14232684,CYTH1,17,78707240,-0.0573793998698599,1.59763064310957e-06,0.276119143100885
cg02355809,GIMAP1,7,150412715,-0.188837453069101,4.39151359072944e-05,0.300034525153761
cg01088139,SNX6,14,35096197,-0.162374615749743,0.000239993972885642,0.300034525153761
cg26647036,,1,66490928,-0.156658387834164,0.000159973392488853,0.300034525153761
cg09371091,HRH1,3,11254070,-0.142744987787317,0.000157504117255727,0.300034525153761
cg02550950,HECW2,2,196257380,-0.120002703113197,0.00031187381266723,0.300034525153761
cg14018363,HLA-A,6,29911265,-0.0970255295467673,0.000223342704925073,0.300034525153761
cg25172968,C17orf74,17,7329133,-0.092664031874595,0.00015439125545471,0.300034525153761
cg25001544,GRM4,6,34073788,-0.0885147289573198,3.28517728329616e-05,0.300034525153761
cg00325917,SELL,1,169671116,0.0860778176600941,0.000309734885263469,0.300034525153761
cg10822242,,13,61157457,-0.0838333055646357,0.000294114674465581,0.300034525153761
cg18900012,PTPRN2,7,158151522,-0.075711658010169,1.70736495627255e-05,0.300034525153761
cg08059631,MCPH1,8,6417355,-0.0717110772850685,2.36038256435256e-06,0.300034525153761
cg14429588,TRPS1,8,115468000,-0.070279257756972,0.000314717411568478,0.300034525153761
cg17434154,ESRRG,1,217133248,0.0700136880437421,0.000325755999918278,0.300034525153761
cg25313855,EFNA5,5,107477199,-0.0699412896229946,6.03312261653593e-05,0.300034525153761
