probeID,gene,chromosome,position,beta,p,fdr
cg19726630,CMTM8,3,32400704,0.220374109297743,3.70944054231085e-08,0.0320552046351901
cg08928871,SOLH,16,594329,-0.110373778295032,7.58165043800939e-07,0.327584919465334
cg04686117,FRMD4A,10,13696795,-0.162644977223191,1.97949111113332e-06,0.42764530066702
cg04059207,,14,52369353,-0.019474889933243,1.52097095140781e-06,0.42764530066702
cg08571639,LRRFIP1,2,238639895,-0.145157073858714,5.17607495339778e-06,0.559114440391074
cg11247812,CSMD2,1,34334019,-0.129472302505387,4.70392873542007e-06,0.559114440391074
cg05943251,CACNA1D,3,53589975,-0.0637041848563824,4.96432291410266e-06,0.559114440391074
cg17794784,CEACAM5,19,42213763,-0.032323945563514,4.15488744232534e-06,0.559114440391074
cg25569462,TRIML2,4,189026860,-0.217476301755664,1.51251859784625e-05,0.653522985683014
cg18032891,C8orf48,8,13424389,0.114931062938016,1.17524514544767e-05,0.653522985683014
cg02401524,,10,134833335,-0.113688989753342,1.21412989438086e-05,0.653522985683014
cg07111635,NFIX,19,13163575,-0.0886357861189418,1.27955740914858e-05,0.653522985683014
cg03852161,,21,38401476,-0.0685949710552587,1.35955208229454e-05,0.653522985683014
cg20630869,CBFA2T3,16,88946555,-0.0647613850822701,1.08289302204122e-05,0.653522985683014
cg07939626,DDR1,6,30853073,-0.0468216999513555,1.26120332888638e-05,0.653522985683014
cg09019975,GNG12-AS1,1,67978957,-0.0193564026829983,1.41594313758631e-05,0.653522985683014
cg03963654,SCOC,4,140255930,-0.016339184689881,1.05365153078208e-05,0.653522985683014
cg13469949,RAB11FIP3,16,506212,-0.0116791226968409,6.86251798316792e-06,0.653522985683014
cg00880429,STK10,5,172093725,-0.0104727287896486,1.47341344742203e-05,0.653522985683014
cg06408710,,16,89265857,-0.00686368376760577,9.56626093216701e-06,0.653522985683014
