p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
6.374967197301327e-10,5.508940653482337e-4,5.508940653482337e-4,-6.543834883730873,-0.050819349654784705,-0.03549241645109631,-0.0661462828584731,0.007765988989289838,183,chr20,19213673,cg01635668,-0.050819349654784705,6.374967197301327e-10,9.19552204557129,chr20,19194317,SLC24A3,20,19213673,SLC24A3,5.508940653482337e-4
4.6053093509862366e-9,0.0018367693175855295,0.003979682680964107,-6.169730141118685,-0.08534686556313624,-0.05804578092377535,-0.11264795020249713,0.01383316022111484,183,chr1,207537034,cg10549984,-0.08534686556313624,4.6053093509862366e-9,8.33674119176162,chr1,207537034,,1,207537034,NA,0.003979687286273458
7.816080131479425e-9,0.0018367693175855295,0.006754265645617945,-6.067379397861318,-0.09220725110733115,-0.06221407782128971,-0.12220042439337259,0.015197212018723132,183,chr17,82101532,cg02741985,-0.09220725110733115,7.816080131479425e-9,8.107010996822426,chr17,80059408,CCDC57,17,82101532,CCDC57,0.0067542812777782076
8.9595520858255e-9,0.0018367693175855295,0.007742387975414019,-6.040791712160736,-0.051150677488354016,-0.034439154791583326,-0.0678622001851247,0.008467545302941406,183,chr10,134140238,cg07410082,-0.051150677488354016,8.9595520858255e-9,8.047713701444655,chr10,134140238,,10,134140238,NA,0.007742414854070277
1.2292905763549468e-8,0.0018367693175855295,0.010622889929759747,-5.978923325174745,-0.08608935668219402,-0.057671915305273144,-0.11450679805911489,0.014398805938806365,183,chr17,43395380,cg10433549,-0.08608935668219402,1.2292905763549468e-8,7.910345447633114,chr17,41472748,,17,43395380,NA,0.010622939101382801
1.394961926994985e-8,0.0018367693175855295,0.012054521643269353,-5.95408412660872,-0.06109566427376987,-0.040844317108562136,-0.0813470114389776,0.010261135545723008,183,chr3,194575080,cg22864884,-0.06109566427376987,1.394961926994985e-8,7.8554376455241695,chr3,194295809,,3,194575080,NA,0.012054591391365704
1.4918575508182254e-8,0.0018367693175855295,0.012891827351093663,-5.940864567554396,-0.10118332531977538,-0.06756951149354853,-0.13479713914600222,0.017031750878884,183,chr20,36875661,cg19448292,-0.10118332531977538,1.4918575508182254e-8,7.826272643248785,chr20,35504064,C20orf118,20,36875661,C20orf118,0.012891916862546711
2.1845750008418527e-8,0.0018367693175855295,0.01887789564102483,-5.865438160089352,-0.11443876777731617,-0.07593251949314012,-0.15294501606149222,0.019510693771524285,183,chr15,85477232,cg03181212,-0.11443876777731617,2.1845750008418527e-8,7.6606330404977365,chr15,86020463,AKAP13;AKAP13,15,85477232,AKAP13,0.018878048561274886
2.366986916792064e-8,0.0018367693175855295,0.020454175422243613,-5.849501827482427,-0.027300422376888393,-0.018089375776010178,-0.03651146897776661,0.004667136310416071,183,chr16,67944526,cg02564259,-0.027300422376888393,2.366986916792064e-8,7.6258041425697405,chr16,67978429,SLC12A4;SLC12A4;SLC12A4;SLC12A4;SLC12A4;LCAT,16,67944526,SLC12A4,0.020454364781196957
2.4030780160821594e-8,0.0018367693175855295,0.020766030460512855,-5.846491704508018,-0.07536959828003198,-0.04992712325190364,-0.10081207330816032,0.012891423111387846,183,chr20,45836974,cg20337696,-0.07536959828003198,2.4030780160821594e-8,7.619232129568973,chr20,44465613,SNX21;SNX21;SNX21;SNX21,20,45836974,SNX21,0.020766246737534303
2.5194794587171384e-8,0.0018367693175855295,0.021771880184147455,-5.837076361940042,-0.03695479796645285,-0.024459864391997065,-0.04944973154090864,0.006331045830993782,183,chr10,89502991,cg24600621,-0.03695479796645285,2.5194794587171384e-8,7.598689178090972,chr10,91262748,SLC16A12,10,89502991,SLC16A12,0.021772132132093325
2.5506197765007028e-8,0.0018367693175855295,0.022040951242850937,-5.834629697015918,-0.06241940242685024,-0.04130568024542212,-0.08353312460827836,0.010698091510207446,183,chr10,99661385,cg13859771,-0.06241940242685024,2.5506197765007028e-8,7.5933542772878955,chr10,101421142,ENTPD7,10,99661385,ENTPD7,0.02204123181102635
3.0499371717872456e-8,0.0018535468744145039,0.026355727076282306,-5.798947635428424,-0.09434863147844907,-0.062238290873670075,-0.12645897208322807,0.01626995748366999,183,chr16,48394014,cg04973399,-0.09434863147844907,3.0499371717872456e-8,7.515709106957197,chr16,48427925,MIR5095,16,48394014,MIR5095,0.026356093068742918
3.209481514816574e-8,0.0018535468744145039,0.027734381467320792,-5.7887461180974835,-0.028980595767887182,-0.01910004166190849,-0.03886114987386587,0.005006368421873696,183,chr2,69560341,cg04871139,-0.028980595767887182,3.209481514816574e-8,7.4935651213152,chr2,69787473,AAK1,2,69560341,AAK1,0.02773479869991772
3.217397300037211e-8,0.0018535468744145039,0.027802752680595552,-5.788252979811576,-0.021130046323690168,-0.013925420350984988,-0.028334672296395347,0.003650504979203244,183,chr14,92519603,cg24112090,-0.021130046323690168,3.217397300037211e-8,7.492495306968712,chr14,92985947,RIN3,14,92519603,RIN3,0.02780320311621756
3.580681129507397e-8,0.0018546337944322115,0.03094199049209134,-5.766810974544259,-0.021091154408607485,-0.013873050508794858,-0.028309258308420113,0.0036573340970785474,183,chr10,131923210,cg21294295,-0.021091154408607485,3.580681129507397e-8,7.446034352504263,chr10,133736714,,10,131923210,NA,0.030942527594260763
3.648521846312639e-8,0.0018546337944322115,0.03152819074185219,-5.7630439349969595,-0.09228519349960526,-0.06068144544485087,-0.12388894155435964,0.01601327259353159,183,chr11,47916382,cg18367488,-0.09228519349960526,3.648521846312639e-8,7.43788304897151,chr11,47937934,,11,47916382,NA,0.0315287745053476
3.927144488199922e-8,0.0018853609798705217,0.03393583002310639,-5.748259013044562,-0.09189407692736146,-0.06034332710674989,-0.12344482674797302,0.015986418969435028,183,chr1,229142381,cg17278724,-0.09189407692736146,3.927144488199922e-8,7.40592311979565,chr1,229142381,,1,229142381,NA,0.03393649763766939
5.212652015374332e-8,0.0023488581492378596,0.045044298366534834,-5.691141101233663,-0.039241598587500134,-0.025633237264989176,-0.052849959910011096,0.006895207461820578,183,chr6,13483600,cg00728848,-0.039241598587500134,5.212652015374332e-8,7.282941266603208,chr6,13483832,C6orf114;GFOD1,6,13483600,C6orf114,0.0450452366438976
5.900482254322468e-8,0.0023488581492378596,0.050988014318744376,-5.666026232742537,-0.04213377620535594,-0.027457688532477053,-0.05680986387823482,0.007436212695570569,183,chr1,92852007,cg19528703,-0.04213377620535594,5.900482254322468e-8,7.229112491437183,chr1,93317564,FAM69A;FAM69A;FAM69A;FAM69A;FAM69A,1,92852007,FAM69A,0.0509891354103727
6.13057871424869e-8,0.0023488581492378596,0.052976292455011495,-5.658260357828505,-0.039839797614407355,-0.025943705295535184,-0.053735889933279525,0.007040997602608877,183,chr2,39418814,cg15756055,-0.039839797614407355,6.13057871424869e-8,7.212498527024522,chr2,39645955,MAP4K3,2,39418814,MAP4K3,0.05297751857075434
6.171256069326635e-8,0.0023488581492378596,0.05332773678443295,-5.656917164985219,-0.07583305890481422,-0.049376262850434616,-0.10228985495919382,0.013405368453015409,183,chr10,134140240,cg01602526,-0.07583305890481422,6.171256069326635e-8,7.209626432650878,chr10,134140240,,10,134140240,NA,0.05332903274820751
6.50830193263214e-8,0.0023488581492378596,0.05624018949045412,-5.646109333036186,-0.06725354535414156,-0.04374507376819531,-0.09076201694008781,0.01191148477423764,183,chr1,150981467,cg07337598,-0.06725354535414156,6.50830193263214e-8,7.18653230751232,chr1,150953943,ANXA9,1,150981467,ANXA9,0.05624162131687929
6.52345832465916e-8,0.0023488581492378596,0.056371095186293955,-5.6456362680307315,-0.12221522860109524,-0.07949132521408342,-0.16493913198810706,0.021647733364112996,183,chr14,61533773,cg23339014,-0.12221522860109524,6.52345832465916e-8,7.185522107775553,chr14,62000491,PRKCH,14,61533773,PRKCH,0.05637259558170863
6.810369696519245e-8,0.0023540778375945996,0.058850311451137824,-5.636878075183831,-0.03626884847928699,-0.02357031348334373,-0.048967383475230254,0.006434208438702868,183,chr3,42905280,cg06845438,-0.03626884847928699,6.810369696519245e-8,7.166829312051923,chr3,42946772,ZNF662;ZNF662,3,42905280,ZNF662,0.05885194593986499
7.088137300843225e-8,0.002355856932614721,0.06125050821365754,-5.628735879105771,-0.0672131768827045,-0.043646299242943706,-0.0907800545224653,0.011941078481263287,183,chr15,58307339,cg04968217,-0.0672131768827045,7.088137300843225e-8,7.149467878533386,chr15,58599538,,15,58307339,NA,0.06125228024798275
8.002400839112774e-8,0.0025612187740448084,0.06915082627499165,-5.603979813497487,-0.036323512516528725,-0.023531179089973125,-0.049115845943084324,0.0064817350749625455,183,chr16,70151549,cg03181373,-0.036323512516528725,8.002400839112774e-8,7.096779698663737,chr16,70151549,PDPR,16,70151549,PDPR,0.06915290689920982
1.0321795903885339e-7,0.002689304469586221,0.08919321885444918,-5.551814294147652,-0.061159707171734586,-0.03941823435219989,-0.08290117999126928,0.011016165875037466,183,chr10,128052933,cg12842511,-0.061159707171734586,1.0321795903885339e-7,6.9862447326224615,chr10,129851197,PTPRE;PTPRE,10,128052933,PTPRE,0.08919600573934323
1.0377209759919347e-7,0.002689304469586221,0.08967196006580545,-5.550713501066229,-0.10360051719173988,-0.06676459000416415,-0.1404364443793156,0.018664360387514036,183,chr3,72381060,cg08086385,-0.10360051719173988,1.0377209759919347e-7,6.9839194045577955,chr3,72430211,RYBP,3,72381060,RYBP,0.08967486568453824
1.0448533093010747e-7,0.002689304469586221,0.09028817761931726,-5.549305081952072,-0.05298371344464102,-0.03414018246671527,-0.07182724442256677,0.009547810520809032,183,chr14,61516085,cg13698578,-0.05298371344464102,1.0448533093010747e-7,6.980944677431305,chr14,61982803,PRKCH,14,61516085,PRKCH,0.09029120769391423
1.0721193852087878e-7,0.002689304469586221,0.09264419473853881,-5.544006009387002,-0.078883462729224,-0.050801932595242696,-0.10696499286320531,0.014228603395389556,183,chr17,46046255,cg02179849,-0.078883462729224,1.0721193852087878e-7,6.969756851349853,chr17,44123621,KANSL1;KANSL1;KANSL1,17,46046255,KANSL1,0.09264741109669443
1.0975496886708497e-7,0.002689304469586221,0.09484157345239433,-5.539180953318366,-0.10662259387743259,-0.06863321568875821,-0.14461197206610696,0.01924880136178942,183,chr1,167542869,cg14617280,-0.10662259387743259,1.0975496886708497e-7,6.959575809102171,chr1,167512106,CREG1,1,167542869,CREG1,0.0948449758564292
1.1338469985082593e-7,0.002689304469586221,0.0979779868350957,-5.532479757859842,-0.07972208113209252,-0.051282886858605534,-0.1081612754055795,0.014409827892968527,183,chr20,1378231,cg01963353,-0.07972208113209252,1.1338469985082593e-7,6.945445545254943,chr20,1358875,FKBP1A;FKBP1A;FKBP1A;FKBP1A-SDCBP2;SDCBP2-AS1;SDCBP2-AS1;SDCBP2-AS1,20,1378231,FKBP1A,0.09798161514549093
1.1480476174607227e-7,0.002689304469586221,0.09920497591525422,-5.5299148686511925,-0.08166476207319649,-0.05251904465951471,-0.11081047948687828,0.01476781542083946,183,chr17,57106584,cg02865193,-0.08166476207319649,1.1480476174607227e-7,6.940040098373971,chr17,55183945,AKAP1;AKAP1;AKAP1,17,57106584,AKAP1,0.09920876447239184
1.2078227967208775e-7,0.002689304469586221,0.10437014194568513,-5.519447316411184,-0.03197729997140592,-0.020543128707923637,-0.043411471234888206,0.005793569199641891,183,chr7,69603082,cg19466875,-0.03197729997140592,1.2078227967208775e-7,6.917996777677983,chr7,69068068,AUTS2;AUTS2;AUTS2,7,69603082,AUTS2,0.10437424854319398
1.2155893411899151e-7,0.002689304469586221,0.1050411414741006,-5.518124545936827,-0.0651871954570906,-0.04187252438908735,-0.08850186652509387,0.011813288176884307,183,chr1,160539778,cg18645861,-0.0651871954570906,1.2155893411899151e-7,6.915213116656177,chr1,160509568,,1,160539778,NA,0.10504539603679476
1.2523986601862095e-7,0.002689304469586221,0.10822177206454667,-5.5119654056442755,-0.04016422574883219,-0.025783148785855636,-0.05454530271180874,0.007286734003755512,183,chr6,113920710,cg17248139,-0.04016422574883219,1.2523986601862095e-7,6.902257405662314,chr6,114241874,FLJ34503,6,113920710,FLJ34503,0.10822628069972333
1.2722361708193425e-7,0.002689304469586221,0.10993583587475561,-5.508718940857299,-0.0719566172440067,-0.04617687220580284,-0.09773636228221057,0.013062314127213105,183,chr19,29941253,cg01627992,-0.0719566172440067,1.2722361708193425e-7,6.895432261200976,chr19,30432160,URI1;URI1;URI1,19,29941253,URI1,0.10994054314858764
1.2832967478381125e-7,0.002689304469586221,0.11089146859613827,-5.506930227317194,-0.02307503378894645,-0.014805305018118253,-0.03134476255977465,0.00419018088779888,183,chr18,25329109,cg19833642,-0.02307503378894645,1.2832967478381125e-7,6.891672906332079,chr18,22909073,ZNF521;ZNF521,18,25329109,ZNF521,0.11089634512378006
1.289678674096147e-7,0.002689304469586221,0.11144281081092439,-5.505904975052705,-0.044010146594563655,-0.028234666039424986,-0.05978562714970233,0.007993263013795906,183,chr2,74148776,cg26529864,-0.044010146594563655,1.289678674096147e-7,6.889518481522515,chr2,74375903,BOLA3;BOLA3,2,74148776,BOLA3,0.11144784055775335
1.298382059595025e-7,0.002689304469586221,0.11219475182807762,-5.504514731592837,-0.05559364321984396,-0.035661013850160024,-0.0755262725895279,0.010099644733579789,183,chr8,22989696,cg03437605,-0.05559364321984396,1.298382059595025e-7,6.886597494008005,chr8,22847209,RHOBTB2,8,22989696,RHOBTB2,0.112199945356316
1.3296702504571256e-7,0.002689304469586221,0.11489826897927573,-5.499590890852927,-0.05786560080588463,-0.037099805107208825,-0.07863139650456044,0.010521800976528693,183,chr16,75003686,cg16660617,-0.05786560080588463,1.3296702504571256e-7,6.876256047877115,chr16,75037584,ZNRF1,16,75003686,ZNRF1,0.1149037206273026
1.33819157037428e-7,0.002689304469586221,0.11563447178761191,-5.498269467495694,-0.06914000564245092,-0.04432228542106982,-0.09395772586383201,0.012574866701457292,183,chr17,83084906,cg02633149,-0.06914000564245092,1.33819157037428e-7,6.873481710184779,chr17,81042782,METRNL,17,83084906,METRNL,0.11564009219220749
1.3950858172456246e-7,0.002739923179873729,0.12055062104542995,-5.489651611734114,-0.07429158769024882,-0.04758285077751769,-0.10100032460297995,0.013533024123325198,183,chr10,3624563,cg05180182,-0.07429158769024882,1.3950858172456246e-7,6.85539907639763,chr10,3666755,,10,3624563,NA,0.12055661991444411
1.5529130162393227e-7,0.002982117530687207,0.13418845606365287,-5.4674279733413025,-0.03380487229965716,-0.021602206323249017,-0.0460075382760653,0.006182957043876343,183,chr17,64641631,cg09083139,-0.03380487229965716,1.5529130162393227e-7,6.808852869851128,chr17,62637749,SMURF2,17,64641631,SMURF2,0.13419528888092433
1.5875471620841566e-7,0.0029823522939333652,0.13718106155870544,-5.462846912188687,-0.06044000061266358,-0.0386044612449578,-0.08227553998036936,0.011063828363524162,183,chr17,36452075,cg17519037,-0.06044000061266358,1.5875471620841566e-7,6.799273364033679,chr17,36452075,MRPL45,17,36452075,MRPL45,0.1371882055209348
1.6714774223387265e-7,0.003073213952061394,0.14443336695074277,-5.452137628249051,-0.05206501076683164,-0.03321820969532294,-0.07091181183834035,0.00954946744136983,183,chr10,95196126,cg20844989,-0.05206501076683164,1.6714774223387265e-7,6.776899485311274,chr10,96955883,ACSM6,10,95196126,ACSM6,0.1444410557468855
1.7950073751202587e-7,0.0032315816942185874,0.15510748478782913,-5.437293166973083,-0.09003610839109445,-0.05735532490429946,-0.12271689187788945,0.01655899463688789,183,chr5,150050361,cg26057482,-0.09003610839109445,1.7950073751202587e-7,6.7459337627026805,chr5,149429924,HMGXB3,5,150050361,HMGXB3,0.1551159213224922
1.8892418125010014e-7,0.0033318205933803376,0.16325014071493651,-5.4266242989021505,-0.08063239892560911,-0.051307378724641105,-0.10995741912657711,0.014858666177041534,183,chr17,4341911,cg21500092,-0.08063239892560911,1.8892418125010014e-7,6.723712451229197,chr17,4245206,UBE2G1,17,4341911,UBE2G1,0.16325920907563654
1.9719431341637512e-7,0.003408117206547748,0.17039619780603,-5.417680243126135,-0.02726271987541091,-0.01733123223432098,-0.03719420751650084,0.00503217588561108,183,chr5,80204430,cg16730961,-0.02726271987541091,1.9719431341637512e-7,6.705105613165082,chr5,79500249,SERINC5;SERINC5;SERINC5;SERINC5;SERINC5,5,80204430,SERINC5,0.1704058603273874
2.015593215497311e-7,0.0034152527614871218,0.17416781286976574,-5.413105901458265,-0.034729457632275584,-0.02206723423031353,-0.04739168103423764,0.006415809752201529,183,chr12,64534989,cg20620049,-0.034729457632275584,2.015593215497311e-7,6.695597112152466,chr12,64928769,,12,64534989,NA,0.17417789083584323
2.1612593592567619e-7,0.0035916473035008637,0.18675463735931272,-5.398510344242244,-0.031427881200261534,-0.01993842009761631,-0.04291734230290676,0.00582158395487392,183,chr3,53241887,cg26559621,-0.031427881200261534,2.1612593592567619e-7,6.665293113017146,chr3,53275903,TKT;TKT;TKT;TKT,3,53241887,TKT,0.18676565978204493
