p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0029216591437480717,0.4494342377088895,1,3.030604771246644,0.43479931003069033,0.7185151405746079,0.1510834794867728,0.14346948640611917,144,chr6,29648468,cg06032337,NA,0.43479931003069033,0.0029216591437480717,2.5343704525441235,chr6,29648468,,6,29648468,1
0.008610988848840252,0.4494342377088895,1,2.6657512827662115,0.36679136101537524,0.6388882000872294,0.09469452194352107,0.13759399212771312,144,chr3,61237223,cg17573813,FHIT,0.36679136101537524,0.008610988848840252,2.0649469731763537,chr3,61237223,FHIT;FHIT,3,61237223,1
0.005846161153744919,0.4494342377088895,1,2.800428091120627,0.3657577090675668,0.624039083227292,0.10747633490784175,0.1306077846552397,144,chr4,140952109,cg27341708,MAML3,0.3657577090675668,0.005846161153744919,2.2331292171658026,chr4,140952109,MAML3,4,140952109,1
0.0034028833159152725,0.4494342377088895,1,-2.9811203069916172,-0.36308084127335954,-0.12223017313917917,-0.6039315094075399,0.12179342122551264,144,chr12,8995965,cg24309769,A2ML1,-0.36308084127335954,0.0034028833159152725,2.468152942506581,chr12,8995965,A2ML1,12,8995965,1
0.003884908508225617,0.4494342377088895,1,2.937635695455769,0.35108184902988027,0.5874203439834734,0.11474335407628714,0.11951170445435731,144,chr1,146549940,cg03526459,NA,0.35108184902988027,0.003884908508225617,2.4106192046212738,chr1,146549940,,1,146549940,1
0.022795154840000973,0.4494342377088895,1,2.3029785603795,0.34872187337147775,0.6481642902639031,0.04927945647905241,0.15142211020584276,144,chr12,131606752,cg00143986,GPR133,0.34872187337147775,0.022795154840000973,1.642157453432205,chr12,131606752,GPR133,12,131606752,1
0.007575685889075547,0.4494342377088895,1,-2.7108359306802727,-0.3470353811935816,-0.0938756962882838,-0.6001950660988795,0.12801784765575783,144,chr11,35611044,cg26465155,NA,-0.3470353811935816,0.007575685889075547,2.1205780407985104,chr11,35611044,,11,35611044,1
0.013542318408255975,0.4494342377088895,1,-2.5017446736848483,-0.34679663174718894,-0.0726670444895024,-0.6209262190048754,0.13862191269758486,144,chr14,32413698,cg16802892,NA,-0.34679663174718894,0.013542318408255975,1.8683069792461051,chr14,32413698,,14,32413698,1
2.535868380841804e-5,0.4494342377088895,1,-4.360929949903312,-0.3449331782350743,-0.18851764315004851,-0.5013487133201001,0.0790962437364356,144,chr19,13665496,cg16097834,NA,-0.3449331782350743,2.535868380841804e-5,4.5958732913886955,chr19,13776310,,19,13665496,1
0.0010820846399394782,0.4494342377088895,1,3.3397291838957903,0.3438144083069822,0.5473952222702803,0.14023359434368415,0.10294679280130226,144,chr6,55778951,cg11290949,NA,0.3438144083069822,0.0010820846399394782,2.965738767675838,chr6,55778951,,6,55778951,1
