p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
1.020060358779742e-4,0.9999901697171316,1,-4.819799033181363,-0.5663040908235759,-0.32133735127818364,-0.8112708303689682,0.11749537416911353,28,chr16,85531414,cg08717807,NA,-0.5663040908235759,1.020060358779742e-4,3.991374129503365,chr16,85531414,,16,85531414,1
0.0023475885171839444,0.9999901697171316,1,-3.4787211911320393,-0.46791554975416116,-0.18747926276931481,-0.7483518367390075,0.13450791944665533,28,chr12,116930670,cg09957458,NA,-0.46791554975416116,0.0023475885171839444,2.6293780234282913,chr12,116930670,,12,116930670,1
2.3612816731783892e-4,0.9999901697171316,1,-4.459890365076622,-0.4460794875842173,-0.23754666405434244,-0.6546123111140921,0.10002028100898251,28,chr15,76016056,cg19495614,ODF3L1,-0.4460794875842173,2.3612816731783892e-4,3.62685220359871,chr15,76016056,ODF3L1,15,76016056,1
0.008928260037550362,0.9999901697171316,1,2.8938176744785724,0.4291821752265368,0.7383945491267834,0.11996980132629026,0.14831002623683598,28,chr1,245496589,cg02215080,KIF26B,0.4291821752265368,0.008928260037550362,2.0492331692993506,chr1,245496589,KIF26B,1,245496589,1
0.006741501735404725,0.9999901697171316,1,3.0187675528833395,0.4100926645562436,0.693322291875645,0.12686303723684217,0.13584771181356728,28,chr9,99960676,cg04399443,NA,0.4100926645562436,0.006741501735404725,2.1712433493470678,chr9,99960676,,9,99960676,1
0.005756070825706402,0.9999901697171316,1,-3.088508897452352,-0.40615857606623335,-0.13198024769989242,-0.6803369044325742,0.13150636425275164,28,chr7,47539511,cg10974412,TNS3,-0.40615857606623335,0.005756070825706402,2.2398738709160737,chr7,47539511,TNS3,7,47539511,1
0.02629589680539391,0.9999901697171316,1,2.397642643316811,0.4011559739729268,0.7499870463947262,0.0523249015511274,0.16731266233152337,28,chr13,100989375,cg20536971,PCCA,0.4011559739729268,0.02629589680539391,1.5801120132516497,chr13,100989375,PCCA;PCCA,13,100989375,1
6.058637053854855e-4,0.9999901697171316,1,-4.058112077165833,-0.40071765357744205,-0.1948439906256686,-0.6065913165292155,0.09874484636148873,28,chr13,28562900,cg08600378,PRHOXNB,-0.40071765357744205,6.058637053854855e-4,3.2176250633855124,chr13,28562900,PRHOXNB,13,28562900,1
0.003935476492341322,0.9999901697171316,1,3.254961636551652,0.39795189915798446,0.6528526182221681,0.1430511800938008,0.12226008893290054,28,chr1,94472813,cg05377703,ABCA4,0.39795189915798446,0.003935476492341322,2.405002677417656,chr1,94472813,ABCA4,1,94472813,1
1.3113093514251288e-4,0.9999901697171316,1,-4.711783382524646,-0.39496234337383135,-0.22019643122407717,-0.5697282555235855,0.08382438480484738,28,chr8,19983139,cg11708224,NA,-0.39496234337383135,1.3113093514251288e-4,3.882294841667334,chr8,19983139,,8,19983139,1
0.004875661002367181,0.9999901697171316,1,-3.1613976755023603,-0.39032862657544237,-0.13291138803846603,-0.6477458651124187,0.12346710747594175,28,chr1,232729619,cg03224005,NA,-0.39032862657544237,0.004875661002367181,2.311966497868946,chr1,232729619,,1,232729619,1
0.003538473768342597,0.9999901697171316,1,3.301217661858719,0.3860082688952363,0.6297942911880458,0.14222224660242688,0.11692905722487201,28,chr2,151776216,cg04680230,NA,0.3860082688952363,0.003538473768342597,2.451184019588549,chr2,151776216,,2,151776216,1
3.134674443676291e-5,0.9999901697171316,1,-5.332380068474877,-0.3846451456794855,-0.23425287632470693,-0.535037415034264,0.07213385781585867,28,chr7,76709079,cg00018245,NA,-0.3846451456794855,3.134674443676291e-5,4.503807556797117,chr7,76709079,,7,76709079,1
6.02343075722674e-4,0.9999901697171316,1,-4.060595119390691,-0.38393465184798753,-0.18680408265754905,-0.581065221038426,0.0945513257439955,28,chr11,133800774,cg25790212,IGSF9B,-0.38393465184798753,6.02343075722674e-4,3.220156077756328,chr11,133800774,IGSF9B,11,133800774,1
0.008172511453091386,0.9999901697171316,1,2.9332973989850597,0.37943609694766606,0.6491286163722989,0.10974357752303326,0.12935479950957357,28,chr11,33760479,cg26864826,NA,0.37943609694766606,0.008172511453091386,2.087644462119768,chr11,33760479,,11,33760479,1
0.017543482038870066,0.9999901697171316,1,-2.587052270611044,-0.3754300216107022,-0.07287097146653243,-0.677989071754872,0.1451188388714033,28,chr2,55393977,cg19384241,NA,-0.3754300216107022,0.017543482038870066,1.7558842034338886,chr2,55393977,,2,55393977,1
0.02739430702199278,0.9999901697171316,1,2.378203807677017,0.3727638433047938,0.6995555781533354,0.045972108456252214,0.1567417569938643,28,chr17,79495519,cg05248234,FSCN2,0.3727638433047938,0.02739430702199278,1.5623396811876997,chr17,79495519,FSCN2;FSCN2;FSCN2;FSCN2,17,79495519,1
0.014067881432309082,0.9999901697171316,1,2.6884594053442274,0.37180355939562054,0.6601379286964394,0.08346919009480169,0.13829614040536917,28,chr9,135616700,cg21425790,AK8,0.37180355939562054,0.014067881432309082,1.8517713006842744,chr9,135616700,AK8,9,135616700,1
9.585549327674914e-4,0.9999901697171316,1,-3.8625269879802486,-0.3700985186140776,-0.17032764304296047,-0.5698693941851948,0.0958177172006261,28,chr2,10880654,cg03443822,LOC101929733,-0.3700985186140776,9.585549327674914e-4,3.0183829935692397,chr2,11020780,LOC101929733,2,10880654,1
9.390892632092523e-4,0.9999901697171316,1,-3.8712814565690876,-0.36845845024390256,-0.1700226042507212,-0.566894296237084,0.09517738619047551,28,chr17,41041469,cg02022375,KRTAP1-1,-0.36845845024390256,9.390892632092523e-4,3.027293124798084,chr17,39197721,KRTAP1-1,17,41041469,1
