p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
5.754883441120443e-4,0.9999939544630362,1,3.5422983221595405,0.24194438953272518,0.37724664023425564,0.10664213883119472,0.06830152842271774,122,chr7,624424,cg10117599,PRKAR1B,0.24194438953272518,5.754883441120443e-4,3.239963468105578,chr7,624424,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,7,624424,1
4.0043638069841864e-4,0.9999939544630362,1,-3.6474939481584596,-0.24000915702610467,-0.10966011903126616,-0.3703581950209432,0.0658011117872533,122,chr2,2585322,cg12109978,NA,-0.24000915702610467,4.0043638069841864e-4,3.3974664726042665,chr2,2585322,,2,2585322,1
4.6960897072167875e-7,0.17139712571345755,0.40581353126708014,5.344514403424473,0.23592967197700362,0.32337747655971527,0.14848186739429195,0.04414426721833377,122,chr3,32400704,cg19726630,CMTM8,0.23592967197700362,4.6960897072167875e-7,6.328263615555773,chr3,32400704,CMTM8,3,32400704,0.40581353126708014
3.600271307385288e-5,0.9999939544630362,1,-4.301065988824808,-0.23080579325697678,-0.12450287220822433,-0.33710871430572925,0.05366246271428179,122,chr7,985839,cg25361454,ADAP1,-0.23080579325697678,3.600271307385288e-5,4.443664770660314,chr7,985839,ADAP1,7,985839,1
3.1470154786308093e-4,0.9999939544630362,1,3.7162513037643174,0.22746889571548673,0.34872163071822726,0.10621616071274617,0.061209234016299095,122,chr7,158541253,cg13211008,ESYT2,0.22746889571548673,3.1470154786308093e-4,3.5021011209992627,chr7,158541253,ESYT2,7,158541253,1
7.570770899808149e-5,0.9999939544630362,1,-4.106750385797828,-0.22018127827717157,-0.11397341275362399,-0.32638914380071915,0.05361447801614961,122,chr4,189026860,cg25569462,TRIML2,-0.22018127827717157,7.570770899808149e-5,4.120859895864962,chr4,189026860,TRIML2,4,189026860,1
0.0016642840742775898,0.9999939544630362,1,-3.221000889370435,-0.21717937939576762,-0.08361140439454345,-0.3507473543969918,0.06742605384322532,122,chr12,125440391,cg06354054,DHX37,-0.21717937939576762,0.0016642840742775898,2.7787725426116876,chr12,125440391,DHX37,12,125440391,1
2.8421188728776017e-4,0.9999939544630362,1,-3.745075221281488,-0.21652328557501177,-0.10199344341530087,-0.3310531277347227,0.0578154703928542,122,chr1,229997149,cg26546906,NA,-0.21652328557501177,2.8421188728776017e-4,3.5463577614700768,chr1,229997149,,1,229997149,1
2.993101431346371e-4,0.9999939544630362,1,3.730453525107443,0.21363847325166488,0.327085320364105,0.10019162613922476,0.05726876687078195,122,chr1,246785611,cg04246708,CNST,0.21363847325166488,2.993101431346371e-4,3.523878565375778,chr1,246785611,CNST;CNST,1,246785611,1
0.002158163440852507,0.9999939544630362,1,3.1389467518105083,0.2129666604465312,0.34736758954128916,0.07856573135177325,0.06784653493204193,122,chr20,17680544,cg24859648,BANF2,0.2129666604465312,0.002158163440852507,2.6659156686556433,chr20,17680544,BANF2;BANF2;BANF2,20,17680544,1
0.0014918974650103439,0.9999939544630362,1,-3.255093758111754,-0.21165232193405184,-0.08284690322759986,-0.3404577406405038,0.0650218819063538,122,chr12,378771,cg05134736,NA,-0.21165232193405184,0.0014918974650103439,2.826261023988293,chr12,378771,,12,378771,1
0.003687459697824763,0.9999939544630362,1,-2.9648446537027886,-0.2078327568848635,-0.06896972146618233,-0.34669579230354464,0.07009903760903681,122,chr8,66949849,cg02822944,DNAJC5B,-0.2078327568848635,0.003687459697824763,2.43327271761933,chr8,66949849,DNAJC5B,8,66949849,1
0.0011775070943801397,0.9999939544630362,1,-3.328040126433787,-0.20557133547394632,-0.08320876208142833,-0.32793390886646434,0.06176948824659439,122,chr2,237992612,cg16995742,COPS8,-0.20557133547394632,0.0011775070943801397,2.929036467603851,chr2,237992612,COPS8;COPS8,2,237992612,1
1.6125914455248868e-4,0.9999939544630362,1,-3.902736565272994,-0.2047458972301348,-0.10082076893439985,-0.3086710255258698,0.05246213619745379,122,chr19,49168736,cg23453683,SEC1,-0.2047458972301348,1.6125914455248868e-4,3.7924756483759263,chr19,49168736,SEC1;NTN5,19,49168736,1
4.5419287028587447e-4,0.9999939544630362,1,-3.6111926943394885,-0.2019005285619637,-0.09114602583642639,-0.312655031287501,0.05590965247532787,122,chr1,208425671,cg11318983,NA,-0.2019005285619637,4.5419287028587447e-4,3.3427596874210064,chr1,208425671,,1,208425671,1
0.0022092383574805136,0.9999939544630362,1,-3.1314874123633523,-0.1998231153361075,-0.07341654332322017,-0.3262296873489948,0.0638109272121582,122,chr2,55393977,cg19384241,NA,-0.1998231153361075,0.0022092383574805136,2.655757425027615,chr2,55393977,,2,55393977,1
2.3339164335427545e-4,0.9999939544630362,1,-3.800378472826846,-0.19846163872095887,-0.09501310903590629,-0.3019101684060115,0.05222154586444034,122,chr1,217113226,cg06523151,ESRRG,-0.19846163872095887,2.3339164335427545e-4,3.6319146980339974,chr1,217113226,ESRRG;ESRRG;ESRRG,1,217113226,1
6.740209645390482e-4,0.9999939544630362,1,-3.495782506702159,-0.19785274981124168,-0.08573553914078352,-0.30996996048169984,0.0565975570367767,122,chr8,28226955,cg09463989,ZNF395,-0.19785274981124168,6.740209645390482e-4,3.1713265950937206,chr8,28226955,ZNF395,8,28226955,1
0.009321549940678181,0.9999939544630362,1,2.6449137276861037,0.1969511635985858,0.3444612233819433,0.04944110381522829,0.07446411636680794,122,chr4,152527286,cg17682313,FBXW7,0.1969511635985858,0.009321549940678181,2.0305118693286035,chr4,153448438,FBXW7;FBXW7,4,152527286,1
0.0057349968921071755,0.9999939544630362,1,-2.81569265523196,-0.19458184287444266,-0.057685557775961266,-0.3314781279729241,0.06910620820524631,122,chr13,103307218,cg13372276,TPP2,-0.19458184287444266,0.0057349968921071755,2.2414668131142514,chr13,103307218,TPP2,13,103307218,1
