probeID,gene,C1_delta_beta,Reese_childhood_coef,direction_concordant
cg00213281,KIF5C;MIR1978,-0.05644641446241863,-12.85,True
cg01445399,LOC339524,-0.06089048556492556,-9.37,True
cg01942646,NR0B2,-0.0766260449225193,-13.02,True
cg02171825,CATSPER4,-0.03443364786596897,-13.19,True
cg02494549,TANK,-0.04027319197481434,-14.66,True
cg02803925,PCYT1A,-0.08396099103620451,-14.57,True
cg02970679,EPX,-0.07238093906300341,-13.35,True
cg03437605,RHOBTB2,-0.05559364321984396,-13.92,True
cg04217850,SLC25A26,-0.04829691963929506,-13.23,True
cg04497992,NHLRC4,-0.07340688612692746,-10.13,True
cg04895895,C1orf198,-0.04678124116427155,-12.21,True
cg04933530,IRF2BPL,-0.08739525871382431,-11.7,True
cg06315149,PRKCZ,-0.08874392612459052,-11.88,True
cg06725287,FOXK2,-0.029715523347151156,-13.56,True
cg06958964,C10orf25;ZNF22,-0.03655833207546167,-15.96,True
cg07177867,LYSMD2,-0.06969425870952459,-10.62,True
cg07386061,NISCH,-0.06575233242299662,-8.93,True
cg07410597,SLC25A26,-0.053286565725812536,-12.48,True
cg07908654,TRNA_Glu,-0.0709384136578603,-11.47,True
cg08077807,PRKCH,-0.04745063864235827,-16.27,True
cg08969102,PPP2CA,-0.07456139705320121,-8.91,True
cg09147843,RBL2,-0.07893128266932717,-11.57,True
cg09332506,COPA,-0.047697165492992175,-15.15,True
cg09565310,MCC,-0.05805639309518511,-11.68,True
cg09597192,AGPAT1,-0.04757762610153717,-12.53,True
cg10065736,FBXW8,-0.0796524247580938,-10.22,True
cg10704177,INADL,-0.12062939485568729,-10.42,True
cg10815420,LRP12,-0.04452496813243926,-15.1,True
cg11683482,DMAP1,-0.06307839784798634,-10.92,True
cg11770323,NDFIP2,-0.09746358706076796,-9.41,True
cg11987455,ERMAP,-0.07441972292738562,-11.98,True
cg13054523,METRNL,-0.06702510262207642,-13.94,True
cg13576859,FBP1,-0.0629896353587359,-8.69,True
cg13792581,TOMM34,-0.044206771531317406,-13.71,True
cg14025883,C9orf46,-0.07077750996008537,-11.76,True
cg14084609,EVL,-0.06858019971335502,-12.03,True
cg14611258,C17orf39,-0.05344714797917233,-11.7,True
cg15700636,PRG2,-0.07084468474099866,-11.65,True
cg16263722,MECR,-0.07032272267319607,-11.15,True
cg16409452,EVL,-0.049050990447879306,-9.84,True
cg17971251,SEC16B,-0.06672858849980369,-14.63,True
cg18337287,ARID3A,-0.059270114879947905,-15.13,True
cg18368116,RNASE2,-0.04852885204351818,-11.8,True
cg18460809,BAG2,-0.0375517142343891,-11.6,True
cg18666454,KCNH2,-0.06864197581593356,-11.32,True
cg18817654,C15orf54,-0.03541228355730668,-14.23,True
cg19434937,LPCAT3,-0.08598155345637735,-8.95,True
cg19928703,SLC7A1,-0.09690183078784541,-11.71,True
cg20315954,PMP22,-0.07158383973223166,-12.65,True
cg20503329,COL15A1,-0.03280746237657117,-19.24,True
cg20673965,IRGC,-0.05926349344320775,-11.06,True
cg21498475,SLC24A6,-0.08829488027559033,-10.4,True
cg22235258,EHF,-0.09875529807345297,-13.03,True
cg24028828,CS,-0.04222817229754529,-13.71,True
cg24368962,SIK2,-0.04759288681552415,-15.79,True
cg25173129,EPX,-0.06293753645817501,-12.4,True
cg26252077,NFIA,-0.0896927830389913,-12.78,True
cg26774971,TMEM181,-0.07307261518021939,-10.23,True
cg26979537,NAPA,-0.050730834644665455,-18.55,True
