p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.005415367327918357,0.999917530249314,1,-2.8551300764117125,-0.25332495180869624,-0.07688938408044863,-0.42976051953694383,0.08872623839508968,92,chr17,68202566,cg01858500,NA,-0.25332495180869624,0.005415367327918357,2.266372079559915,chr17,68202566,,17,68202566,1
0.017437698225950832,0.999917530249314,1,-2.4251929279266675,-0.25123984438287794,-0.04523554130418786,-0.45724414746156805,0.10359581767280945,92,chr19,35577342,cg14048271,HPN-AS1,-0.25123984438287794,0.017437698225950832,1.7585108424391127,chr19,35577342,HPN-AS1;HPN-AS1,19,35577342,1
2.6832152334279496e-4,0.999917530249314,1,-3.8046445882372755,-0.244091237717434,-0.11651430222096301,-0.371668173213905,0.06415612077724284,92,chr2,792213,cg24917131,NA,-0.244091237717434,2.6832152334279496e-4,3.571344489109293,chr2,792213,,2,792213,1
0.02664794671131655,0.999917530249314,1,2.2562207361032054,0.23943385720998586,0.450460867001642,0.028406847418329717,0.10612164553700543,92,chrX,24295207,cg02006792,NA,0.23943385720998586,0.02664794671131655,1.5743362487874706,chrX,24295207,,23,24295207,1
0.013144674926193128,0.999917530249314,1,2.533537995581904,0.23792078463605149,0.42466150558541593,0.05118006368668704,0.09390851254291363,92,chr17,6655046,cg08103988,NA,0.23792078463605149,0.013144674926193128,1.8812501497254555,chr17,6558365,,17,6655046,1
0.029917674580874565,0.999917530249314,1,-2.208623810417638,-0.237899868295255,-0.02370625294938708,-0.4520934836411229,0.10771407388307994,92,chrX,2743660,cg21028156,NA,-0.237899868295255,0.029917674580874565,1.5240721660195518,chrX,2743660,,23,2743660,1
0.012104264824868835,0.999917530249314,1,-2.564567154421637,-0.23730282659006985,-0.05330067344618836,-0.4213049797339513,0.09253133659648173,92,chr1,16345207,cg02890259,HSPB7,-0.23730282659006985,0.012104264824868835,1.917061583107718,chr1,16345207,HSPB7;HSPB7,1,16345207,1
0.007558821814188084,0.999917530249314,1,-2.7371660630611863,-0.23709145069422036,-0.064845580965053,-0.4093373204233877,0.0866193154642077,92,chr1,117746638,cg11091790,VTCN1,-0.23709145069422036,0.007558821814188084,2.1215458922596646,chr1,117746638,VTCN1;VTCN1;VTCN1;VTCN1;VTCN1,1,117746638,1
0.0164957505726099,0.999917530249314,1,-2.4467348748309767,-0.23683094363432391,-0.04435094689536692,-0.4293109403732809,0.09679468996438956,92,chr3,195709661,cg01029331,SDHAP1,-0.23683094363432391,0.0164957505726099,1.7826279188499699,chr3,195709661,SDHAP1,3,195709661,1
1.1722467163820515e-6,0.7195629539169108,1,-5.239317358541789,-0.23633440318579638,-0.14663566981662252,-0.32603313655497024,0.045107861771437566,92,chr1,53600889,cg09134876,SLC1A7,-0.23633440318579638,1.1722467163820515e-6,5.930980975103639,chr1,53600889,SLC1A7,1,53600889,1
0.0014846317680695617,0.999917530249314,1,-3.2855899252577077,-0.23485286125022312,-0.09271277749668438,-0.37699294500376185,0.07147966319375729,92,chr4,175187746,cg15988321,FBXO8,-0.23485286125022312,0.0014846317680695617,2.828381250674281,chr4,175187746,FBXO8,4,175187746,1
0.0027737372842552206,0.999917530249314,1,3.082599022521988,0.2315025490683894,0.38084140177773684,0.08216369635904194,0.07509979318652629,92,chr17,39073015,cg13342259,NA,0.2315025490683894,0.0027737372842552206,2.5569346757073705,chr17,39073015,,17,39073015,1
0.0016648499967486588,0.999917530249314,1,-3.248998836307877,-0.2303980634918268,-0.08938370428610523,-0.37141242269754837,0.07091355679082002,92,chr1,170145102,cg09168501,METTL11B,-0.2303980634918268,0.0016648499967486588,2.778624890397331,chr1,170114243,METTL11B,1,170145102,1
0.02341561921669146,0.999917530249314,1,2.3086180569988586,0.23003005837342158,0.4281675090956776,0.03189260765116561,0.09963972068747243,92,chr18,42526328,cg17237138,SETBP1,0.23003005837342158,0.02341561921669146,1.6304943529860483,chr18,42526328,SETBP1,18,42526328,1
0.00742185946506681,0.999917530249314,1,-2.7437216514726672,-0.22970228147277727,-0.06322333154908386,-0.39618123139647066,0.08371923636987255,92,chr16,83967808,cg06052372,NA,-0.22970228147277727,0.00742185946506681,2.129487273393843,chr16,83967808,,16,83967808,1
0.022208357489720675,0.999917530249314,1,-2.329839352999304,-0.2292712715566197,-0.03358618327308846,-0.4249563598401509,0.09840647221512024,92,chr16,20750043,cg26846609,THUMPD1,-0.2292712715566197,0.022208357489720675,1.6534835602956894,chr16,20750043,THUMPD1,16,20750043,1
0.03025814824058313,0.999917530249314,1,2.2039333848768345,0.224626723307109,0.42730025152499385,0.021953195089224192,0.10192083156799321,92,chr19,2340235,cg23803868,SPPL2B,0.224626723307109,0.03025814824058313,1.5191576537584477,chr19,2340235,SPPL2B;SPPL2B,19,2340235,1
0.01910270768367435,0.999917530249314,1,-2.389534885469209,-0.22330829712257397,-0.0374741349405954,-0.4091424593045525,0.09345262062525829,92,chr17,63926873,cg13603318,CCDC46,-0.22330829712257397,0.01910270768367435,1.7189050699913175,chr17,63926873,CCDC46,17,63926873,1
1.271973016370875e-4,0.999917530249314,1,-4.017881580988011,-0.22231374695737302,-0.11228573768391785,-0.3323417562308282,0.05533108492030403,92,chr14,62040310,cg11384510,FLJ22447,-0.22231374695737302,1.271973016370875e-4,3.8955221017108217,chr14,62040310,FLJ22447,14,62040310,1
0.010187204636985666,0.999917530249314,1,2.628652306884441,0.2196926095865356,0.38588700408420173,0.053498215088869455,0.08357613862098102,92,chrX,138726210,cg14351440,MCF2,0.2196926095865356,0.010187204636985666,1.9919449697991407,chrX,138726210,MCF2;MCF2,23,138726210,1
