p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0024921527238696913,0.7415130277713031,1,3.4295967375386995,0.5506475430997295,0.8843588141664283,0.21693627203303073,0.16055751892711148,29,chr12,124861863,cg11231155,NCOR2,0.5506475430997295,0.0024921527238696913,2.603425346803601,chr12,124861863,NCOR2;NCOR2;NCOR2,12,124861863,1
0.003753443144758727,0.7415130277713031,1,-3.2551632866422695,-0.4954863001615076,-0.17911352862778174,-0.8118590716952334,0.1522154978199592,29,chr1,227189106,cg08332381,CDC42BPA,-0.4954863001615076,0.003753443144758727,2.425570158218952,chr1,227189106,CDC42BPA;CDC42BPA,1,227189106,1
9.032665457142998e-4,0.7415130277713031,1,3.8563027115276975,0.4865568459203121,0.7487991164822657,0.22431457535835853,0.1261718496491059,29,chr17,70420028,cg02617100,LINC00673,0.4865568459203121,9.032665457142998e-4,3.044184074435715,chr17,70420028,LINC00673,17,70420028,1
3.7668658850646875e-4,0.7415130277713031,1,4.220868850343297,0.4529503576115251,0.6759935515633478,0.22990716365970235,0.10731211361250542,29,chr10,1251771,cg20205188,ADARB2,0.4529503576115251,3.7668658850646875e-4,3.424019842077915,chr10,1251771,ADARB2,10,1251771,1
0.004423763180584616,0.7415130277713031,1,-3.1846544780315016,-0.4475637340131943,-0.15546290122402123,-0.7396645668023674,0.14053761156841177,29,chr3,111385005,cg13054220,NA,-0.4475637340131943,0.004423763180584616,2.354208130373838,chr3,111385005,,3,111385005,1
0.0028158589686785957,0.7415130277713031,1,-3.3777559867746683,-0.44592355300826736,-0.17153097120762417,-0.7203161348089105,0.1320176930347382,29,chr6,167631788,cg11884832,NA,-0.44592355300826736,0.0028158589686785957,2.5503891004739794,chr6,167631788,,6,167631788,1
0.005065460914232465,0.7415130277713031,1,-3.1262716247620026,-0.42571616848739613,-0.1426853921047423,-0.70874694487005,0.1361737620990643,29,chr14,107174073,cg15618087,NA,-0.42571616848739613,0.005065460914232465,2.2953810313697405,chr14,107174073,,14,107174073,1
0.006546550955707573,0.7415130277713031,1,-3.0150020014276917,-0.41582066146073265,-0.12916621227955233,-0.7024751106419129,0.13791720909764885,29,chr11,111540623,cg23577102,LAYN,-0.41582066146073265,0.006546550955707573,2.183987447400372,chr11,111411348,LAYN;LAYN;LAYN;LAYN;LAYN;LAYN,11,111540623,1
0.01418300662540057,0.7415130277713031,1,2.672477420255175,0.41048676521796273,0.7297326748052533,0.09124085563067214,0.15359784225184153,29,chr14,101507727,cg27056740,MIR300,0.41048676521796273,0.01418300662540057,1.8482316942299546,chr14,101507727,MIR300,14,101507727,1
0.019389423941291156,0.7415130277713031,1,-2.530035190271907,-0.40964114553002934,-0.07311621998643314,-0.7461660710736255,0.1619112442013127,29,chr7,4334400,cg06849002,NA,-0.40964114553002934,0.019389423941291156,1.7124350935945731,chr7,4334400,,7,4334400,1
0.035236090458639166,0.7415130277713031,1,2.2494161806670547,0.4071358907866255,0.7833281031675022,0.030943678405748742,0.18099624884261797,29,chr7,2834869,cg05554406,GNA12,0.4071358907866255,0.035236090458639166,1.4530122837568458,chr7,2834869,GNA12;GNA12;GNA12,7,2834869,1
0.005548976470195323,0.7415130277713031,1,3.0868341302001165,0.395893482885888,0.662459808591157,0.129327157180619,0.12825226953811822,29,chr17,78935070,cg17906851,RPTOR,0.395893482885888,0.005548976470195323,2.2557871167583694,chr17,78935070,RPTOR;RPTOR,17,78935070,1
0.013034587525185604,0.7415130277713031,1,-2.710508045877385,-0.3958883815225765,-0.09231598281442743,-0.6994607802307256,0.14605689222163087,29,chr11,118022607,cg22251955,SCN4B,-0.3958883815225765,0.013034587525185604,1.8849027073702305,chr11,118022607,SCN4B;SCN4B,11,118022607,1
0.06413996216711568,0.7415130277713031,1,-1.9530777248906082,-0.3922291299803737,0.025178654741339457,-0.8096369147020868,0.2008261755186125,29,chr9,100498418,cg12120033,NA,-0.3922291299803737,0.06413996216711568,1.192871300575613,chr9,100498418,,9,100498418,1
0.02045670000937998,0.7415130277713031,1,2.5053492918847815,0.3842496723413028,0.7030255495213112,0.06547379516129437,0.15337169694698763,29,chr1,247803637,cg03221390,NA,0.3842496723413028,0.02045670000937998,1.6891644235714025,chr1,247803637,,1,247803637,1
