probeID,gene,chromosome,position,beta,p,fdr
cg22723460,,20,11188606,-0.374920883844486,0.00102191402871639,0.999997237078611
cg23187802,ZCCHC24,10,81173663,-0.363195654874082,0.00409163778422664,0.999997237078611
cg13438944,C14orf179,14,75985840,-0.338531322689669,0.00174662227937692,0.999997237078611
cg03484420,,6,138023549,0.336095673772269,0.0150776778976295,0.999997237078611
cg02583163,,10,132291878,0.331718251655446,0.000453560754500331,0.999997237078611
cg11431762,HMG20B,19,3571445,-0.32610275928298,0.0127380831194667,0.999997237078611
cg02356645,,3,197080596,-0.319002320645384,0.00202485451617581,0.999997237078611
cg26251192,ACOT1,14,73536495,0.315415454972006,0.00221117667079501,0.999997237078611
cg04665049,HEATR4,14,74019826,0.312765406970274,0.0136226673142511,0.999997237078611
cg05876883,SLC38A7,16,58704495,-0.310374664158296,0.0144016423387329,0.999997237078611
cg07227024,ALS2CR12,2,202163482,0.306562390559596,0.0334425626666017,0.999997237078611
cg03526459,,1,146549940,-0.306148838381405,0.00541812178735827,0.999997237078611
cg11558795,,17,1232845,-0.305356436841488,0.0121912736532103,0.999997237078611
cg10975354,VPS13A,9,79792074,-0.305217353222551,0.0011235339958422,0.999997237078611
cg25484147,ACOT1,14,74003529,0.304771389416088,0.00589683392489474,0.999997237078611
cg01081395,DNAJC6,1,65761642,-0.303226555175692,0.0182342497085662,0.999997237078611
cg02092632,ADAM21,14,70924237,0.302142057715264,0.0274384784474615,0.999997237078611
cg20090066,PDE2A,11,72327160,-0.300789985162322,0.00823407508529107,0.999997237078611
cg18686665,,2,629121,0.300262274655107,0.00498406756541122,0.999997237078611
cg02487331,,1,147078918,-0.29754824700314,0.00196948218528061,0.999997237078611
