p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0029045779898420033,0.9999981884438406,1,-3.0611924791090463,-0.19952087494815682,-0.07003801063669607,-0.32900373925961757,0.06517750069940946,98,chr15,58750131,cg01104393,LOC101928694,-0.19952087494815682,0.0029045779898420033,2.536916957936832,chr15,58750131,LOC101928694;LIPC,15,58750131,1
0.0018446914657222855,0.9999981884438406,1,-3.209072007720438,-0.1966990474162854,-0.07492986519099915,-0.3184682296415717,0.061294681746954766,98,chr4,57256689,cg02958670,NA,-0.1966990474162854,0.0018446914657222855,2.7340762614503538,chr4,57256689,,4,57256689,1
0.005849180471663423,0.9999981884438406,1,-2.823278008320838,-0.191429267918407,-0.05672874298303124,-0.32612979285378274,0.06780390289380703,98,chr1,229260510,cg02627872,NA,-0.191429267918407,0.005849180471663423,2.2329049786301107,chr1,229260510,,1,229260510,1
0.006363108716942394,0.9999981884438406,1,2.7937471007855095,0.1882054642272726,0.3220373919054368,0.054373536549108425,0.06736667902916317,98,chr19,35577342,cg14048271,HPN-AS1,0.1882054642272726,0.006363108716942394,2.196330656558712,chr19,35577342,HPN-AS1;HPN-AS1,19,35577342,1
0.0010440679058036605,0.9999981884438406,1,-3.388368750577911,-0.1858147748582257,-0.07687056067110518,-0.29475898904534625,0.05483900618152426,98,chr1,43472312,cg05712748,NA,-0.1858147748582257,0.0010440679058036605,2.981271254057174,chr1,43472312,,1,43472312,1
0.00761908825288993,0.9999981884438406,1,-2.729858974702273,-0.18469147194399352,-0.050284676815246315,-0.3190982670727407,0.06765604877597627,98,chr9,27172838,cg13774807,TEK,-0.18469147194399352,0.00761908825288993,2.1180969959083997,chr9,27172838,TEK;TEK;TEK,9,27172838,1
0.016168097428213846,0.9999981884438406,1,2.451152755233727,0.18281016922097598,0.3309748086321293,0.03464552980982266,0.07458130417642791,98,chr22,17591088,cg14112997,IL17RA,0.18281016922097598,0.016168097428213846,1.7913410824462304,chr22,17591088,IL17RA,22,17591088,1
0.0023740290103675624,0.9999981884438406,1,-3.127467296364439,-0.18252397593298822,-0.06658172211457226,-0.2984662297514042,0.058361593787140585,98,chr22,36777738,cg01234346,MYH9,-0.18252397593298822,0.0023740290103675624,2.6245139783192664,chr22,36777738,MYH9,22,36777738,1
0.005324048814902296,0.9999981884438406,1,-2.85601901810661,-0.18018425802853197,-0.05484984090406722,-0.3055186751529967,0.06308930608871947,98,chr13,103307218,cg13372276,TPP2,-0.18018425802853197,0.005324048814902296,2.273757971239152,chr13,103307218,TPP2,13,103307218,1
0.005622546001225608,0.9999981884438406,1,-2.837063282243849,-0.17326701473349132,-0.05193889568732597,-0.2945951337796567,0.061072664757923015,98,chr11,1858572,cg10528424,SYT8,-0.17326701473349132,0.005622546001225608,2.250066982669259,chr11,1858572,SYT8,11,1858572,1
