p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.007148209281630339,0.9999937372113313,1,-2.976722780459205,-0.5946563196090826,-0.1794382680925798,-1.0098743711255853,0.19976879389398425,29,chr15,81584389,cg02968327,IL16,-0.5946563196090826,0.007148209281630339,2.1458027409276283,chr15,81584389,IL16;IL16,15,81584389,1
0.005706522093299188,0.9999937372113313,1,3.074808234529945,0.5815756412109865,0.9747061525627607,0.1884451298592122,0.18914208524613688,29,chr15,58750131,cg01104393,LOC101928694,0.5815756412109865,0.005706522093299188,2.2436284969856084,chr15,58750131,LOC101928694;LIPC,15,58750131,1
0.021421980535600325,0.9999937372113313,1,-2.4841005833095218,-0.549855100793466,-0.08978113352248357,-1.0099290680644484,0.22134977322895039,29,chrX,42638571,cg01740135,PPP1R2P9,-0.549855100793466,0.021421980535600325,1.6691403796330164,chrX,42638571,PPP1R2P9,23,42638571,1
0.0428770281146172,0.9999937372113313,1,-2.154269129836645,-0.5471565209033759,-0.019246142788799547,-1.0750668990179522,0.253987077717103,29,chr5,6740855,cg21543103,POLS,-0.5471565209033759,0.0428770281146172,1.3677753240184356,chr5,6740855,POLS,5,6740855,1
0.00479836483052893,0.9999937372113313,1,-3.149765055587562,-0.5433896519158015,-0.18481318671432206,-0.9019661171172808,0.1725175187120224,29,chr2,11728079,cg16908938,GREB1,-0.5433896519158015,0.00479836483052893,2.3189067347212586,chr2,11728079,GREB1;GREB1;GREB1,2,11728079,1
0.029746392781519713,0.9999937372113313,1,2.330328598218551,0.5389102019368045,1.0195810888728651,0.05823931500074381,0.23125931782701428,29,chr11,116664039,cg12556569,APOA5,0.5389102019368045,0.029746392781519713,1.5265656917863335,chr11,116664039,APOA5;APOA5,11,116664039,1
0.011888366598117251,0.9999937372113313,1,-2.7518545011026174,-0.5339446601773722,-0.13065289106956846,-0.9372364292851759,0.19403084718448246,29,chr3,197019934,cg07420417,DLG1,-0.5339446601773722,0.011888366598117251,1.9248778111638674,chr3,197019934,DLG1;DLG1;DLG1;DLG1,3,197019934,1
0.03661751650371816,0.9999937372113313,1,2.230943307187959,0.53321922155391,1.0300012094074296,0.036437233700390426,0.23901065519500705,29,chr1,223747670,cg18391209,CAPN8,0.53321922155391,0.03661751650371816,1.4363111140295677,chr1,223747670,CAPN8,1,223747670,1
0.021948462484939507,0.9999937372113313,1,2.472850841969943,0.5312613104745908,0.9777997460339107,0.08472287491527086,0.21483758804124758,29,chr15,81666528,cg27639199,TMC3,0.5312613104745908,0.021948462484939507,1.6585958971846775,chr15,81666528,TMC3,15,81666528,1
1.136179573816128e-6,0.16270694295916605,0.9818261701744856,-6.721844886109472,-0.5222175301653372,-0.3607402080706593,-0.6836948522600151,0.07768961334476596,29,chr2,235884005,cg06150107,SH3BP4,-0.5222175301653372,1.136179573816128e-6,5.944553022714703,chr2,235884005,SH3BP4,2,235884005,0.9818318510723547
