probeID,gene,chromosome,position,beta,p,fdr
cg26916605,,16,77250184,-0.0161376449692085,1.32188174115722e-08,0.011423067503845
cg19628908,NFXL1,4,47865430,-0.103789159348087,1.58175876751833e-07,0.0141243764817229
cg18184895,MALRD1,10,19432237,-0.100220351006285,5.31375569886999e-07,0.0141243764817229
cg22748852,PLCB1,20,8275246,-0.0951000432859942,5.21066665994794e-08,0.0141243764817229
cg27428961,N4BP2L2,13,32528484,-0.0918625059208366,7.45164478632165e-07,0.0141243764817229
cg20789304,,10,107935977,-0.0897244081647761,5.05046312929727e-07,0.0141243764817229
cg05518778,,7,149033051,-0.0885050457874537,1.2050156151951e-06,0.0141243764817229
cg11545402,GPHN,14,66638946,-0.0860991251553792,8.44127885569236e-08,0.0141243764817229
cg00231729,AKAP6,14,32418920,-0.0838276923970324,8.14192279344951e-07,0.0141243764817229
cg06047130,,6,29012832,-0.0830824715185703,4.11316146684575e-07,0.0141243764817229
cg14428829,,9,107498043,-0.0826461190324313,1.10559153832577e-06,0.0141243764817229
cg03390535,CAB39L,13,49402004,-0.0815674869881106,1.02903827380831e-06,0.0141243764817229
cg02147208,,6,21662417,-0.0804099295681995,1.1352497648547e-06,0.0141243764817229
cg18241068,,18,39946415,-0.0793689019706598,7.84150736153057e-07,0.0141243764817229
cg04979397,ZCCHC8,12,122483734,-0.076683498128318,1.10749986204457e-06,0.0141243764817229
cg14187777,PJA2,5,109384643,-0.0762724250900106,1.08773663211915e-06,0.0141243764817229
cg18029202,TM2D1,1,61709588,-0.0760394990647826,1.22585868704721e-06,0.0141243764817229
cg17844690,NPAS2,2,100934059,-0.0744800286937962,2.00688935738041e-07,0.0141243764817229
cg19582233,CDK15,2,201840738,-0.0729936795936212,9.66798099837753e-07,0.0141243764817229
cg11607524,ALG13,23,111688603,-0.0713872753235139,3.31752529170046e-07,0.0141243764817229
