p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.00935514166898292,0.6107960581851712,1,2.62785137518024,0.13225135432840257,0.2315761846784587,0.03292652397834643,0.05032680142320898,183,chr20,30680224,cg26983017,HCK,0.13225135432840257,0.00935514166898292,2.0289496314037705,chr20,30680224,HCK;HCK;HCK;HCK;HCK;HCK,20,30680224,1
5.670920720811369e-4,0.6107960581851712,1,-3.511305616236026,-0.1280723932687543,-0.056086831731739006,-0.2000579548057696,0.03647429397103935,183,chr7,150412715,cg02355809,GIMAP1,-0.1280723932687543,5.670920720811369e-4,3.2463464240867435,chr7,150412715,GIMAP1,7,150412715,1
0.00787164761081917,0.6107960581851712,1,-2.688433084343515,-0.12571240061758515,-0.03342606726674806,-0.21799873396842223,0.04676047224299157,183,chr20,17680544,cg24859648,BANF2,-0.12571240061758515,0.00787164761081917,2.1039343561547437,chr20,17680544,BANF2;BANF2;BANF2,20,17680544,1
0.0016689527488283748,0.6107960581851712,1,-3.193094508013515,-0.12440353801007398,-0.047511838210945,-0.20129523780920294,0.03896018038234258,183,chr11,118022607,cg22251955,SCN4B,-0.12440353801007398,0.0016689527488283748,2.7775559588351872,chr11,118022607,SCN4B;SCN4B,11,118022607,1
1.2922331879167362e-4,0.6107960581851712,1,3.9151660199141167,0.11982678048936256,0.18023029535322974,0.059423265625495374,0.030605798037650286,183,chr17,40094835,cg25116412,TTC25,0.11982678048936256,1.2922331879167362e-4,3.888659109338245,chr17,40094835,TTC25;TTC25,17,40094835,1
0.017581094795987195,0.6114184329142756,1,-2.397017255069386,-0.11955795396456133,-0.0211192659975781,-0.21799664193154455,0.04987780280334298,183,chr12,131606752,cg00143986,GPR133,-0.11955795396456133,0.017581094795987195,1.7549540843787492,chr12,131606752,GPR133,12,131606752,1
0.014515872079727671,0.6107960581851712,1,-2.468794301516069,-0.11889149390952344,-0.023847565043555452,-0.21393542277549144,0.04815771562519933,183,chr16,56864618,cg11796481,NUP93,-0.11889149390952344,0.014515872079727671,1.8381568676492974,chr16,56864618,NUP93;NUP93;NUP93,16,56864618,1
0.027954857870858305,0.615866328613481,1,2.216354884183164,0.10918976955501854,0.20641996327098305,0.011959575839054007,0.04926547202988223,183,chr10,3200291,cg06728147,PITRM1,0.10918976955501854,0.027954857870858305,1.5535427114560638,chr10,3200291,PITRM1;PITRM1;PITRM1,10,3200291,1
0.016512197924843038,0.6107960581851712,1,-2.4206895834514195,-0.10899029422553266,-0.020130106505814593,-0.19785048194525073,0.04502448185451944,183,chr19,2340235,cg23803868,SPPL2B,-0.10899029422553266,0.016512197924843038,1.782195114314511,chr19,2340235,SPPL2B;SPPL2B,19,2340235,1
0.016606729104708066,0.6107960581851712,1,-2.418542199418973,-0.10733851084267085,-0.01974732640098799,-0.19492969528435372,0.04438149182117132,183,chr6,159670977,cg10637509,FNDC1,-0.10733851084267085,0.016606729104708066,1.7797158986541086,chr6,159670977,FNDC1,6,159670977,1
7.297261890261746e-4,0.6107960581851712,1,3.4389635734734956,0.10660408396288108,0.16778342145785657,0.04542474646790559,0.030998898849983032,183,chr17,925669,cg24439623,ABR,0.10660408396288108,7.297261890261746e-4,3.1368400671426233,chr17,925669,ABR;ABR;ABR,17,925669,1
0.033039196872993316,0.6199046295274386,1,-2.1485995558010154,-0.10658220495734504,-0.008681071084250577,-0.2044833388304395,0.04960543004376185,183,chr22,22057272,cg13195461,YPEL1,-0.10658220495734504,0.033039196872993316,1.4809705181878094,chr22,22057272,YPEL1;YPEL1,22,22057272,1
0.014550444803612662,0.6107960581851712,1,-2.467912483780538,-0.10550629743397252,-0.021132590452433667,-0.1898800044155114,0.042751231304746215,183,chr15,81666528,cg27639199,TMC3,-0.10550629743397252,0.014550444803612662,1.8371237301968497,chr15,81666528,TMC3,15,81666528,1
0.0011255390675917003,0.6107960581851712,1,3.3118848798779523,0.10313614237539419,0.1645963684845835,0.041675916266204864,0.031141222027981513,183,chr8,61287778,cg12960352,CLVS1,0.10313614237539419,0.0011255390675917003,2.9486394259899535,chr8,62200337,CLVS1,8,61287778,1
0.01408521019708644,0.6107960581851712,1,-2.4799383407179127,-0.10235185479483405,-0.020897682109175822,-0.1838060274804923,0.0412719353196517,183,chr9,124924045,cg14114910,MORN5,-0.10235185479483405,0.01408521019708644,1.851236667545542,chr9,124924045,MORN5,9,124924045,1
0.00878310873588293,0.6107960581851712,1,-2.6501096892586116,-0.10165370960166206,-0.025949873898118703,-0.17735754530520542,0.03835830268221859,183,chr13,99095003,cg05730108,FARP1,-0.10165370960166206,0.00878310873588293,2.0563517405996157,chr13,99095003,FARP1,13,99095003,1
0.02822826892678793,0.6159757018972112,1,2.212449550406927,0.1005550566325388,0.19025435401977536,0.01085575924530223,0.04544964951360998,183,chr2,20838317,cg01871867,HS1BP3,0.1005550566325388,0.02822826892678793,1.5493157537551314,chr2,20838317,HS1BP3,2,20838317,1
0.014811801593781567,0.6107960581851712,1,-2.4613058987186047,-0.09948374569577624,-0.019712745228521525,-0.17925474616303094,0.04041909042982795,183,chr4,169186137,cg06500073,DDX60,-0.09948374569577624,0.014811801593781567,1.8293921140208496,chr4,169186137,DDX60,4,169186137,1
0.027358544778224126,0.6158346371411129,1,-2.2249890260689655,-0.09914631735328062,-0.011202114438501082,-0.18709052026806017,0.044560362407022276,183,chr17,70658268,cg00814598,SLC39A11,-0.09914631735328062,0.027358544778224126,1.5629070067909219,chr17,70658268,SLC39A11;SLC39A11,17,70658268,1
0.02369581356012607,0.6144426562243201,1,-2.2819364768463988,-0.09811955877237173,-0.013258091076688988,-0.18298102646805448,0.04299837430530558,183,chr12,1459744,cg23764766,ERC1,-0.09811955877237173,0.02369581356012607,1.6253283758606365,chr12,1459744,ERC1;ERC1;ERC1;ERC1;ERC1,12,1459744,1
