probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg19876836,severity_ATOPIC_C1_vs_C3,0.13459831504221106,1.639068901426577e-7,1,-0.01826101543447827,TNIK,3,171445826
cg17084751,severity_ATOPIC_C1_vs_C3,0.13459831504221106,3.195899553550057e-7,1,-0.07157723159079606,ZNF215,11,6932327
cg24440787,severity_ATOPIC_C1_vs_C3,0.13459831504221106,4.672730551183509e-7,1,-0.02039166378274591,CTNND1,11,57583546
cg24112090,severity_ATOPIC_C1_vs_C3,0.14707677480478243,8.494911076032946e-7,1,-0.02258157713132734,RIN3,14,92519603
cg05180182,severity_ATOPIC_C1_vs_C3,0.14707677480478243,1.008979850783816e-6,1,-0.0753524527487816,NA,10,3624563
cg15993159,severity_ATOPIC_C1_vs_C3,0.14707677480478243,1.2256036781947396e-6,1,-0.04151198382708411,PITPNC1,17,67467925
cg17179455,severity_ATOPIC_C1_vs_C3,0.14707677480478243,1.2781901117900157e-6,1,-0.11370921553255742,ETS1,11,128476906
cg13290417,severity_ATOPIC_C1_vs_C3,0.14707677480478243,1.4409177600076543e-6,1,-0.08958742423861057,OGDH,7,44670945
cg10549984,severity_ATOPIC_C1_vs_C3,0.14707677480478243,1.5317802576896675e-6,1,-0.09527120911351258,NA,1,207537034
cg17603188,severity_ATOPIC_C1_vs_C3,0.15797972325941434,1.8281474006819904e-6,1,-0.04673801831523497,PLD5,1,242188827
cg18032891,severity_INDEPENDENT,0.1789117149759792,2.070373209527713e-7,2,0.14823730815845793,C8orf48,8,13424389
cg18537383,severity_ATOPIC_C1_vs_C3,0.1931610095649517,2.6129406396939005e-6,1,-0.06891718569116971,MCPH1,8,6576254
cg03181212,severity_ATOPIC_C1_vs_C3,0.1931610095649517,2.682319909899439e-6,1,-0.09876020593731126,AKAP13,15,85477232
cg21686287,severity_ATOPIC_C1_vs_C3,0.19554296955044695,4.303038131910704e-6,1,-0.04752667425493341,EXOC6B,2,72794219
cg24085719,severity_ATOPIC_C1_vs_C3,0.19554296955044695,5.721047326599375e-6,1,0.01164467058317075,CXorf38,23,40647225
cg15756055,severity_ATOPIC_C1_vs_C3,0.19554296955044695,5.838966113319355e-6,1,-0.04004829870820492,MAP4K3,2,39418814
cg11659652,severity_ATOPIC_C1_vs_C3,0.19554296955044695,5.916393873528328e-6,1,-0.11116262486066258,PTPRE,10,127999576
cg17518643,severity_ATOPIC_C1_vs_C3,0.19554296955044695,6.9760149912897035e-6,1,-0.04414648300155746,UBAC2,13,99317019
cg21588347,severity_ATOPIC_C1_vs_C3,0.19554296955044695,7.0544338478200255e-6,1,-0.0803250746313438,TOP1,20,39667871
cg04968217,severity_ATOPIC_C1_vs_C3,0.19554296955044695,7.172678271128545e-6,1,-0.06480861465592624,NA,15,58307339
cg15710961,severity_ATOPIC_C1_vs_C3,0.19554296955044695,7.398453594833431e-6,1,-0.0616392571940049,DST,6,56707793
