p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
9.179461445533731e-4,0.1964301082488255,1,-3.4478476278602614,-0.2432113904512382,-0.10275399355386505,-0.3836687873486114,0.07054006345465315,85,chr6,170703742,cg04922606,FAM120B,-0.2432113904512382,9.179461445533731e-4,3.037182797893955,chr6,170703742,FAM120B,6,170703742,1
7.733081147269528e-5,0.1757890558175448,1,-4.175838348454915,-0.22419850691814427,-0.11729355879644791,-0.3311034550398406,0.05368946022565721,85,chr6,25506398,cg04636193,LRRC16A,-0.22419850691814427,7.733081147269528e-5,4.1116474325186445,chr6,25506398,LRRC16A;LRRC16A,6,25506398,1
0.005902190241000865,0.2523051327267196,1,2.8316821587467484,0.2200442888382257,0.3747742319808458,0.06531434569560557,0.07770797586110913,85,chr4,152527286,cg17682313,FBXW7,0.2200442888382257,0.005902190241000865,2.228986796312615,chr4,153448438,FBXW7;FBXW7,4,152527286,1
7.601189815704974e-4,0.19479951010004012,1,-3.5064290319129374,-0.2098323979129544,-0.09067630358498063,-0.3289884922409282,0.059842191586715235,85,chr6,32522905,cg25664050,HLA-DRB6,-0.2098323979129544,7.601189815704974e-4,3.1191184221993287,chr6,32522905,HLA-DRB6,6,32522905,1
0.0026379590287732694,0.22103849295670983,1,-3.107833687712801,-0.20225845221124186,-0.07267257323940263,-0.3318443311830811,0.06508020458459385,85,chr12,125440391,cg06354054,DHX37,-0.20225845221124186,0.0026379590287732694,2.5787319539435067,chr12,125440391,DHX37,12,125440391,1
0.006330060824981838,0.2548991016789238,1,-2.8068646898213614,-0.1976155354311514,-0.05742833089289931,-0.33780273996940346,0.07040436831450124,85,chr19,3446107,cg06584796,NFIC,-0.1976155354311514,0.006330060824981838,2.1985921168662057,chr19,3446107,NFIC;NFIC;NFIC;NFIC;NFIC,19,3446107,1
0.00641779974877926,0.2553978899314315,1,-2.8019665665283617,-0.18739234013833836,-0.054225021526879025,-0.3205596587497977,0.0668788637155359,85,chr8,95176562,cg05351360,CDH17,-0.18739234013833836,0.00641779974877926,2.192613838090773,chr8,95176562,CDH17;CDH17,8,95176562,1
0.0057151014391088805,0.25045965019939936,1,-2.843057043015072,-0.1845213269396724,-0.05528941637765811,-0.3137532375016867,0.0649024357049083,85,chr18,71982463,cg15154763,C18orf63,-0.1845213269396724,0.0057151014391088805,2.242976056772765,chr18,71982463,C18orf63,18,71982463,1
0.01116128421319167,0.28533950876865294,1,2.600157171785879,0.17780961696809391,0.3139742798591405,0.04164495407704735,0.06838418034782413,85,chr6,32797488,cg24080129,TAP2,0.17780961696809391,0.01116128421319167,1.952285832762635,chr6,32797488,TAP2;TAP2,6,32797488,1
0.01115591093996656,0.2853229523155268,1,2.600337208422187,0.16707873220060468,0.29501694219618074,0.039140522205028616,0.0642527175550372,85,chr5,52239660,cg06483046,ITGA1,0.16707873220060468,0.01115591093996656,1.9524949614582887,chr5,52239660,ITGA1,5,52239660,1
0.0023347638963877944,0.21727244173591212,1,-3.1483277681955353,-0.1668202301503728,-0.06131413604220105,-0.2723263242585446,0.052986932248793736,85,chr18,55988293,cg04883592,NEDD4L,-0.1668202301503728,0.0023347638963877944,2.631757031020944,chr18,55988293,NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L,18,55988293,1
0.013748294515100548,0.29932537268371145,1,-2.5214281667339855,-0.16339517966115952,-0.03436199697226197,-0.2924283623500571,0.06480263122974701,85,chr4,2289117,cg08797383,ZFYVE28,-0.16339517966115952,0.013748294515100548,1.8617511730060812,chr4,2289117,ZFYVE28;ZFYVE28;ZFYVE28,4,2289117,1
0.026020233305566624,0.35260764088306246,1,2.269641405971319,0.15843667218379717,0.2974342509899963,0.019439093377598027,0.06980691829421062,85,chr17,70420028,cg02617100,LINC00673,0.15843667218379717,0.026020233305566624,1.5846888137365411,chr17,70420028,LINC00673,17,70420028,1
0.01812099891873922,0.3200673982141305,1,-2.4145660239873483,-0.1573694950870708,-0.02759473475474103,-0.2871442554194006,0.06517506397575955,85,chr14,37445440,cg00814218,SLC25A21,-0.1573694950870708,0.01812099891873922,1.7418178655477923,chr14,37445440,SLC25A21;SLC25A21,14,37445440,1
0.026954943818367407,0.35604488720200894,1,-2.2551789224375196,-0.15599135420639987,-0.0182614346460781,-0.29372127376672164,0.06917027853284295,85,chr8,10049871,cg26077133,MSRA,-0.15599135420639987,0.026954943818367407,1.569361569025419,chr8,10049871,MSRA;MSRA;MSRA,8,10049871,1
0.047772449063933374,0.42100673489395096,1,2.0114094816106296,0.15269605209795278,0.3038557742630479,0.0015363299328577107,0.07591495093066875,85,chr20,36491681,cg10376666,CTNNBL1,0.15269605209795278,0.047772449063933374,1.3208224939544855,chr20,36491681,CTNNBL1;CTNNBL1,20,36491681,1
0.003959738940600872,0.23486485456179354,1,-2.9706198193109614,-0.15259475880776752,-0.05031226406863229,-0.2548772535469027,0.05136798651103124,85,chr17,77704250,cg13874759,ENPP7,-0.15259475880776752,0.003959738940600872,2.4023334454870584,chr17,77704250,ENPP7,17,77704250,1
0.022654703223235668,0.33871940829581826,1,-2.3258243760852997,-0.1524344159788686,-0.02193310254542971,-0.2829357294123075,0.06553995114430688,85,chr2,38528761,cg08839358,ATL2,-0.1524344159788686,0.022654703223235668,1.64484162270816,chr2,38528761,ATL2;ATL2;ATL2;ATL2,2,38528761,1
0.008664454518957644,0.26979697684730064,1,-2.693732529719429,-0.15217123561278714,-0.039688242151291506,-0.26465422907428277,0.056490848268679755,85,chr7,50545625,cg06508795,DDC,-0.15217123561278714,0.008664454518957644,2.06225877361523,chr7,50545625,DDC;DDC;DDC;DDC;DDC;DDC,7,50545625,1
0.002676436848916442,0.22172157855323207,1,-3.1030087214067184,-0.1518518668283348,-0.05440992982351171,-0.24929380383315786,0.048936977128280275,85,chr5,274104,cg12738964,PDCD6,-0.1518518668283348,0.002676436848916442,2.5724429994281963,chr5,274104,PDCD6;PDCD6;PDCD6;PDCD6;PDCD6;PDCD6,5,274104,1
