p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
5.874371253449108e-6,0.16921298206324004,1,4.797281226262084,0.22990168695938062,0.3250263269477375,0.13477704697102377,0.04792332909332355,104,chr17,925669,cg24439623,ABR,0.22990168695938062,5.874371253449108e-6,5.231038610038389,chr17,925669,ABR;ABR;ABR,17,925669,1
0.0012709814558705319,0.16921298206324004,1,-3.320419426714893,-0.22557641763862094,-0.09072770776931072,-0.36042512750793115,0.06793612151034738,104,chr5,16614241,cg12515659,FAM134B,-0.22557641763862094,0.0012709814558705319,2.8958607859305334,chr5,16614241,FAM134B,5,16614241,1
0.004223216976176747,0.1799946461278202,1,-2.9308237064730904,-0.22432930530231146,-0.07239971656779182,-0.3762588940368311,0.07654138486967066,104,chrX,111621927,cg26287822,ZCCHC16,-0.22432930530231146,0.004223216976176747,2.3743566052585976,chrX,111621927,ZCCHC16,23,111621927,1
0.006246541298886579,0.18941636408695775,1,2.796060900484692,0.22110979106597775,0.3780764427537575,0.06414313937819799,0.07907903258746932,104,chr19,3571445,cg11431762,HMG20B,0.22110979106597775,0.006246541298886579,2.204360384349568,chr19,3571445,HMG20B,19,3571445,1
0.010573331456877798,0.20719498681142381,1,-2.607499086485022,-0.2128358429962107,-0.05081658103947856,-0.37485510495294283,0.08162451296698979,104,chr9,139607421,cg12657416,FAM69B,-0.2128358429962107,0.010573331456877798,1.9757881531485941,chr9,139607421,FAM69B,9,139607421,1
0.004114457235989755,0.17925706826256277,1,-2.9396553205198757,-0.21059108540681015,-0.06839435260768514,-0.3527878182059352,0.07163801957896454,104,chr6,31237034,cg11574174,HLA-C,-0.21059108540681015,0.004114457235989755,2.385687447198141,chr6,31237034,HLA-C,6,31237034,1
0.006769673215520957,0.1919961193237327,1,2.7678200911916395,0.18971258109320746,0.32576439044647776,0.05366077173993716,0.06854223715513598,104,chr18,47360873,cg11148883,SNHG22,0.18971258109320746,0.006769673215520957,2.1694322949960005,chr18,47360873,SNHG22;MYO5B,18,47360873,1
0.0014382032891738239,0.16929623391018897,1,-3.28176829180708,-0.18895664734693707,-0.07466873317684183,-0.3032445615170323,0.0575776930439198,104,chr8,142670378,cg10596483,JRK,-0.18895664734693707,0.0014382032891738239,2.8421797223492105,chr8,143751796,JRK;JRK,8,142670378,1
0.024469205978168197,0.2521907746510048,1,2.2856626075524598,0.18666350805941095,0.34876736439937345,0.02455965171944846,0.08166713120415202,104,chr17,76503526,cg15132295,DNAH17,0.18666350805941095,0.024469205978168197,1.6113801232062408,chr17,76503526,DNAH17,17,76503526,1
8.155153492470785e-5,0.16921298206324004,1,-4.11561718913716,-0.18390456293847154,-0.0952086559742602,-0.2726004699026829,0.04468456478991118,104,chr19,17794817,cg16744531,B3GNT3,-0.18390456293847154,8.155153492470785e-5,4.088567860459912,chr19,17905626,B3GNT3,19,17794817,1
0.029312074312184785,0.2649830005815441,1,2.2123022074371455,0.18064296346432085,0.34272043135013724,0.018565495578504454,0.08165383682981892,104,chr12,52798363,cg19393008,KRT82,0.18064296346432085,0.029312074312184785,1.532953446984307,chr12,52798363,KRT82,12,52798363,1
0.0030696471613370423,0.1749089881184812,1,3.037609483378156,0.1804555395532476,0.29837468546945595,0.06253639363703928,0.0594070898648108,104,chr16,1306346,cg10516012,TPSD1,0.1804555395532476,0.0030696471613370423,2.5129115413602037,chr16,1306346,TPSD1,16,1306346,1
0.018655837504477187,0.23522251034180447,1,2.392937212626861,0.17996167072277833,0.3292393103715444,0.03068403107401224,0.07520534587082807,104,chr2,71723690,cg09829645,DYSF,0.17996167072277833,0.018655837504477187,1.729185249683528,chr2,71723690,DYSF;DYSF;DYSF;DYSF;DYSF;DYSF;DYSF;DYSF;DYSF;DYSF;DYSF;DYSF;DYSF;DYSF,2,71723690,1
0.03449444249343807,0.2782247332374087,1,-2.1447206322466252,-0.177991650750837,-0.013260797598021568,-0.34272250390365244,0.08299059936975951,104,chrX,47082248,cg18218696,CDK16,-0.177991650750837,0.03449444249343807,1.462250869821027,chrX,47082248,CDK16;CDK16;CDK16,23,47082248,1
0.00404765487517612,0.1787484936027764,1,-2.94518713746952,-0.17586692085377412,-0.057339915657483004,-0.2943939260500652,0.05971332640168919,104,chr10,128824401,cg02788935,DOCK1,-0.17586692085377412,0.00404765487517612,2.3927965248729097,chr10,128824401,DOCK1;DOCK1,10,128824401,1
0.02272042353862691,0.24730636270800876,1,-2.3153240850550065,-0.17564333689362305,-0.02506380722096016,-0.32622286656628596,0.07586123170720188,104,chr3,52749334,cg01132052,NEK4,-0.17564333689362305,0.02272042353862691,1.6435835770642722,chr3,52749334,NEK4;NEK4,3,52749334,1
0.007762002543230594,0.19607606012876574,1,2.7193283211611465,0.1751794072004756,0.3030490503367925,0.047309764064158655,0.06442010177192375,104,chr5,166334599,cg02079756,CTB-7E3.1,0.1751794072004756,0.007762002543230594,2.1100262192988084,chr5,166334599,CTB-7E3.1,5,166334599,1
0.01877225234647176,0.23550021985785496,1,-2.3905141397044707,-0.17200584463498075,-0.029182916110228746,-0.3148287731597328,0.07195349392756369,104,chr6,32797488,cg24080129,TAP2,-0.17200584463498075,0.01877225234647176,1.7264836164058668,chr6,32797488,TAP2;TAP2,6,32797488,1
0.00905182444680868,0.20084952424439795,1,2.66411371296729,0.171942851303329,0.3000511939962214,0.04383450861043661,0.06454035744285819,104,chr2,177518584,cg15609861,LINC01117,0.171942851303329,0.00905182444680868,2.043263877443954,chr2,177518584,LINC01117,2,177518584,1
0.04316315966576461,0.29769028744231046,1,-2.049222350204752,-0.1698930018843062,-0.005329904619188863,-0.33445609914942354,0.08290608477275832,104,chr20,57463991,cg09885502,GNAS,-0.1698930018843062,0.04316315966576461,1.3648867712370507,chr20,57463991,GNAS;GNAS;GNAS;GNAS,20,57463991,1
