probeID,gene,chromosome,position,beta,p,fdr
cg17084751,ZNF215,11,6932327,-0.0715772315907961,3.19589955355006e-07,0.134598315042211
cg24440787,CTNND1,11,57583546,-0.0203916637827459,4.67273055118351e-07,0.134598315042211
cg19876836,TNIK,3,171445826,-0.0182610154344783,1.63906890142658e-07,0.134598315042211
cg17179455,ETS1,11,128476906,-0.113709215532557,1.27819011179002e-06,0.147076774804782
cg10549984,,1,207537034,-0.0952712091135126,1.53178025768967e-06,0.147076774804782
cg13290417,OGDH,7,44670945,-0.0895874242386106,1.44091776000765e-06,0.147076774804782
cg05180182,,10,3624563,-0.0753524527487816,1.00897985078382e-06,0.147076774804782
cg15993159,PITPNC1,17,67467925,-0.0415119838270841,1.22560367819474e-06,0.147076774804782
cg24112090,RIN3,14,92519603,-0.0225815771313273,8.49491107603295e-07,0.147076774804782
cg17603188,PLD5,1,242188827,-0.046738018315235,1.82814740068199e-06,0.157979723259414
cg03181212,AKAP13,15,85477232,-0.0987602059373113,2.68231990989944e-06,0.193161009564952
cg18537383,MCPH1,8,6576254,-0.0689171856911697,2.6129406396939e-06,0.193161009564952
cg18032891,C8orf48,8,13424389,0.145810805316948,1.15988634277063e-05,0.195542969550447
cg11659652,PTPRE,10,127999576,-0.111162624860663,5.91639387352833e-06,0.195542969550447
cg23339014,PRKCH,14,61533773,-0.109710023126114,1.37253188558173e-05,0.195542969550447
cg14898318,OPA3,19,46045657,-0.108955055978674,8.16101895437579e-06,0.195542969550447
cg06592918,PQLC1,18,79943051,-0.10439030025381,2.28418231619876e-05,0.195542969550447
cg08467103,SPRED2,2,65366799,0.104300288850055,2.22462314552536e-05,0.195542969550447
cg14513031,DAB2IP,9,124521844,-0.0982680698477174,2.91495412850223e-05,0.195542969550447
cg08086385,RYBP,3,72381060,-0.0964972206669952,1.79969474537245e-05,0.195542969550447
