p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
2.2808636602096222e-4,0.3522639096269641,1,-3.858073804200309,-0.27869436638931877,-0.13497108879703,-0.4224176439816075,0.0722366601919078,89,chr16,66600478,cg05477582,CMTM1,-0.27869436638931877,2.2808636602096222e-4,3.641900674121989,chr16,66600478,CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1,16,66600478,1
0.0037319754253608917,0.5862827534575183,1,-2.9862974248925105,-0.2355301672128342,-0.07860849234573133,-0.3924518420799371,0.07887029779738432,89,chr7,120659,cg01156747,NA,-0.2355301672128342,0.0037319754253608917,2.428061224696518,chr7,120659,,7,120659,1
0.004075396854127939,0.5989391738585657,1,2.956279401485137,0.22993549562395307,0.3846852599298955,0.07518573131801065,0.07777867528638906,89,chr1,246785611,cg04246708,CNST,0.22993549562395307,0.004075396854127939,2.3898300941225363,chr1,246785611,CNST;CNST,1,246785611,1
0.007125630170319093,0.6968274978984126,1,2.760851824855675,0.2295880772472525,0.39504147356045194,0.06413468093405306,0.08315842059334508,89,chr19,35577342,cg14048271,HPN-AS1,0.2295880772472525,0.007125630170319093,2.147176721861183,chr19,35577342,HPN-AS1;HPN-AS1,19,35577342,1
0.004921418985925985,0.6302391908011132,1,2.8912758120083417,0.2269434242920075,0.38311339712381304,0.07077345146020197,0.07849248534139944,89,chr7,158541253,cg13211008,ESYT2,0.2269434242920075,0.004921418985925985,2.3079096596499893,chr7,158541253,ESYT2,7,158541253,1
0.0018699586389857648,0.4929172271790112,1,-3.2155072863412286,-0.2135714194712696,-0.08142266009268778,-0.3457201788498514,0.06641919935261048,89,chr1,47856610,cg15199699,LINC01389,-0.2135714194712696,0.0018699586389857648,2.7281679993773533,chr1,47856610,LINC01389,1,47856610,1
0.01641467411775369,0.8629238015771216,1,-2.450501245531932,-0.21131781479310963,-0.03974414612089927,-0.38289148346532,0.08623452658039304,89,chr2,240965916,cg05023192,NDUFA10,-0.21131781479310963,0.01641467411775369,1.784767734942939,chr2,240965916,NDUFA10,2,240965916,1
0.028720442453327635,0.9736433094137413,1,2.226941540341817,0.2093042532796574,0.3963029980990978,0.022305508460217005,0.09398731376106574,89,chr2,241896910,cg06193597,NA,0.2093042532796574,0.028720442453327635,1.541808873846222,chr2,241896910,,2,241896910,1
0.008452011788764655,0.727265410675735,1,-2.699307665208681,-0.20895296539122477,-0.054937048687721896,-0.36296888209472766,0.07740983663493238,89,chr2,2585322,cg12109978,NA,-0.20895296539122477,0.008452011788764655,2.073039905870568,chr2,2585322,,2,2585322,1
0.0022537958446441696,0.5153174425859733,1,-3.1546433923944677,-0.20836059898468637,-0.07694867352680729,-0.33977252444256545,0.06604885974973372,89,chr5,170845058,cg00546757,NA,-0.20836059898468637,0.0022537958446441696,2.6470854261603947,chr5,170845058,,5,170845058,1
0.0014913599804583628,0.468981699357007,1,-3.288285250581763,-0.2068480949044401,-0.08169214664112334,-0.33200404316775683,0.06290454724627206,89,chr1,229997149,cg26546906,NA,-0.2068480949044401,0.0014913599804583628,2.8264175150601,chr1,229997149,,1,229997149,1
0.011121533968343703,0.7830757669822761,1,-2.598347958811763,-0.2033751770832477,-0.047645964047319495,-0.35910439011917594,0.07827095535589935,89,chr2,55393977,cg19384241,NA,-0.2033751770832477,0.011121533968343703,1.9538353073545325,chr2,55393977,,2,55393977,1
0.0143014891474351,0.8345138064375125,1,-2.5035032743133043,-0.20290176017748845,-0.04164901938816737,-0.36415450096680957,0.08104713193680291,89,chr13,103307218,cg13372276,TPP2,-0.20290176017748845,0.0143014891474351,1.8446187391193982,chr13,103307218,TPP2,13,103307218,1
0.005069517973682558,0.63413045281566,1,-2.880971345706125,-0.19687281176440238,-0.060911214060901386,-0.3328344094679034,0.06833556746679442,89,chr1,101106533,cg24534774,NA,-0.19687281176440238,0.005069517973682558,2.295033332840611,chr1,101106533,,1,101106533,1
0.006962394776479654,0.6929775576188579,1,-2.76913693672092,-0.1967730677465203,-0.05539218855339251,-0.3381539469396481,0.07105934890295805,89,chr1,65761642,cg01081395,DNAJC6,-0.1967730677465203,0.006962394776479654,2.157241355314024,chr1,65761642,DNAJC6;DNAJC6,1,65761642,1
0.01828067514992879,0.8849026435223653,1,-2.408555203547959,-0.19473223837793124,-0.033871260139621634,-0.3555932166162409,0.08085022842369481,89,chr4,166428088,cg14449263,NA,-0.19473223837793124,0.01828067514992879,1.738007768751317,chr4,166428088,,4,166428088,1
0.012767571798149833,0.8117365144581206,1,-2.546583231704242,-0.19387661137902257,-0.042402993131735595,-0.34535022962630957,0.07613205371232853,89,chr17,39151857,cg13183651,KRTAP3-3,-0.19387661137902257,0.012767571798149833,1.8938916912204067,chr17,39151857,KRTAP3-3,17,39151857,1
0.018424622686344698,0.8861621051733813,1,2.4054805262706545,0.19329430963101116,0.35317156271788097,0.033417056544141316,0.08035579898486465,89,chr11,116664039,cg12556569,APOA5,0.19329430963101116,0.018424622686344698,1.7346013971957122,chr11,116664039,APOA5;APOA5,11,116664039,1
0.0017185392703259856,0.4804589877402443,1,-3.242794009626454,-0.18960278970140843,-0.0732719628112477,-0.30593361659156915,0.058468958909680874,89,chr15,76016056,cg19495614,ODF3L1,-0.18960278970140843,0.0017185392703259856,2.7648405393539215,chr15,76016056,ODF3L1,15,76016056,1
0.006679846839443852,0.6853957499405229,1,-2.7839072483588265,-0.18775837275143414,-0.053570272296728866,-0.32194647320613945,0.06744419120361203,89,chr4,189026860,cg25569462,TRIML2,-0.18775837275143414,0.006679846839443852,2.1752334952410632,chr4,189026860,TRIML2,4,189026860,1
