probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg22147968,asthma_GLOBAL_vs_CONTROLS,0.01699105177073219,1.966211010416245e-8,2,0.0156458028170036,CUX2,12,111320082
cg14958342,asthma_NONATOPIC_vs_Control_NonAtopic,0.15066086102661105,1.7434532469589967e-7,1,0.18354555527130184,FGGY,1,60039858
cg03530274,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,5.626591867823407e-7,1,0.00524886050312153,PURG,8,31034257
cg02997605,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,8.482463813443359e-7,1,0.03394339853880491,NA,16,9444112
cg12121966,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.7974764308558054e-6,1,-0.02477069953516503,KLHL18,3,47298943
cg12151614,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,2.453393957361238e-6,1,-0.01928176511281736,PZP,12,9200755
cg21221497,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,2.681358514145518e-6,1,0.03949215113583901,NA,4,153128060
cg04101117,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,3.2598760609575194e-6,1,0.02973095823804628,PPHLN1,12,42325796
cg01891497,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,3.7138407680306728e-6,1,0.05167310621647168,NA,11,122440676
cg22938252,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,4.0249295252698576e-6,1,0.03870487824989396,NPM1,5,171386223
cg24573207,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,4.301200086313016e-6,1,0.03794794511496178,NA,3,75612055
cg25672097,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,4.787551584190658e-6,1,-0.10277120218650385,ATP8B4,15,50120658
cg24189072,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,4.810606697361629e-6,1,0.02089434935086239,OAS1,12,112906569
cg19628908,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,5.5972831447624106e-6,1,-0.11813615360004362,NFXL1,4,47865430
cg24439623,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,5.874371253449108e-6,1,0.22990168695938065,ABR,17,925669
cg25234434,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,6.39527499705295e-6,1,-0.09103137931338567,NA,2,112493421
cg23267513,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,6.4201950295621466e-6,1,0.04652912479361001,STEAP2-AS1,7,89782140
cg10453481,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,6.633030048660609e-6,1,-0.05476086720861487,TCTN1,12,110649075
cg13050357,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,6.776604029847199e-6,1,-0.04333965954747915,MAEA,4,1332618
cg25076949,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,6.842257482952042e-6,1,-0.0123857271042473,PSEN2,1,226869801
cg12529283,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,7.037769499400562e-6,1,-0.06645713354907444,NA,5,89931153
cg04206257,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,7.2297815975251535e-6,1,-0.04208216399190914,IGSF11,3,118908175
cg10243609,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,8.451045960715444e-6,1,0.04058710453257129,SLC1A2,11,35420195
cg18382401,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,8.630340196138021e-6,1,-0.07081411683904547,NA,5,92327817
cg05969392,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,8.944052555384433e-6,1,-0.01553825854573456,SNORD8,14,21397499
cg17104562,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,9.0191075552273e-6,1,-0.07325902354402715,LRCH1,13,46643465
cg08660379,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,9.079545870241531e-6,1,-0.01109291908643328,NCOR1,17,15973163
cg01778565,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,9.276127763291445e-6,1,-0.09391773210540338,NA,8,114843336
cg11545402,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,9.542267120788933e-6,1,-0.08763535314490432,GPHN,14,66638946
cg00729039,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,9.640869410838938e-6,1,-0.01868007496433626,PDIA4,7,149025706
cg13301813,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,9.704699878558312e-6,1,-0.02412586986936914,ZDHHC14,6,157515960
cg19606096,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,9.95659992485161e-6,1,0.01723744962393274,MRPL42,12,93467365
cg19292908,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.0181169389742162e-5,1,0.01472645989700603,PRAME,22,22557739
cg21925575,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.0192274477920435e-5,1,-0.02560896090561297,APAF1,12,98723229
cg04570442,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.0260512241140211e-5,1,-0.07346317473087254,ADCY9,16,3974421
cg17826236,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.0278424079022408e-5,1,0.06671095947253561,NA,6,50088055
cg17055591,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.0782408469972794e-5,1,-0.01541247438747305,PLXNA2,1,208213064
cg24276243,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.10834302483775e-5,1,-0.01766140253565511,NA,6,105978146
cg24624572,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.2038762116089996e-5,1,-0.03169760725815837,NA,7,20354007
cg18241068,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.2098223681667942e-5,1,-0.09290544582872448,NA,18,39946415
cg22853262,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.2150978200555597e-5,1,0.03825315935169673,IL23R,1,67234172
cg06817840,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.251226099509826e-5,1,0.0082308259831673,CCNA2,4,121823058
cg01524948,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.2812340229536585e-5,1,-0.01096231104488093,ZHX2,8,122926473
cg17490896,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.3092821918927491e-5,1,-0.04161818752853107,CCL28,5,43397659
cg11411884,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.3126525429154998e-5,1,0.01037295282526604,FGFRL1,4,1022545
cg04260924,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.3305469006621756e-5,1,0.05886890062732781,PMS1,2,189783557
cg27641534,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.3397984747812042e-5,1,0.00845606172976785,EXO1,1,241848574
cg12808784,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.3412941854340325e-5,1,-0.01616132818043784,ARHGAP15,2,143282690
cg17628660,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.385505342929373e-5,1,-0.04570196938134156,PCNA,20,5116573
cg19147241,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.400129774055653e-5,1,-0.0802461517875826,PAPOLA,14,96520090
cg04781764,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.4069842712338051e-5,1,-0.02549749945770131,WDR51B,12,89893765
cg23113308,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.5396436721198192e-5,1,-0.03372655006982818,NA,4,58984297
cg08576768,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.5671005969722996e-5,1,-0.08456749693764136,LOC101928438,9,99816607
ch.4.71452R,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.5699379748355374e-5,1,0.00796939763082263,TACC3,4,1726499
cg19610561,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.5745464261181795e-5,1,0.03177919220073242,NA,13,57558357
cg04191342,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.590253996833664e-5,1,0.01457782532435761,CADPS,3,62859289
cg14964274,asthma_ATOPIC_vs_Control_Atopic,0.16921298206324004,1.601096666730123e-5,1,-0.01502165069861237,USH2A,1,215623214
