p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
1.3215053900943824e-15,7.707829927415894e-10,1.1419815258608408e-9,43.08193735040527,0.47268268433394584,0.4963458060294295,0.44901956263846216,0.010971713748372074,21,chr17,80888247,cg10099574,0.47268268433394584,1.3215053900943824e-15,14.878931061148636,chr17,80888247,TBCD,17,80888247,TBCD,1.1419815258608408e-9
1.783906055280991e-15,7.707829927415894e-10,1.5415642015771235e-9,42.108595404270126,0.6675574456922106,0.7017487334434701,0.6333661579409512,0.01585323469669842,21,chr1,55776971,cg02426972,0.6675574456922106,1.783906055280991e-15,14.748628020333973,chr1,55776971,,1,55776971,NA,1.5415659854831788e-9
6.54327307806351e-9,0.0018847941723182462,0.005654369430408582,13.00175205419864,0.3210394514225717,0.3742936794819888,0.2677852233631546,0.02469201459036429,21,chr12,94202663,cg21100591,0.3210394514225717,6.54327307806351e-9,8.184204954404171,chr12,94596439,PLXNC1,12,94202663,PLXNC1,0.005654382516954738
9.35277897782325e-9,0.002020555664810979,0.008082194600906983,12.62950677301409,0.31567544248406926,0.36958328818509534,0.2617675967830432,0.024995072900121804,21,chr1,206855799,cg15230952,0.31567544248406926,9.35277897782325e-9,8.029059328655316,chr1,206855799,,1,206855799,NA,0.008082222659243916
1.6671989997349743e-7,0.021164691255592928,0.14407066812229785,9.940764543802587,0.2869286165569061,0.3491803782121554,0.2246768549016568,0.028863837916348924,21,chr16,30448902,cg10329333,0.2869286165569061,1.6671989997349743e-7,6.778012558943017,chr16,30460223,,16,30448902,NA,0.14407133500189775
1.7521405886475412e-7,0.021164691255592928,0.15141070332580067,9.89882871591927,0.4324428009503391,0.5266626558315463,0.33822294606913195,0.04368625959300475,21,chr7,128121307,cg04054586,0.4324428009503391,1.7521405886475412e-7,6.756431049752281,chr7,127761359,,7,128121307,NA,0.151411579396095
2.0347958170957388e-7,0.021164691255592928,0.17583606661600143,9.773448485475118,0.3721045067327471,0.45421802692992674,0.28999098653556743,0.03807300026042527,21,chr17,55817532,cg26129419,0.3721045067327471,2.0347958170957388e-7,6.691479163813489,chr17,55817532,,17,55817532,NA,0.1758372874934917
2.307073549338583e-7,0.021164691255592928,0.19936460722931898,-9.669119023272794,-0.0414103827750452,-0.032173617498759015,-0.05064714805133138,0.004282746202148689,21,chr1,155050874,cg23890506,-0.0414103827750452,2.307073549338583e-7,6.636938559981406,chr1,155023350,ADAM15;DCST1;ADAM15;ADAM15;DCST1;ADAM15;ADAM15;ADAM15,1,155050874,ADAM15,0.1993662221808035
2.4017516681278715e-7,0.021164691255592928,0.20754592935026914,9.635889682730708,0.4074334043028807,0.4986265889237851,0.31624021968197635,0.04228290461160806,21,chr7,122215599,cg22290395,0.4074334043028807,2.4017516681278715e-7,6.619471898988545,chr7,121855653,,7,122215599,NA,0.20754785075160365
2.449186168127011e-7,0.021164691255592928,0.21164470828837798,9.619762671265907,0.30180337725611556,0.36946732096516444,0.23413943354706668,0.03137326642762175,21,chr5,141855127,cg20973649,0.30180337725611556,2.449186168127011e-7,6.610978201924152,chr5,141855127,,5,141855127,NA,0.2116469125559293
3.2418421318952883e-7,0.02546767601783252,0.28014119435402585,9.390819450099,0.3735012230528291,0.45928123578653723,0.287721210319121,0.039773017151223326,21,chr5,140055645,cg13597422,0.3735012230528291,3.2418421318952883e-7,6.489208137826826,chr5,140055645,HARS,5,140055645,HARS,0.2801444361961577
