p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0012642659750676626,0.9999971606362292,1,3.3660701083281084,0.3877159213276502,0.6176108896964865,0.15782095295881388,0.11518355496173091,75,chr11,116664039,cg12556569,APOA5,0.3877159213276502,0.0012642659750676626,2.8981615499834144,chr11,116664039,APOA5;APOA5,11,116664039,1
9.807812245409415e-5,0.9999971606362292,1,-4.142757415493123,-0.373561675732398,-0.19358683437027976,-0.5535365170945162,0.09017223029650459,75,chr15,76016056,cg19495614,ODF3L1,-0.373561675732398,9.807812245409415e-5,4.008427856606565,chr15,76016056,ODF3L1,15,76016056,1
0.0070032489504553526,0.9999971606362292,1,2.782123389772688,0.36254645895792936,0.62263802410485,0.1024548938110087,0.13031286113717302,75,chr22,22057272,cg13195461,YPEL1,0.36254645895792936,0.0070032489504553526,2.154700435141752,chr22,22057272,YPEL1;YPEL1,22,22057272,1
4.9266822586873046e-5,0.9999971606362292,1,-4.338877580681378,-0.36245423815910455,-0.19572384536868012,-0.529184630949529,0.08353640576837494,75,chr7,47539511,cg10974412,TNS3,-0.36245423815910455,4.9266822586873046e-5,4.307445446198512,chr7,47539511,TNS3,7,47539511,1
0.001908985795560325,0.9999971606362292,1,3.231429645394596,0.3295127334580479,0.533037134260051,0.1259883326560448,0.10197119220208505,75,chr8,145737513,cg19787013,RECQL4,0.3295127334580479,0.001908985795560325,2.7191973031059247,chr8,145737513,RECQL4,8,145737513,1
0.016264954651584305,0.9999971606362292,1,2.464953739471649,0.31028402879031614,0.5615245215491862,0.05904353603144602,0.12587823609899634,75,chr3,52749334,cg01132052,NEK4,0.31028402879031614,0.016264954651584305,1.788747143239438,chr3,52749334,NEK4;NEK4,3,52749334,1
0.009098882653857063,0.9999971606362292,1,2.686149283828735,0.305748916017497,0.5329308376820956,0.0785669943528984,0.11382424568067719,75,chr7,77827649,cg02483977,MAGI2,0.305748916017497,0.009098882653857063,2.0410119359270293,chr7,77827649,MAGI2;MAGI2,7,77827649,1
0.02293281054603611,0.9999971606362292,1,2.3279668554957844,0.2882050042999982,0.5352998649993257,0.04111014360067064,0.12380116307051954,75,chr1,245496589,cg02215080,KIF26B,0.2882050042999982,0.02293281054603611,1.6395427167556456,chr1,245496589,KIF26B,1,245496589,1
0.027417776048991583,0.9999971606362292,1,-2.254666899016831,-0.28337148976410925,-0.032522271284429694,-0.5342207082437889,0.12568219717408194,75,chr10,3200291,cg06728147,PITRM1,-0.28337148976410925,0.027417776048991583,1.5619677752511607,chr10,3200291,PITRM1;PITRM1;PITRM1,10,3200291,1
0.004774239547015629,0.9999971606362292,1,-2.9189664536512443,-0.27442794956042316,-0.08678241894722089,-0.46207348017362543,0.09401545167370792,75,chr13,28562900,cg08600378,PRHOXNB,-0.27442794956042316,0.004774239547015629,2.32109579409821,chr13,28562900,PRHOXNB,13,28562900,1
0.03780965441414029,0.9999971606362292,1,-2.1187727138039727,-0.2712788944358477,-0.0157319906308398,-0.5268257982408555,0.12803586371886144,75,chr8,143561205,cg25614253,BAI1,-0.2712788944358477,0.03780965441414029,1.4223972921354227,chr8,143561205,BAI1,8,143561205,1
0.012842433957811558,0.9999971606362292,1,2.5563907115621642,0.2627931518710528,0.4679687937409479,0.05761751000115764,0.10279850833539628,75,chr11,118022607,cg22251955,SCN4B,0.2627931518710528,0.012842433957811558,1.8913526589563028,chr11,118022607,SCN4B;SCN4B,11,118022607,1
0.02163046662864701,0.9999971606362292,1,-2.3516386403735297,-0.26235839306880365,-0.03968754534052529,-0.485029240797082,0.11156407645484646,75,chr3,193019767,cg17268094,ATP13A5,-0.26235839306880365,0.02163046662864701,1.6649341115336052,chr3,193019767,ATP13A5,3,193019767,1
0.005828886479562941,0.9999971606362292,1,-2.8481922134210746,-0.2616164494434575,-0.07828594206228434,-0.4449469568246307,0.09185350911735686,75,chr13,113735031,cg22402121,MCF2L,-0.2616164494434575,0.005828886479562941,2.234414402697278,chr13,113735031,MCF2L;MCF2L,13,113735031,1
0.006844238349333641,0.9999971606362292,1,2.790443997640995,0.2604899484163438,0.4468087348027808,0.07417116202990681,0.09335071717495805,75,chr1,94472813,cg05377703,ABCA4,0.2604899484163438,0.006844238349333641,2.164674874642638,chr1,94472813,ABCA4,1,94472813,1
0.006130184314312276,0.9999971606362292,1,2.8301472855212157,0.25957337452337237,0.4426319563342286,0.07651479271251616,0.09171726710172538,75,chr8,23228723,cg06824156,LOXL2,0.25957337452337237,0.006130184314312276,2.212526467490496,chr8,23228723,LOXL2,8,23228723,1
0.017133990289546926,0.9999971606362292,1,-2.444516736450076,-0.2594818311382001,-0.04761989984099349,-0.47134376243540677,0.10614851895635588,75,chr16,87867871,cg07178458,SLC7A5,-0.2594818311382001,0.017133990289546926,1.7661414835655203,chr16,87867871,SLC7A5,16,87867871,1
0.028615291258610148,0.9999971606362292,1,2.2368968713328727,0.25825969623788136,0.4886953427145132,0.027824049761249525,0.1154544492183027,75,chr17,70658268,cg00814598,SLC39A11,0.25825969623788136,0.028615291258610148,1.5434018292990677,chr17,70658268,SLC39A11;SLC39A11,17,70658268,1
