probeID,gene,chromosome,position,beta,p,fdr
cg09588850,PPAPDC3,9,131297723,-0.0143100863761114,3.31515338601209e-07,0.286479642882912
cg22446445,VIL1,2,219303984,-0.0304365064402539,1.31449610049828e-06,0.414228490131296
cg18100532,TRPV1,17,3597114,-0.0106498330952252,1.43804037992609e-06,0.414228490131296
cg14289956,PPARD,6,35372052,0.153724724897012,2.51647690881927e-06,0.41611540934353
cg26772116,MTIF3,13,27442487,0.0664858524044703,2.49781184379107e-06,0.41611540934353
cg17552056,,14,22512637,-0.0632840601548402,3.34913810336054e-06,0.41611540934353
cg06876433,ADD3,10,110111641,-0.00830926105847804,3.37071240407325e-06,0.41611540934353
cg24181914,ZC3H4,19,47114044,-0.0346333776881783,4.81785893919995e-06,0.52042030475344
cg26983017,HCK,20,30680224,0.251384497985996,0.000116024633643218,0.52784896555591
cg19848924,,10,34344580,0.204816680327601,7.72377934511214e-05,0.52784896555591
cg09916840,,16,87248612,-0.190045637116125,0.000294172643437646,0.52784896555591
cg00814218,SLC25A21,14,37445440,0.188560167879541,0.000382124452528833,0.52784896555591
cg02627872,,1,229260510,-0.177317292470869,0.00220641271435168,0.52784896555591
cg02355809,GIMAP1,7,150412715,-0.175868046534811,9.95604101803609e-05,0.52784896555591
cg20622565,,13,112906400,0.171172038980799,0.000620145111975001,0.52784896555591
cg10171723,,20,46486091,0.161362301239578,0.00213161288364247,0.52784896555591
cg11014960,,3,122748132,0.161260226013547,0.000536731422366879,0.52784896555591
cg11836949,GNB1,1,1880920,-0.154143110995951,9.29662732752252e-05,0.52784896555591
cg09371091,HRH1,3,11254070,-0.152959779747093,2.98076093659979e-05,0.52784896555591
cg10923350,,6,106252415,0.151997004227959,0.00158721086898584,0.52784896555591
