p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
9.809056698123549e-8,0.03781552744426783,0.0847651596379686,-5.860110224187771,-0.14242206648142977,-0.09405806899458884,-0.1907860639682707,0.024303649766446143,88,chr2,102182371,cg06894541,-0.14242206648142977,9.809056698123549e-8,7.0083727551580095,chr2,102182371,,2,102182371,NA,0.0847651596379686
1.176185278687333e-7,0.03781552744426783,0.10164016847629376,-5.816970443468094,-0.11905044815225013,-0.07832321851488086,-0.1597776777896194,0.02046605691213929,88,chr15,85477232,cg03181212,-0.11905044815225013,1.176185278687333e-7,6.929524260595321,chr15,86020463,AKAP13;AKAP13,15,85477232,AKAP13,0.10164028609482162
1.6383110157456156e-7,0.03781552744426783,0.14157464642565737,-5.73793177038766,-0.12517318589284004,-0.08176150338809376,-0.16858486839758632,0.021815035608968775,88,chr9,124521844,cg14513031,-0.12517318589284004,1.6383110157456156e-7,6.785603648607181,chr9,124521844,DAB2IP;DAB2IP,9,124521844,DAB2IP,0.14157497408786052
1.750410920498608e-7,0.03781552744426783,0.15126158465379516,-5.722098963907799,-0.0701748092611909,-0.045769935357181865,-0.09457968316519995,0.012263823066294251,88,chr3,194575080,cg22864884,-0.0701748092611909,1.750410920498608e-7,6.756859985853124,chr3,194295809,,3,194575080,NA,0.15126210977707133
3.566385138396395e-7,0.04105652880839164,0.3081884584574968,-5.550790305896014,-0.08950186834486624,-0.05741495274025829,-0.1215887839494742,0.016124166724474878,88,chr10,3624563,cg05180182,-0.08950186834486624,3.566385138396395e-7,6.447771758623227,chr10,3666755,,10,3624563,NA,0.30818988501155214
4.043230915635439e-7,0.04105652880839164,0.34939458660536177,5.520374422824387,0.09146047443068918,0.12443022083813646,0.05849072802324189,0.016567802729564728,88,chr6,128456021,cg02597924,0.09146047443068918,4.043230915635439e-7,6.393271454678577,chr6,128456021,PTPRK;PTPRK;PTPRK;PTPRK;PTPRK;PTPRK,6,128456021,PTPRK,0.3493966082208196
4.048808078916386e-7,0.04105652880839164,0.3498761306163279,-5.520039962307535,-0.09620517177394987,-0.06152295172243714,-0.1308873918254626,0.01742834697409208,88,chr11,47916382,cg18367488,-0.09620517177394987,4.048808078916386e-7,6.392672809115267,chr11,47937934,,11,47916382,NA,0.3498785599011753
4.5562546604838234e-7,0.04105652880839164,0.3937264683583794,-5.491359836980033,-0.13286365462747907,-0.08471579528976028,-0.18101151396519785,0.0241950370348608,88,chr14,61533773,cg23339014,-0.13286365462747907,4.5562546604838234e-7,6.341392010108294,chr14,62000491,PRKCH,14,61533773,PRKCH,0.3937296577366417
5.66635525333997e-7,0.04105652880839164,0.48965468940422147,-5.4382412377434175,-0.06445449351041739,-0.040868975282953995,-0.08804001173788079,0.011852084284727796,88,chr14,61516085,cg13698578,-0.06445449351041739,5.66635525333997e-7,6.246696200777693,chr14,61982803,PRKCH,14,61516085,PRKCH,0.48965922248842414
5.847878855490868e-7,0.04105652880839164,0.5053403577820444,-5.430542176044419,-0.06660645526801623,-0.042198925793789796,-0.09101398474224266,0.012265157531016922,88,chr17,4008771,cg18943946,-0.06660645526801623,5.847878855490868e-7,6.233001632790412,chr17,3912065,ZZEF1,17,4008771,ZZEF1,0.5053456208730144
6.276100897886511e-7,0.04105652880839164,0.5423442382101445,-5.413271351251984,-0.015706002202309707,-0.009932271172319559,-0.021479733232299854,0.0029013883072159714,88,chr17,62657233,cg10393540,-0.015706002202309707,6.276100897886511e-7,6.20231008308333,chr17,60734594,MRC2,17,62657233,MRC2,0.5423505143110424
7.156574634102385e-7,0.04105652880839164,0.6184289560887869,-5.381127772952118,-0.040340988476325466,-0.02542253091904105,-0.05525944603360988,0.007496753501951166,88,chr1,206865663,cg17030628,-0.040340988476325466,7.156574634102385e-7,6.145294795214735,chr1,207039008,IL20,1,206865663,IL20,0.6184368283208844
7.304813892515532e-7,0.04105652880839164,0.6312381877078371,5.376100880797502,0.06264686571897876,0.08583589826282578,0.03945783317513175,0.011652844153788571,88,chr1,209651452,cg25981106,0.06264686571897876,7.304813892515532e-7,6.13639084427221,chr1,209824797,LAMB3;LAMB3;LAMB3,1,209651452,LAMB3,0.6312469534845082
7.476009737903231e-7,0.04105652880839164,0.646031157890196,-5.370418593166559,-0.022693378243144966,-0.01428442948685903,-0.031102326999430902,0.0042256255912752365,88,chr14,92519603,cg24112090,-0.022693378243144966,7.476009737903231e-7,6.126330141601006,chr14,92985947,RIN3,14,92519603,RIN3,0.6460408767028553
8.907865740877972e-7,0.04105652880839164,0.7697625285590809,-5.3273541450128095,-0.03263772169378364,-0.02044617072984529,-0.04482927265772199,0.006126441157349634,88,chr10,5305436,cg21611669,-0.03263772169378364,8.907865740877972e-7,6.05022633726387,chr10,5347399,,10,5305436,NA,0.7697749995711182
9.825008727873613e-7,0.04105652880839164,0.849015356707852,-5.303207987259231,-0.03447218303366332,-0.021536754562969978,-0.047407611504356656,0.006500251002125791,88,chr11,2224491,cg13878620,-0.03447218303366332,9.825008727873613e-7,6.007667055154504,chr11,2224491,,11,2224491,NA,0.8490300942209438
9.897369813508675e-7,0.04105652880839164,0.8552673561166133,-5.301398058470249,-0.01636593691377519,-0.0102226450348278,-0.022509228792722578,0.003087098296198811,88,chr1,232982505,cg00133803,-0.01636593691377519,9.897369813508675e-7,6.004480202093732,chr1,233118251,,1,232982505,NA,0.8552831919083149
1.0059391398974526e-6,0.04105652880839164,0.8692672186552851,5.297392099907844,0.10558173219288952,0.14524398287891127,0.06591948150686777,0.01993088867156469,88,chr3,119311604,cg05749408,0.10558173219288952,1.0059391398974526e-6,5.997428293640174,chr3,119030451,ARHGAP31,3,119311604,ARHGAP31,0.8692843196206634
1.0084532964716986e-6,0.04105652880839164,0.8714387808932749,-5.296776154270687,-0.09398457431162044,-0.058674742343750315,-0.12929440627949057,0.01774373157828135,88,chr17,82101532,cg02741985,-0.09398457431162044,1.0084532964716986e-6,5.996344210048434,chr17,80059408,CCDC57,17,82101532,CCDC57,0.8714569330526113
1.015367683583349e-6,0.04105652880839164,0.8774127225179302,-5.29508992351498,-0.10667670158987494,-0.06658569772570636,-0.14676770545404352,0.020146343712905433,88,chr20,36876000,cg09227119,-0.10667670158987494,1.015367683583349e-6,5.99337666313426,chr20,35504403,C20orf118,20,36876000,C20orf118,0.8774320145039183
1.0647807717105621e-6,0.04105652880839164,0.9201111378197915,-5.283357287540208,-0.07976562553734176,-0.049721713184034635,-0.10980953789064889,0.01509752628796349,88,chr3,183913383,cg19471343,-0.07976562553734176,1.0647807717105621e-6,5.972739800147393,chr3,183631171,,3,183913383,NA,0.9201324334352257
1.078159964792341e-6,0.04105652880839164,0.9316714485359704,5.280272330773838,0.11101286779132011,0.15285055723396113,0.06917517834867909,0.021024079978664827,88,chr7,41005931,cg24060744,0.11101286779132011,1.078159964792341e-6,5.967316798822148,chr7,41045529,,7,41005931,NA,0.9316940898952311
1.0927477603396252e-6,0.04105652880839164,0.9442761221422804,-5.276951168118774,-0.08047542720776164,-0.05012736906876572,-0.11082348534675757,0.015250364205369559,88,chr19,29941253,cg01627992,-0.08047542720776164,1.0927477603396252e-6,5.961480074953284,chr19,30432160,URI1;URI1;URI1,19,29941253,URI1,0.9443001625930079
1.1628827916662849e-6,0.04187114542433348,1,-5.261567163216473,-0.10654556169155581,-0.06624872672910687,-0.14684239665400475,0.020249776993518973,88,chr20,36875661,cg19448292,-0.10654556169155581,1.1628827916662849e-6,5.934464056120874,chr20,35504064,C20orf118,20,36875661,C20orf118,1
1.2438478081386668e-6,0.04299494284394581,1,-5.244900069701037,-0.04528780331914436,-0.028104971886630036,-0.06247063475165868,0.008634636068809943,88,chr6,13483600,cg00728848,-0.04528780331914436,1.2438478081386668e-6,5.905232754797145,chr6,13483832,C6orf114;GFOD1,6,13483600,C6orf114,1
1.476907754439685e-6,0.04337699989615305,1,-5.202269116852955,-0.07252442732088764,-0.044782145115779846,-0.10026670952599542,0.013940921873099935,88,chr15,58307339,cg04968217,-0.07252442732088764,1.476907754439685e-6,5.830646629257379,chr15,58599538,,15,58307339,NA,1
1.4953519195296979e-6,0.04337699989615305,1,-5.199182510392833,-0.04685939170084002,-0.02892394179123957,-0.06479484161044047,0.009012838385105946,88,chr2,39418814,cg15756055,-0.04685939170084002,1.4953519195296979e-6,5.825256587457317,chr2,39645955,MAP4K3,2,39418814,MAP4K3,1
1.4967109087377091e-6,0.04337699989615305,1,-5.198956562260032,-0.06028306042795424,-0.037208693457263596,-0.08335742739864488,0.011595222946380738,88,chr8,143494924,cg11996592,-0.06028306042795424,1.4967109087377091e-6,5.824862075985823,chr8,144577094,ZC3H3,8,143494924,ZC3H3,1
1.5941391544782736e-6,0.04337699989615305,1,-5.183260038475383,-0.044214264202347656,-0.027239251948998455,-0.061189276455696856,0.008530203747090596,88,chr1,92852007,cg19528703,-0.044214264202347656,1.5941391544782736e-6,5.797473771155535,chr1,93317564,FAM69A;FAM69A;FAM69A;FAM69A;FAM69A,1,92852007,FAM69A,1
1.619370623671355e-6,0.04337699989615305,1,-5.179348191750714,-0.051565843495931005,-0.03175341511011613,-0.07137827188174588,0.009956048828318069,88,chr6,113920710,cg17248139,-0.051565843495931005,1.619370623671355e-6,5.790653743343863,chr6,114241874,FLJ34503,6,113920710,FLJ34503,1
1.7629674577621235e-6,0.04337699989615305,1,-5.158161689328402,-0.09851536527735284,-0.06050870470650536,-0.13652202584820033,0.01909892927187004,88,chr1,229142381,cg17278724,-0.09851536527735284,1.7629674577621235e-6,5.75375570417531,chr1,229142381,,1,229142381,NA,1
1.7825896416620677e-6,0.04337699989615305,1,-5.155398702176563,-0.10310325401285336,-0.06330529447495414,-0.14290121355075258,0.019999084448953305,88,chr18,35442016,cg12734151,-0.10310325401285336,1.7825896416620677e-6,5.748948621419825,chr18,33021980,,18,35442016,NA,1
1.926808206748316e-6,0.04337699989615305,1,-5.135960320772874,-0.030210802244259156,-0.018505266644353438,-0.041916337844164875,0.005882210990234627,88,chr16,120123,cg01278651,-0.030210802244259156,1.926808206748316e-6,5.715161512587042,chr16,170122,NPRL3;NPRL3;NPRL3;NPRL3;NPRL3,16,120123,NPRL3,1
1.9780766756438166e-6,0.04337699989615305,1,-5.1293916855896775,-0.054662162587422645,-0.0334555336219088,-0.0758687915529365,0.010656655981446786,88,chr2,74148776,cg26529864,-0.054662162587422645,1.9780766756438166e-6,5.703756877974632,chr2,74375903,BOLA3;BOLA3,2,74148776,BOLA3,1
2.0021662360174616e-6,0.04337699989615305,1,5.126362594317777,0.07496970082915184,0.1040719897846248,0.04586741187367889,0.014624346103073288,88,chr19,7702680,cg15901933,0.07496970082915184,2.0021662360174616e-6,5.698499866722898,chr19,7767566,FCER2;FCER2,19,7702680,FCER2,1
2.05572117972555e-6,0.04337699989615305,1,-5.119754238261038,-0.08237232519691429,-0.05035515806531964,-0.11438949232850892,0.016089117048105155,88,chr17,4341911,cg21500092,-0.08237232519691429,2.05572117972555e-6,5.687035789636914,chr17,4245206,UBE2G1,17,4341911,UBE2G1,1
2.089484036771586e-6,0.04337699989615305,1,5.115674122765984,0.0835377774586043,0.11603383963856193,0.05104171527864667,0.016329769147499257,88,chr6,47278820,cg08626823,0.0835377774586043,2.089484036771586e-6,5.679960942428226,chr6,47246556,TNFRSF21,6,47278820,TNFRSF21,1
2.1056859757005573e-6,0.04337699989615305,1,-5.1137390261332385,-0.04895270078014567,-0.029902972355614104,-0.06800242920467724,0.009572780411745285,88,chr17,17352248,cg08770935,-0.04895270078014567,2.1056859757005573e-6,5.676606395348602,chr17,17255562,,17,17352248,NA,1
2.1176921085338872e-6,0.04337699989615305,1,-5.112314433082467,-0.11475332512543643,-0.07008512911320097,-0.15942152113767188,0.022446452898681735,88,chr3,72381060,cg08086385,-0.11475332512543643,2.1176921085338872e-6,5.674137181756743,chr3,72430211,RYBP,3,72381060,RYBP,1
2.1541027696436295e-6,0.04337699989615305,1,-5.108041926001235,-0.0981619230362499,-0.05992003756864435,-0.13640380850385547,0.01921713338658806,88,chr5,150050361,cg26057482,-0.0981619230362499,2.1541027696436295e-6,5.666733580878129,chr5,149429924,HMGXB3,5,150050361,HMGXB3,1
2.3574560276106838e-6,0.04337699989615305,1,-5.085406767192319,-0.09316163589214592,-0.056706216295893536,-0.1296170554883983,0.018319406914145624,88,chr12,6235541,cg23663201,-0.09316163589214592,2.3574560276106838e-6,5.627556399181997,chr12,6344707,CD9,12,6235541,CD9,1
