p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
1.3218817411572237e-8,0.011423067503844971,0.011423067503844971,-5.964663560268459,-0.016137644969208532,-0.010797996145402621,-0.021477293793014444,0.0027055415290652553,183,chr16,77250184,cg26916605,-0.016137644969208532,1.3218817411572237e-8,7.878807396181805,chr16,77284081,,16,77250184,NA,0.011423067503844971
5.210666659947943e-8,0.014124376481722895,0.04502802804860675,-5.691217895055931,-0.09510004328599418,-0.06212130835259259,-0.12807877821939578,0.016709963498078222,183,chr20,8275246,cg22748852,-0.09510004328599418,5.210666659947943e-8,7.283106708904952,chr20,8255893,PLCB1;PLCB1,20,8275246,PLCB1,0.04502808015527335
5.590220524040929e-8,0.014124376481722895,0.048307890658499684,-5.676979680699399,-0.0377866190051525,-0.024650133655805654,-0.05092310435449934,0.006656113132414316,183,chr6,122402561,cg19561453,-0.0377866190051525,5.590220524040929e-8,7.252571059647556,chr6,122723706,HSF2;HSF2,6,122402561,HSF2,0.048308002462910164
7.498116164920584e-8,0.014124376481722895,0.06479489585799958,-5.617270284970824,-0.03339403637243298,-0.02166122508433827,-0.04512684766052769,0.005944886871792467,183,chr4,141054108,cg00841299,-0.03339403637243298,7.498116164920584e-8,7.125047835534473,chr4,141975262,RNF150,4,141054108,RNF150,0.06479512080148453
8.441278855692356e-8,0.014124376481722895,0.07294514240588838,-5.593062226444205,-0.0860991251553792,-0.05571773944655517,-0.11648051086420322,0.015393915116534792,183,chr14,66638946,cg11545402,-0.0860991251553792,8.441278855692356e-8,7.0735917526756955,chr14,67105664,GPHN;GPHN,14,66638946,GPHN,0.0729454800570426
1.254834754454763e-7,0.014124376481722895,0.10843604337230656,5.511563777246435,0.01272187064843285,0.017277355734155658,0.008166385562710043,0.00230821435850075,183,chr12,111320082,cg22147968,0.01272187064843285,1.254834754454763e-7,6.901413461396907,chr12,111757886,CUX2,12,111320082,CUX2,0.10843679627315923
1.5817587675183306e-7,0.014124376481722895,0.13668689301571277,-5.463605461512312,-0.1037891593480865,-0.0662978028036138,-0.1412805158925592,0.01899645940381609,183,chr4,47865430,cg19628908,-0.1037891593480865,1.5817587675183306e-7,6.800859749614647,chr4,47865430,NFXL1,4,47865430,NFXL1,0.13668800024685004
1.6830253026003965e-7,0.014124376481722895,0.1454376217090317,-5.450705104902294,-0.06826725564307351,-0.0435489755580936,-0.09298553572805342,0.01252448157242534,183,chr7,88227833,cg24799218,-0.06826725564307351,1.6830253026003965e-7,6.773909354792371,chr7,87857148,SRI;SRI,7,88227833,SRI,0.1454389681292738
1.9320587313527212e-7,0.014124376481722895,0.16695750282873345,-5.421946838556093,-0.02655713585945368,-0.016890297180427425,-0.03622397453847993,0.004898081196702779,183,chr13,110063901,cg14694605,-0.02655713585945368,1.9320587313527212e-7,6.713979675894274,chr13,110716248,,13,110063901,NA,0.16695924168159168
2.006889357380408e-7,0.014124376481722895,0.17342373830654206,-5.4140100202343575,-0.07448002869379616,-0.047329438731994605,-0.10163061865559772,0.01375690632552101,183,chr2,100934059,cg17844690,-0.07448002869379616,2.006889357380408e-7,6.697476570115255,chr2,101550521,NPAS2,2,100934059,NPAS2,0.17342574519589943
2.401907623761008e-7,0.014124376481722895,0.2075586855904461,-5.376377905817423,-0.017472005097778513,-0.011058263615533151,-0.023885746580023876,0.0032497725055512217,183,chr6,156833365,cg11299190,-0.017472005097778513,2.401907623761008e-7,6.61944369937371,chr6,157154499,ARID1B;ARID1B;ARID1B,6,156833365,ARID1B,0.20756132768883223
