p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
7.83860557041233e-4,0.7182798352604154,1,3.982464924010076,0.5310122332874303,0.8098955867670725,0.25212887980778814,0.13333757946893265,27,chr6,32522905,cg25664050,HLA-DRB6,0.5310122332874303,7.83860557041233e-4,3.105761188200432,chr6,32522905,HLA-DRB6,6,32522905,1
8.025669977805854e-7,0.2017961826417881,0.6935382711320929,7.149699416164815,0.5133681321637168,0.6635478026896419,0.3631884616377917,0.07180275733033455,27,chr14,70924237,cg02092632,ADAM21,0.5133681321637168,8.025669977805854e-7,6.095518702783671,chr14,70924237,ADAM21,14,70924237,0.6935398762660885
0.00968825029882322,0.915310437279087,1,-2.8721030868925643,-0.49451449515643786,-0.13439301419544192,-0.8546359761174338,0.1721785326624441,27,chr19,12766186,cg11738485,HOOK2,-0.49451449515643786,0.00968825029882322,2.013754649593168,chr19,12877000,HOOK2;HOOK2,19,12766186,1
0.001518308179889747,0.7751562958292108,1,3.694167417036607,0.45692138596538384,0.7156204974403323,0.1982222744904354,0.12368724380442882,27,chr18,73139742,cg23936477,C18orf62,0.45692138596538384,0.001518308179889747,2.8186400682024595,chr18,73139742,C18orf62,18,73139742,1
2.0852138309570745e-4,0.55274285351203,1,4.5608390481035945,0.454235259669336,0.6625433424593352,0.24592717687933674,0.09959466994526102,27,chr6,32546626,cg23899527,HLA-DRB1,0.454235259669336,2.0852138309570745e-4,3.680849403115623,chr6,32546626,HLA-DRB1,6,32546626,1
0.0028482046164306166,0.8365768636341763,1,3.418475904483049,0.4463862601501565,0.7195030005078178,0.1732695197924951,0.13058049043574002,27,chr7,157345746,cg23162598,PTPRN2,0.4463862601501565,0.0028482046164306166,2.545428813983693,chr7,157345746,PTPRN2;PTPRN2;PTPRN2,7,157345746,1
8.69938925431999e-4,0.7251413492820037,1,3.93706788841685,0.44230622080247567,0.6772804150729796,0.20733202653197166,0.11234406754929827,27,chr8,94592572,cg05321907,LINC00535,0.44230622080247567,8.69938925431999e-4,3.060511236207731,chr8,94592572,LINC00535,8,94592572,1
0.006891250426896599,0.900444880383072,1,3.0260425023320625,0.43962422050602024,0.7434863749626233,0.13576206604941726,0.1452802530589764,27,chr15,65272560,cg25879395,SPG21,0.43962422050602024,0.006891250426896599,2.161701967609162,chr15,65272560,SPG21;SPG21;SPG21,15,65272560,1
0.0020597416483139393,0.8097550293642252,1,3.5607655585881055,0.43329276797949984,0.6878046631608119,0.17878087279818783,0.12168528392285019,27,chr21,45393541,cg00762003,AGPAT3,0.43329276797949984,0.0020597416483139393,2.6861872494114163,chr21,45393541,AGPAT3;AGPAT3,21,45393541,1
0.006754437583608532,0.899477451276678,1,3.035048923400532,0.42770481965805063,0.722451195132989,0.13295844418311226,0.14092188641850337,27,chr6,32549361,cg04026937,HLA-DRB1,0.42770481965805063,0.006754437583608532,2.1704108071903043,chr6,32549361,HLA-DRB1,6,32549361,1
0.008804115610424594,0.909266859017196,1,-2.915535236489358,-0.42211957710201026,-0.1192977155353171,-0.7249414386687034,0.14478287616591837,27,chr19,12766032,cg06417478,HOOK2,-0.42211957710201026,0.008804115610424594,2.055314263183684,chr19,12876846,HOOK2;HOOK2,19,12766032,1
3.61727372735201e-4,0.6502865951284204,1,4.31968132171076,0.42127006656943183,0.6252459946862806,0.21729413845258302,0.09752341323238924,27,chr6,32520620,cg15700429,HLA-DRB6,0.42127006656943183,3.61727372735201e-4,3.44161862594103,chr6,32520620,HLA-DRB6,6,32520620,1
0.012228853285642983,0.9271513663473204,1,2.765707248077498,0.4007639822149779,0.7038406478406269,0.09768731658932889,0.1449047011369542,27,chr16,87249324,cg03146160,LOC101928708,0.4007639822149779,0.012228853285642983,1.9126142653730704,chr16,87249324,LOC101928708,16,87249324,1
0.006860540390294794,0.900444880383072,1,3.028048979914687,0.3961770496838734,0.6698276737053002,0.12252642566244665,0.1308357468164321,27,chr14,71577479,cg02907150,PCNX,0.3961770496838734,0.006860540390294794,2.1636416744856826,chr14,71577479,PCNX,14,71577479,1
0.014382010538552398,0.934294183950189,1,-2.6909655915854254,-0.39305501063545306,-0.08755219482555515,-0.6985578264453509,0.14606467353745628,27,chr7,105306555,cg11957130,ATXN7L1,-0.39305501063545306,0.014382010538552398,1.8421803973492525,chr7,105306555,ATXN7L1;ATXN7L1,7,105306555,1
0.0032657384308901953,0.8503776376932713,1,3.358207818209139,0.38370395730978485,0.6226824045795627,0.144725510040007,0.11425855041764689,27,chr8,135494242,cg21927991,ZFAT,0.38370395730978485,0.0032657384308901953,2.4860186029950078,chr8,135494242,ZFAT;ZFAT,8,135494242,1
