p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
5.788070007083643e-4,0.8254391191291944,1,3.5242349490702627,0.19415954091935525,0.3031072076302167,0.08521187420849377,0.055092677907463854,144,chr1,16345207,cg02890259,HSPB7,0.19415954091935525,5.788070007083643e-4,3.237466224701194,chr1,16345207,HSPB7;HSPB7,1,16345207,1
1.0596567129158453e-4,0.8254391191291944,1,-3.9935968866509,-0.192833552958646,-0.09734695312496588,-0.2883201527923261,0.048285682914872154,144,chr7,150412715,cg02355809,GIMAP1,-0.192833552958646,1.0596567129158453e-4,3.9748348062758168,chr7,150412715,GIMAP1,7,150412715,1
5.515027256310006e-4,0.8254391191291944,1,3.5381961439771046,0.19221228959542586,0.299641726139423,0.08478285305142867,0.054324938972820744,144,chr6,130747460,cg08996597,NA,0.19221228959542586,5.515027256310006e-4,3.2584523368528417,chr6,130747460,,6,130747460,1
2.3163698891757228e-4,0.8254391191291944,1,3.7825114453831916,0.18798005757954803,0.28625789203510543,0.08970222312399061,0.04969715499710921,144,chr3,122748132,cg11014960,NA,0.18798005757954803,2.3163698891757228e-4,3.635192089158204,chr3,122748132,,3,122748132,1
1.2280550077367703e-4,0.8254391191291944,1,-3.9543923863691015,-0.1800764256923025,-0.09002281067844096,-0.27013004070616403,0.04553833006381229,144,chr14,35096197,cg01088139,SNX6,-0.1800764256923025,1.2280550077367703e-4,3.9107821795942845,chr14,35096197,SNX6;SNX6,14,35096197,1
0.0014585093404227967,0.8254391191291944,1,3.2490681688452305,0.17787966217962628,0.2861455205249623,0.06961380383429026,0.05474790091672575,144,chr10,34344580,cg19848924,NA,0.17787966217962628,0.0014585093404227967,2.8360907852730746,chr10,34344580,,10,34344580,1
0.0011929123340507582,0.8254391191291944,1,3.3103138867760045,0.17533306238187188,0.2800745392430656,0.07059158552067821,0.05296569098244428,144,chr13,112906400,cg20622565,NA,0.17533306238187188,0.0011929123340507582,2.923391471029524,chr13,112906400,,13,112906400,1
0.004213065218149089,0.8254391191291944,1,-2.910786158836329,-0.16966593231480925,-0.054398027937575935,-0.2849338366920426,0.05828869695554624,144,chr7,157260189,cg01350803,NA,-0.16966593231480925,0.004213065218149089,2.3754018179528953,chr7,157260189,,7,157260189,1
8.7409750404784e-5,0.8254391191291944,1,-4.044371203679994,-0.16901954048218498,-0.08637580139635968,-0.25166327956801027,0.04179130252148795,144,chr1,66490928,cg26647036,NA,-0.16901954048218498,8.7409750404784e-5,4.058440119873525,chr1,66956611,,1,66490928,1
0.003164037868138928,0.8254391191291944,1,-3.004813257448552,-0.16811770474726073,-0.05747570511738581,-0.27875970437713565,0.05594946851705949,144,chr16,87248612,cg09916840,NA,-0.16811770474726073,0.003164037868138928,2.4997583273787347,chr16,87248612,,16,87248612,1
0.002895955929901677,0.8254391191291944,1,3.033454978753345,0.1681166687118802,0.27771331703908647,0.058520020384673924,0.05542085506110623,144,chr11,35611044,cg26465155,NA,0.1681166687118802,0.002895955929901677,2.538208051434196,chr11,35611044,,11,35611044,1
0.001737431314028529,0.8254391191291944,1,-3.19506403962149,-0.16766340571583951,-0.06389078919348007,-0.27143602223819896,0.05247575749239196,144,chr17,6558231,cg24686902,NA,-0.16766340571583951,0.001737431314028529,2.760092355387069,chr17,6558231,,17,6558231,1
0.010900815221487678,0.8254391191291944,1,2.5812799474280768,0.16462251979412965,0.29074084303245284,0.03850419655580642,0.06377553893685782,144,chr20,30680224,cg26983017,HCK,0.16462251979412965,0.010900815221487678,1.962541021971802,chr20,30680224,HCK;HCK;HCK;HCK;HCK;HCK,20,30680224,1
7.435874250309691e-4,0.8254391191291944,1,-3.451210915209257,-0.1644249875746607,-0.07020991929736643,-0.258640055851955,0.04764269458295079,144,chr10,3503185,cg23175573,NA,-0.1644249875746607,7.435874250309691e-4,3.1286679632866883,chr10,3503185,,10,3503185,1
0.01290635317123058,0.8254391191291944,1,2.519531922254536,0.1632722803725283,0.2914217001113423,0.03512286063371434,0.06480262422173577,144,chr4,47423779,cg19935756,GABRB1,0.1632722803725283,0.01290635317123058,1.8891964549721119,chr4,47423779,GABRB1,4,47423779,1
