p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
2.0534838417844855e-5,0.9999816913585833,1,-4.856647043454673,-0.3507084894010155,-0.20454733925757498,-0.49686963954445607,0.07221206035008597,46,chr11,133800774,cg25790212,IGSF9B,-0.3507084894010155,2.0534838417844855e-5,4.6875087101229385,chr11,133800774,IGSF9B,11,133800774,1
7.741497452786445e-4,0.9999816913585833,1,-3.6534606172251616,-0.31986025136353474,-0.14265439953440734,-0.49706610319266215,0.08754993822992724,46,chr2,55393977,cg19384241,NA,-0.31986025136353474,7.741497452786445e-4,3.111175024771864,chr2,55393977,,2,55393977,1
0.006557613961355685,0.9999816913585833,1,-2.8757690047103197,-0.29336391023814623,-0.08688537885737718,-0.4998424416189153,0.10201233470339081,46,chr7,985839,cg25361454,ADAP1,-0.29336391023814623,0.006557613961355685,2.183254153294549,chr7,985839,ADAP1,7,985839,1
0.004308231869769789,0.9999816913585833,1,3.035513959357923,0.2876138420350086,0.4793922745185932,0.09583540955142406,0.09474963577365501,46,chr11,33760479,cg26864826,NA,0.2876138420350086,0.004308231869769789,2.3657009309423818,chr11,33760479,,11,33760479,1
0.0026227843788066436,0.9999816913585833,1,-3.219332052223623,-0.28524301480759134,-0.10590537088706006,-0.4645806587281226,0.08860316679994887,46,chr2,2585322,cg12109978,NA,-0.28524301480759134,0.0026227843788066436,2.5812374116374723,chr2,2585322,,2,2585322,1
2.1715634716314971e-4,0.9999816913585833,1,-4.086058417746794,-0.26782250078944914,-0.13515495202706485,-0.4004900495518334,0.0655454409624267,46,chr3,66380744,cg08268333,SLC25A26,-0.26782250078944914,2.1715634716314971e-4,3.663227472322261,chr3,66380744,SLC25A26;SLC25A26;SLC25A26,3,66380744,1
0.0028304084484654162,0.9999816913585833,1,-3.1914270451270674,-0.2668577482528309,-0.09761225557121661,-0.43610324093444514,0.08361706048091908,46,chr10,3200291,cg06728147,PITRM1,-0.2668577482528309,0.0028304084484654162,2.548150888110004,chr10,3200291,PITRM1;PITRM1;PITRM1,10,3200291,1
0.0034181465029375045,0.9999816913585833,1,3.1218429310926212,0.263925034363902,0.4350414811156524,0.09280858761215166,0.08454141998474289,46,chr1,94472813,cg05377703,ABCA4,0.263925034363902,0.0034181465029375045,2.4662093272051537,chr1,94472813,ABCA4,1,94472813,1
0.00410267460807964,0.9999816913585833,1,3.053844261275281,0.250900590789972,0.41719475703123915,0.08460642454870487,0.08215893455064283,46,chr4,152996165,cg08896901,NA,0.250900590789972,0.00410267460807964,2.386932926493812,chr4,152996165,,4,152996165,1
0.008032872398980765,0.9999816913585833,1,-2.7970566631870413,-0.2471557299631053,-0.06830462222372086,-0.42600683770248976,0.08836278979114047,46,chr1,208425671,cg11318983,NA,-0.2471557299631053,0.008032872398980765,2.0951291316869973,chr1,208425671,,1,208425671,1
0.004097406709279482,0.9999816913585833,1,3.054325310225287,0.24573857745351624,0.4085857656539226,0.08289138925310993,0.0804559280672662,46,chr21,34688341,cg12080266,CLIC6,0.24573857745351624,0.004097406709279482,2.3874909257638977,chr21,36060640,CLIC6,21,34688341,1
0.008120875252342074,0.9999816913585833,1,2.7927992402736415,0.2456326520566783,0.4236525693738159,0.06761273473954074,0.08795213365662867,46,chr21,46349496,cg02464073,ITGB2,0.2456326520566783,0.008120875252342074,2.090397160810851,chr21,46349496,ITGB2,21,46349496,1
0.017864887622250098,0.9999816913585833,1,2.475230631416805,0.2450815290289929,0.4454904850521454,0.04467257300584043,0.0990136134864774,46,chr13,100989375,cg20536971,PCCA,0.2450815290289929,0.017864887622250098,1.74799971135016,chr13,100989375,PCCA;PCCA,13,100989375,1
0.0073547210163699426,0.9999816913585833,1,-2.831402450415353,-0.242499943950724,-0.06914658768965243,-0.41585330021179556,0.08564658263792575,46,chrX,118890879,cg03885028,NA,-0.242499943950724,0.0073547210163699426,2.1334337965393093,chrX,118890879,,23,118890879,1
