p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.003368172853489519,0.2994138210950119,1,-3.1327636267465713,-0.38772060858955226,-0.13700144618996024,-0.6384397709891443,0.12376312252840051,45,chr19,1987279,cg01688609,BTBD2,-0.38772060858955226,0.003368172853489519,2.4726056287548177,chr19,1987279,BTBD2,19,1987279,1
0.009920125229164148,0.367501318735551,1,-2.717757752446859,-0.3642756361946974,-0.09274699123487579,-0.635804281154519,0.13403535906271696,45,chr19,12766186,cg11738485,HOOK2,-0.3642756361946974,0.009920125229164148,2.0034828453869826,chr19,12877000,HOOK2;HOOK2,19,12766186,1
0.0022431697983990753,0.2802023225825611,1,3.282457278958747,0.3587000585952298,0.5800750897712366,0.13732502741922303,0.10927790618771305,45,chr19,38229377,cg22671798,ZNF573,0.3587000585952298,0.0022431697983990753,2.6491378509303236,chr19,38229377,ZNF573,19,38229377,1
0.007856876863121831,0.3503970084572582,1,2.809794160486703,0.34414044398308147,0.5922579912142487,0.09602289675191422,0.12247888077448014,45,chr8,27767170,cg04431313,SCARA5,0.34414044398308147,0.007856876863121831,2.104750053280684,chr8,27767170,SCARA5;SCARA5,8,27767170,1
0.013841518384471608,0.3957027516793341,1,-2.583490615941594,-0.3423547870888603,-0.07390331690394725,-0.6108062572737734,0.13251636563970395,45,chr19,49616376,cg06378142,PRR12,-0.3423547870888603,0.013841518384471608,1.8588162661056118,chr19,50119633,PRR12,19,49616376,1
0.02194492467242726,0.44011352172827095,1,-2.3915233707491867,-0.33453917625060653,-0.05115954938858197,-0.617918803112631,0.13988538867834951,45,chr8,66949849,cg02822944,DNAJC5B,-0.33453917625060653,0.02194492467242726,1.658665905564295,chr8,66949849,DNAJC5B,8,66949849,1
0.007488104088806025,0.34724557890567526,1,2.8285846110577726,0.3343454331649438,0.5737996511197404,0.0948912152101472,0.11820238003766576,45,chr16,87249324,cg03146160,LOC101928708,0.3343454331649438,0.007488104088806025,2.1256281272934694,chr16,87249324,LOC101928708,16,87249324,1
0.00994259907353725,0.3677387429493579,1,-2.7168570254237148,-0.32486566375615866,-0.0826326695103472,-0.5670986580019701,0.1195740742763206,45,chr7,102624227,cg16932018,FBXL13,-0.32486566375615866,0.00994259907353725,2.0025000727708324,chr7,102624227,FBXL13;FBXL13;FBXL13;FBXL13,7,102624227,1
0.009114556072118604,0.3601775132080408,1,2.751362561352263,0.32176747356906316,0.5586813983158319,0.08485354882229446,0.11694840879528363,45,chr2,202163482,cg07227024,ALS2CR12,0.32176747356906316,0.009114556072118604,2.0402644789699775,chr2,202163482,ALS2CR12;ALS2CR12,2,202163482,1
0.010465080366458346,0.3724177461119183,1,2.6964310978239316,0.32017884828353577,0.5607256467643403,0.0796320498027312,0.11874171327497514,45,chr7,158541253,cg13211008,ESYT2,0.32017884828353577,0.010465080366458346,1.9802574321532573,chr7,158541253,ESYT2,7,158541253,1
