p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.002066343172752101,0.9999952756232149,1,-3.4341613835159865,-0.4806005745571831,-0.19248478747006736,-0.7687163616442988,0.13994699750107006,33,chr19,12766186,cg11738485,HOOK2,-0.4806005745571831,0.002066343172752101,2.68479755035949,chr19,12877000,HOOK2;HOOK2,19,12766186,1
0.0014976478789132908,0.9999952756232149,1,3.5622085638999024,0.4307606126893766,0.6797151885025277,0.1818060368762255,0.12092515218080895,33,chr17,78079668,cg16464924,GAA,0.4307606126893766,0.0014976478789132908,2.8245902842473565,chr17,78079668,GAA;GAA;GAA,17,78079668,1
0.005103019724519061,0.9999952756232149,1,3.067567412671698,0.42274920242567127,0.7064706400997736,0.13902776475156892,0.1378125222869928,33,chr13,113539522,cg21463262,ATP11A,0.42274920242567127,0.005103019724519061,2.2921727530016445,chr13,113539522,ATP11A;ATP11A,13,113539522,1
0.015537373682253075,0.9999952756232149,1,-2.5953958575300256,-0.41951688698257567,-0.08674294549203859,-0.7522908284731127,0.1616388828568986,33,chr7,139351108,cg11627968,HIPK2,-0.41951688698257567,0.015537373682253075,1.8086223891193065,chr7,139351108,HIPK2;HIPK2,7,139351108,1
0.0021792672982129013,0.9999952756232149,1,3.412886728402624,0.4107682716160878,0.658555253877279,0.16298128935489667,0.12035801487274815,33,chr16,87249324,cg03146160,LOC101928708,0.4107682716160878,0.0021792672982129013,2.6616894980606203,chr16,87249324,LOC101928708,16,87249324,1
0.01832302703844212,0.9999952756232149,1,2.522755923446045,0.4106135030068998,0.7457034994680836,0.0755235065457161,0.16276386438764484,33,chr2,66722811,cg14553323,MEIS1,0.4106135030068998,0.01832302703844212,1.7370027775297865,chr2,66722811,MEIS1,2,66722811,1
0.0015469655325111966,0.9999952756232149,1,-3.549367845067793,-0.40237133521215984,-0.16898281302760784,-0.6357598573967118,0.11336422506089237,33,chr19,12766032,cg06417478,HOOK2,-0.40237133521215984,0.0015469655325111966,2.8105193625817906,chr19,12876846,HOOK2;HOOK2,19,12766032,1
6.09177833144751e-4,0.9999952756232149,1,3.9152568650274864,0.39848910832448914,0.6080255991179531,0.18895261753102516,0.10177853511577756,33,chr17,80849463,cg14195178,TBCD,0.39848910832448914,6.09177833144751e-4,3.215255908221857,chr17,80849463,TBCD,17,80849463,1
0.015338232892423547,0.9999952756232149,1,2.601043197354006,0.38593766877582325,0.6914108408948265,0.08046449665681998,0.1483780312331724,33,chr19,38229377,cg22671798,ZNF573,0.38593766877582325,0.015338232892423547,1.8142246722824813,chr19,38229377,ZNF573,19,38229377,1
0.023174547351585816,0.9999952756232149,1,-2.4177657453716255,-0.3815569226339688,-0.05665776329996908,-0.7064560819679685,0.15781385081015,33,chr8,66949849,cg02822944,DNAJC5B,-0.3815569226339688,0.023174547351585816,1.6349887397995753,chr8,66949849,DNAJC5B,8,66949849,1
