p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
1.1745178955958628e-7,0.0507480994257478,0.10149608139970605,7.023660964859921,0.6008896685105015,0.7760786580476032,0.4257006789733998,0.08555220297745188,36,chr8,66949849,cg02822944,DNAJC5B,0.6008896685105015,1.1745178955958628e-7,6.930140361688142,chr8,66949849,DNAJC5B,8,66949849,0.1014961988514956
3.141343012435089e-4,0.21600217889763926,1,4.10419840316358,0.49545144211729325,0.7426513817367925,0.24825150249779407,0.12071819962100067,36,chr16,601869,cg26722972,SOLH,0.49545144211729325,3.141343012435089e-4,3.502884639127016,chr16,601869,SOLH,16,601869,1
3.4437721574177094e-5,0.1786138068071854,1,-4.914364540355654,-0.46419111248488726,-0.270769471741904,-0.6576127532278705,0.09445597872788118,36,chr19,12768390,cg10776061,MAN2B1,-0.46419111248488726,3.4437721574177094e-5,4.462965589520789,chr19,12768390,MAN2B1,19,12768390,1
4.846668733539478e-4,0.22391333434523533,1,3.943051295439096,0.4445180981904888,0.6753695612329893,0.21366663514798828,0.11273454613807846,36,chr10,34344580,cg19848924,NA,0.4445180981904888,4.846668733539478e-4,3.314556662990743,chr10,34344580,,10,34344580,1
9.312748370705006e-5,0.18796407846963278,1,-4.551297323900465,-0.4378987592740154,-0.24087703411584085,-0.63492048443219,0.09621405241412263,36,chr16,87249324,cg03146160,LOC101928708,-0.4378987592740154,9.312748370705006e-5,4.030922131469074,chr16,87249324,LOC101928708,16,87249324,1
1.3057863839577337e-4,0.18796407846963278,1,4.427527170912988,0.4159933146206573,0.6083913914811797,0.2235952377601349,0.09395612913536937,36,chr6,128530306,cg09247979,PTPRK,0.4159933146206573,1.3057863839577337e-4,3.884127864298604,chr6,128530306,PTPRK;PTPRK,6,128530306,1
2.516468160225947e-4,0.20651576387422343,1,4.186209046695296,0.408818851827516,0.608798413812934,0.20883928984209799,0.09765848940349703,36,chr17,78264297,cg11606607,RNF213,0.408818851827516,2.516468160225947e-4,3.5992085601707378,chr17,78264297,RNF213;RNF213,17,78264297,1
2.2480724512019998e-4,0.203202252613534,1,4.2278196352355275,0.40655087936396356,0.6034637320661235,0.20963802666180364,0.09616088538301966,36,chr17,78021508,cg17735193,CCDC40,0.40655087936396356,2.2480724512019998e-4,3.6481896963724614,chr17,78021508,CCDC40,17,78021508,1
5.353943171144154e-5,0.1808416935025263,1,4.753468624863435,0.4042848146027924,0.5784464154150355,0.23012321379054934,0.08505048555241224,36,chr8,66927236,cg08705587,NA,0.4042848146027924,5.353943171144154e-5,4.271326242896843,chr8,66927236,,8,66927236,1
0.001517129434307439,0.25835382960251274,1,3.5120458452845984,0.40160529002679807,0.6357664489704287,0.1674441310831675,0.11435081081473013,36,chrX,111621927,cg26287822,ZCCHC16,0.40160529002679807,0.001517129434307439,2.818977365681612,chrX,111621927,ZCCHC16,23,111621927,1
