probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg23414262,phenotype_signature_C2_vs_rest,7.472922842554798e-7,8.647694899224673e-13,1,-0.16139444543602846,CHSY3,5,129338100
cg00251121,phenotype_signature_C2_vs_rest,9.838274682396725e-5,2.2769778192717768e-10,1,-0.15121778055846605,UVRAG,11,75631360
cg02401524,phenotype_signature_C2_vs_rest,1.8154268587611177e-4,6.302456716276016e-10,1,-0.1988734744361444,NA,10,134833335
cg01635668,phenotype_signature_C1_vs_rest,5.508940653482337e-4,6.374967197301326e-10,1,-0.0508193496547847,SLC24A3,20,19213673
cg14632071,phenotype_signature_C2_vs_rest,7.476013058512307e-4,3.460508363580623e-9,1,-0.11742241582249278,TTLL11,9,124616283
cg11606607,phenotype_signature_C2_vs_rest,0.00130666911327367,7.560412481100993e-9,1,-0.3240160147771866,RNF213,17,78264297
cg10549984,phenotype_signature_C1_vs_rest,0.00183676931758552,4.6053093509862366e-9,1,-0.08534686556313624,NA,1,207537034
cg02741985,phenotype_signature_C1_vs_rest,0.00183676931758552,7.816080131479425e-9,1,-0.09220725110733116,CCDC57,17,82101532
cg07410082,phenotype_signature_C1_vs_rest,0.00183676931758552,8.9595520858255e-9,1,-0.05115067748835401,NA,10,134140238
cg10433549,phenotype_signature_C1_vs_rest,0.00183676931758552,1.2292905763549468e-8,1,-0.08608935668219402,NA,17,43395380
cg22864884,phenotype_signature_C1_vs_rest,0.00183676931758552,1.394961926994985e-8,2,-0.06109566427376987,NA,3,194575080
cg19448292,phenotype_signature_C1_vs_rest,0.00183676931758552,1.4918575508182254e-8,1,-0.10118332531977538,C20orf118,20,36875661
cg03181212,phenotype_signature_C1_vs_rest,0.00183676931758552,2.1845750008418527e-8,1,-0.11443876777731617,AKAP13,15,85477232
cg02564259,phenotype_signature_C1_vs_rest,0.00183676931758552,2.3669869167920643e-8,1,-0.02730042237688839,SLC12A4,16,67944526
cg20337696,phenotype_signature_C1_vs_rest,0.00183676931758552,2.403078016082159e-8,1,-0.07536959828003198,SNX21,20,45836974
cg24600621,phenotype_signature_C1_vs_rest,0.00183676931758552,2.5194794587171384e-8,1,-0.03695479796645285,SLC16A12,10,89502991
cg13859771,phenotype_signature_C1_vs_rest,0.00183676931758552,2.5506197765007028e-8,1,-0.06241940242685024,ENTPD7,10,99661385
cg04973399,phenotype_signature_C1_vs_rest,0.0018535468744145,3.0499371717872456e-8,1,-0.09434863147844907,MIR5095,16,48394014
cg04871139,phenotype_signature_C1_vs_rest,0.0018535468744145,3.2094815148165744e-8,1,-0.02898059576788718,AAK1,2,69560341
cg24112090,phenotype_signature_C1_vs_rest,0.0018535468744145,3.2173973000372114e-8,1,-0.02113004632369016,RIN3,14,92519603
cg21294295,phenotype_signature_C1_vs_rest,0.00185463379443221,3.580681129507397e-8,1,-0.02109115440860748,NA,10,131923210
cg18367488,phenotype_signature_C1_vs_rest,0.00185463379443221,3.648521846312639e-8,1,-0.09228519349960526,NA,11,47916382
cg17278724,phenotype_signature_C1_vs_rest,0.00188536097987052,3.9271444881999226e-8,1,-0.09189407692736146,NA,1,229142381
cg06893139,phenotype_signature_C2_vs_rest,0.00203994599630555,1.4163799861405564e-8,1,-0.06387627809337669,ADAMTS12,5,33852528
cg00728848,phenotype_signature_C1_vs_rest,0.00234885814923785,5.212652015374332e-8,1,-0.03924159858750013,C6orf114,6,13483600
cg19528703,phenotype_signature_C1_vs_rest,0.00234885814923785,5.900482254322468e-8,1,-0.04213377620535594,FAM69A,1,92852007
cg15756055,phenotype_signature_C1_vs_rest,0.00234885814923785,6.13057871424869e-8,1,-0.03983979761440735,MAP4K3,2,39418814
cg01602526,phenotype_signature_C1_vs_rest,0.00234885814923785,6.171256069326635e-8,1,-0.07583305890481422,NA,10,134140240
cg07337598,phenotype_signature_C1_vs_rest,0.00234885814923785,6.50830193263214e-8,1,-0.06725354535414156,ANXA9,1,150981467
cg23339014,phenotype_signature_C1_vs_rest,0.00234885814923785,6.52345832465916e-8,1,-0.12221522860109524,PRKCH,14,61533773
cg06845438,phenotype_signature_C1_vs_rest,0.00235407783759459,6.810369696519245e-8,1,-0.03626884847928699,ZNF662,3,42905280
cg04968217,phenotype_signature_C1_vs_rest,0.00235585693261472,7.088137300843225e-8,1,-0.0672131768827045,NA,15,58307339
cg19726630,phenotype_signature_C2_vs_rest,0.00244637096918896,1.9816648904732903e-8,1,0.3030131719109389,CMTM8,3,32400704
cg03181373,phenotype_signature_C1_vs_rest,0.0025612187740448,8.002400839112775e-8,1,-0.03632351251652872,PDPR,16,70151549
cg12842511,phenotype_signature_C1_vs_rest,0.00268930446958622,1.032179590388534e-7,1,-0.06115970717173458,PTPRE,10,128052933
cg08086385,phenotype_signature_C1_vs_rest,0.00268930446958622,1.037720975991935e-7,1,-0.10360051719173988,RYBP,3,72381060
cg13698578,phenotype_signature_C1_vs_rest,0.00268930446958622,1.044853309301075e-7,1,-0.05298371344464102,PRKCH,14,61516085
cg02179849,phenotype_signature_C1_vs_rest,0.00268930446958622,1.0721193852087879e-7,1,-0.078883462729224,KANSL1,17,46046255
cg14617280,phenotype_signature_C1_vs_rest,0.00268930446958622,1.0975496886708497e-7,1,-0.1066225938774326,CREG1,1,167542869
cg01963353,phenotype_signature_C1_vs_rest,0.00268930446958622,1.1338469985082593e-7,1,-0.07972208113209252,FKBP1A,20,1378231
cg02865193,phenotype_signature_C1_vs_rest,0.00268930446958622,1.1480476174607229e-7,1,-0.08166476207319649,AKAP1,17,57106584
cg19466875,phenotype_signature_C1_vs_rest,0.00268930446958622,1.2078227967208778e-7,1,-0.03197729997140592,AUTS2,7,69603082
cg18645861,phenotype_signature_C1_vs_rest,0.00268930446958622,1.2155893411899154e-7,2,-0.0651871954570906,NA,1,160539778
cg17248139,phenotype_signature_C1_vs_rest,0.00268930446958622,1.2523986601862098e-7,1,-0.04016422574883219,FLJ34503,6,113920710
