p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
3.8092322491922874e-6,0.4114694583255017,1,-4.829264239194557,-0.3714821665056972,-0.21929006448774557,-0.5236742685236488,0.07692313944859941,137,chr7,47539511,cg10974412,TNS3,-0.3714821665056972,3.8092322491922874e-6,5.419162547562809,chr7,47539511,TNS3,7,47539511,1
3.670736440874367e-6,0.4114694583255017,1,-4.8379703389625774,-0.3468069197527548,-0.20497967451425347,-0.4886341649912561,0.07168438321329638,137,chr20,55449685,cg16888857,NA,-0.3468069197527548,3.670736440874367e-6,5.4352467967499,chr20,55449685,,20,55449685,1
3.6785814780413264e-4,0.47056972895479526,1,-3.6587716446082643,-0.33138464227176617,-0.15218704279104286,-0.5105822417524895,0.09057264963778486,137,chr15,76016056,cg19495614,ODF3L1,-0.33138464227176617,3.6785814780413264e-4,3.4343196201918613,chr15,76016056,ODF3L1,15,76016056,1
0.0029486099819414687,0.47056972895479526,1,3.030653748168673,0.3221059477573656,0.532385739297789,0.11182615621694222,0.10628266193457565,137,chr11,116664039,cg12556569,APOA5,0.3221059477573656,0.0029486099819414687,2.5303826685782287,chr11,116664039,APOA5;APOA5,11,116664039,1
0.003914614720730274,0.47056972895479526,1,-2.937886364280822,-0.31176948923588577,-0.1018108581019112,-0.5217281203698603,0.10612033638414914,137,chr16,85309889,cg07488092,NA,-0.31176948923588577,0.003914614720730274,2.4073109750861583,chr16,85309889,,16,85309889,1
0.005828512863529263,0.47056972895479526,1,-2.803893974460093,-0.30948367366610696,-0.09110447362077795,-0.5278628737114359,0.11037638244709304,137,chr6,32983714,cg26864304,NA,-0.30948367366610696,0.005828512863529263,2.234442240704205,chr6,32983714,,6,32983714,1
0.009946983117502467,0.47384385226992504,1,2.6163321220507965,0.3010189307359634,0.5286523647687985,0.0733854967031283,0.11505379160349548,137,chr3,52749334,cg01132052,NEK4,0.3010189307359634,0.009946983117502467,2.002308619163103,chr3,52749334,NEK4;NEK4,3,52749334,1
0.013321231356250943,0.47982293826461103,1,2.5096423367948875,0.3001421797941582,0.5367615612981664,0.06352279829014992,0.1195955994978454,137,chr22,22057272,cg13195461,YPEL1,0.3001421797941582,0.013321231356250943,1.875455629031459,chr22,22057272,YPEL1;YPEL1,22,22057272,1
0.005369306883606167,0.47056972895479526,1,-2.8318915964866296,-0.29546491360614835,-0.08903890947209966,-0.501890917740197,0.10433482481204974,137,chr12,116930670,cg09957458,NA,-0.29546491360614835,0.005369306883606167,2.2700817731557947,chr12,116930670,,12,116930670,1
0.009595420236762046,0.47384385226992504,1,-2.629259490728377,-0.28928912543062757,-0.07160148449560458,-0.5069767663656506,0.11002684461185935,137,chr2,240723304,cg01105403,NA,-0.28928912543062757,0.009595420236762046,2.0179360003437985,chr2,240723304,,2,240723304,1
1.282393249147296e-4,0.47056972895479526,1,-3.9491265996500142,-0.28168781912706425,-0.1405634135385243,-0.4228122247156042,0.07132914380410808,137,chr13,113735031,cg22402121,MCF2L,-0.28168781912706425,1.282393249147296e-4,3.8919787768873757,chr13,113735031,MCF2L;MCF2L,13,113735031,1
0.01369899962567966,0.4799513941868259,1,-2.4992577825992384,-0.27958607591198487,-0.05825642441731657,-0.5009157274066531,0.11186764240910524,137,chr16,85531414,cg08717807,NA,-0.27958607591198487,0.01369899962567966,1.8633111461946856,chr16,85531414,,16,85531414,1
0.012637329815053859,0.47858001331482597,1,2.52913124318086,0.2792826016041857,0.4977605603456864,0.06080464286268503,0.11042629849961251,137,chr1,245496589,cg02215080,KIF26B,0.2792826016041857,0.012637329815053859,1.8983446799374948,chr1,245496589,KIF26B,1,245496589,1
0.002746475460818795,0.47056972895479526,1,-3.053581796172991,-0.2791193233392271,-0.09827059456322154,-0.45996805211523273,0.09140718735258484,137,chr18,12035841,cg18444757,NA,-0.2791193233392271,0.002746475460818795,2.5612242769552376,chr18,12035841,,18,12035841,1
0.007912218989049678,0.47378776182178306,1,2.697789359395986,0.2735073015546432,0.4740911696377299,0.07292343347155653,0.10138200768049561,137,chr11,129830796,cg00401237,PRDM10,0.2735073015546432,0.007912218989049678,2.101701701135381,chr11,129830796,PRDM10;PRDM10;PRDM10;PRDM10,11,129830796,1
0.023158992192405522,0.4994608144926807,1,2.2981658268269776,0.26772575658836556,0.49821141468941155,0.03724009848731957,0.11649540405794305,137,chr7,77827649,cg02483977,MAGI2,0.26772575658836556,0.023158992192405522,1.6352803436838206,chr7,77827649,MAGI2;MAGI2,7,77827649,1
0.013033735993947694,0.4791663393470621,1,2.5177233250567768,0.2661633668347299,0.4753218062642026,0.05700492740525723,0.10571589188765516,137,chr9,99960676,cg04399443,NA,0.2661633668347299,0.013033735993947694,1.8849310801436197,chr9,99960676,,9,99960676,1
0.010732609064722504,0.47472966719571,1,-2.588870048266491,-0.2658136216845792,-0.06267051195057485,-0.46895673141858363,0.10267553671246196,137,chr1,65761642,cg01081395,DNAJC6,-0.2658136216845792,0.010732609064722504,1.9692946895276304,chr1,65761642,DNAJC6;DNAJC6,1,65761642,1
0.018970208334489033,0.49282946161636537,1,2.376002019608726,0.2542103831153662,0.4658912446325678,0.04252952159816456,0.10699081104199942,137,chr5,73024706,cg12206353,ARHGEF28,0.2542103831153662,0.018970208334489033,1.7219278995793317,chr5,73024706,ARHGEF28;ARHGEF28,5,73024706,1
0.03465024171877587,0.5251038866815462,1,-2.1349810142213252,-0.24996313364091272,-0.01832126596881678,-0.48160500131300865,0.1170797922678857,137,chr1,225668030,cg15517438,NA,-0.24996313364091272,0.03465024171877587,1.4602937314197248,chr1,225668030,,1,225668030,1
