p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
3.336236417822183e-8,0.014563798247501751,0.02883015372933875,-5.858692265383272,-0.017111383806598223,-0.01133563278922462,-0.022887134823971825,0.0029206831544477453,144,chr16,77250184,cg26916605,-0.017111383806598223,3.336236417822183e-8,7.476743181260453,chr16,77284081,,16,77250184,NA,0.02883015372933875
8.069041451630111e-8,0.014563798247501751,0.06972870239467611,-5.673338714403393,-0.04223826232150581,-0.027515430621850242,-0.05696109402116137,0.007445045051562301,144,chr6,122402561,cg19561453,-0.04223826232150581,8.069041451630111e-8,7.093178053505077,chr6,122723706,HSF2;HSF2,6,122402561,HSF2,0.06972878308509063
1.1200991120514185e-7,0.014563798247501751,0.09679336476792333,-5.603641147001349,-0.056233533905940054,-0.036388626413288425,-0.07607844139859168,0.01003517756236622,144,chr7,87161710,cg04515042,-0.056233533905940054,1.1200991120514185e-7,6.950743547050713,chr7,86791026,DMTF1;DMTF1;DMTF1;DMTF1;DMTF1,7,87161710,DMTF1,0.09679358878774574
1.4460014476398224e-7,0.014563798247501751,0.12495607049765049,5.5490243754049935,0.05542682172362176,0.07517956234716802,0.0356740811000755,0.009988570597975874,144,chr17,65559599,cg02711652,0.05542682172362176,1.4460014476398224e-7,6.839831272254716,chr17,63555717,AXIN2,17,65559599,AXIN2,0.12495650429808479
1.5943948548358976e-7,0.014563798247501751,0.13777931250167313,-5.528050112784915,-0.024681482887550555,-0.015852243437055703,-0.033510722338045404,0.004464771914869011,144,chr3,47298943,cg12121966,-0.024681482887550555,1.5943948548358976e-7,6.797404115787739,chr3,47340433,KLHL18,3,47298943,KLHL18,0.13777995025961506
1.596010467241014e-7,0.014563798247501751,0.13791876572349204,-5.527832428019575,-0.028924149851540553,-0.01857678527700695,-0.039271514426074156,0.00523245779031385,144,chr6,100425999,cg25268811,-0.028924149851540553,1.596010467241014e-7,6.79696426470828,chr6,100873875,SIM1,6,100425999,SIM1,0.13791956372872566
1.7305381189900484e-7,0.014563798247501751,0.14954375933727743,5.51042270639971,0.02149697658185436,0.02921163116754904,0.013782321996159683,0.0039011483741325575,144,chr11,105611075,cg09980522,0.02149697658185436,1.7305381189900484e-7,6.761818829952804,chr11,105481802,GRIA4;GRIA4;GRIA4;GRIA4,11,105611075,GRIA4,0.14954479766014883
2.4213421328472806e-7,0.014563798247501751,0.20923906973893133,-5.437817248292671,-0.037418157611143525,-0.02381054899553587,-0.05102576622675118,0.006881098775964165,144,chr5,127026400,cg17940762,-0.037418157611143525,2.4213421328472806e-7,6.615943840913652,chr5,126362092,MARCH3,5,127026400,MARCH3,0.2092407646784243
2.649135272294332e-7,0.014563798247501751,0.22892343507415133,-5.418286027440819,-0.07231085709307877,-0.045919264444692486,-0.09870244974146505,0.013345706876097284,144,chr4,57426463,cg10572565,-0.07231085709307877,2.649135272294332e-7,6.57689586483941,chr4,58292629,LOC101928851,4,57426463,LOC101928851,0.22892555438236917
3.0930252634347117e-7,0.014563798247501751,0.2672816130220262,-5.384536453252151,-0.03619554531682068,-0.022902306102335984,-0.04948878453130538,0.006722128382093004,144,chr12,28505872,cg02390084,-0.03619554531682068,3.0930252634347117e-7,6.509616532720558,chr12,28658805,CCDC91,12,28505872,CCDC91,0.2672843967447633
