p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
8.647694899224672e-13,7.472922842554798e-7,7.472922842554798e-7,-7.717714110213785,-0.16139444543602846,-0.12012217025510966,-0.20266672061694727,0.020912208347085005,183,chr5,129338100,cg23414262,-0.16139444543602846,8.647694899224672e-13,12.063099641200973,chr5,129338100,CHSY3,5,129338100,CHSY3,7.472922842554798e-7
2.276977819271777e-10,9.838274682396723e-5,1.9676526595015253e-4,-6.733840426850876,-0.15121778055846605,-0.1068979029523335,-0.1955376581645986,0.022456395009821165,183,chr11,75631360,cg00251121,-0.15121778055846605,2.276977819271777e-10,9.642641199957888,chr11,75631360,UVRAG,11,75631360,UVRAG,1.9676549364793446e-4
6.302456716276017e-10,1.8154268587611177e-4,5.44626797136992e-4,-6.545965384237225,-0.19887347443614442,-0.13891346808133678,-0.25883348079095203,0.030381076397842627,183,chr10,134833335,cg02401524,-0.19887347443614442,6.302456716276017e-10,9.200490128269054,chr10,134833335,,10,134833335,NA,5.446280576283353e-4
3.4605083635806236e-9,7.476013058512307e-4,0.0029903948418798323,-6.224609744198841,-0.11742241582249278,-0.0801920420465548,-0.15465278959843076,0.018864221316352743,183,chr9,124616283,cg14632071,-0.11742241582249278,3.4605083635806236e-9,8.46086009679094,chr9,124616283,TTLL11,9,124616283,TTLL11,0.002990405223404923
7.560412481100993e-9,0.001306669113273677,0.006533315324718461,-6.073846846031822,-0.3240160147771866,-0.21873231146300848,-0.42929971809136475,0.05334609564429064,183,chr17,78264297,cg11606607,-0.3240160147771866,7.560412481100993e-9,8.121454509607359,chr17,78264297,RNF213;RNF213,17,78264297,RNF213,0.006533345566368386
1.4163799861405565e-8,0.002039945996305557,0.012239605158834035,-5.951088090369416,-0.06387627809337669,-0.042692581991900874,-0.0850599741948525,0.010733546054669734,183,chr5,33852528,cg06893139,-0.06387627809337669,1.4163799861405565e-8,7.848820218577388,chr5,33852528,ADAMTS12,5,33852528,ADAMTS12,0.012239675977833342
1.9816648904732906e-8,0.002446370969188964,0.01712447788442932,5.884775449658636,0.3030131719109389,0.4046357305315494,0.20139061329032842,0.05149103385559361,183,chr3,32400704,cg19726630,0.3030131719109389,1.9816648904732906e-8,7.702969785028868,chr3,32400704,CMTM8,3,32400704,CMTM8,0.01712459678432275
1.0144238113213842e-7,0.01095770456751246,0.08766092644343175,-5.555382255845705,-0.1962235692775401,-0.12651346421467222,-0.26593367434040793,0.03532134428212603,183,chr2,121717644,cg11398095,-0.1962235692775401,1.0144238113213842e-7,6.9937805652548155,chr2,121717644,GLI2,2,121717644,GLI2,0.08766163654009967
1.5941320163111685e-7,0.015306359668436988,0.13775596171031984,-5.46198842118959,-0.10552129743665649,-0.06739296068851217,-0.1436496341848008,0.01931920928782829,183,chr11,118344130,cg13750061,-0.10552129743665649,1.5941320163111685e-7,6.797475715824868,chr11,118214845,CD3G;CD3D;CD3D,11,118344130,CD3G,0.1377572370159329
2.0552934662883543e-7,0.01776085959480014,0.17760674618388173,-5.409029978648615,-0.06859454860310193,-0.043566399853307444,-0.09362269735289643,0.012681487969907593,183,chr11,121025856,cg09696135,-0.06859454860310193,2.0552934662883543e-7,6.687126158366912,chr11,121025856,TECTA,11,121025856,TECTA,0.1776085959480014
2.5068339744155537e-7,0.01830220721784518,0.21662605243194055,-5.367398812815712,-0.234168410764857,-0.14806448434625047,-0.32027233718346354,0.04362791343280366,183,chr2,238639895,cg08571639,-0.234168410764857,2.5068339744155537e-7,6.600874428061258,chr2,238639895,LRRFIP1;LRRFIP1;LRRFIP1;LRRFIP1;LRRFIP1,2,238639895,LRRFIP1,0.21662855926591496
2.8307621790763927e-7,0.01830220721784518,0.24461776601892532,-5.341819450497346,-0.16072798663619636,-0.10134516730586539,-0.22011080596652732,0.030088622074494094,183,chr3,51827889,cg18363564,-0.16072798663619636,2.8307621790763927e-7,6.548096615500067,chr3,51861905,IQCF3;IQCF3,3,51827889,IQCF3,0.24462087985732228
2.8349087610987866e-7,0.01830220721784518,0.24497580568159055,-5.3415108584021,-0.1467034030563419,-0.09249899749455434,-0.20090780861812949,0.027464776716793548,183,chr8,29778333,cg11388547,-0.1467034030563419,2.8349087610987866e-7,6.547460913910039,chr8,29778333,LOC286135,8,29778333,LOC286135,0.24497920757210387
3.172651269987648e-7,0.01830220721784518,0.27416116957958564,-5.317745793411582,-0.1597965852957991,-0.10049061232756924,-0.21910255826402897,0.030049684867181688,183,chr8,22642263,cg13866190,-0.1597965852957991,3.172651269987648e-7,6.498577661855882,chr8,22499776,FLJ14107;BIN3,8,22642263,FLJ14107,0.27416529402623663
3.1769076304594296e-7,0.01830220721784518,0.27452866059699504,5.317462304069326,0.03331180436239362,0.04567561232337927,0.020947996401407973,0.006264605644106005,183,chr6,33248472,cg12218999,0.03331180436239362,3.1769076304594296e-7,6.497995412231382,chr6,33216249,,6,33248472,NA,0.2745331082676777
3.7254542612487215e-7,0.02012099219229128,0.32193028689526865,-5.283710491209402,-0.08610165407455841,-0.05394054665439357,-0.11826276149472326,0.01629567975342464,183,chr7,7924714,cg20968069,-0.08610165407455841,3.7254542612487215e-7,6.428820764224315,chr7,7924714,,7,7924714,NA,0.3219358750766605
4.584140610354648e-7,0.023302319274818763,0.3961320930469424,5.239543151086184,0.06317574556889767,0.0869723761104164,0.03937911502737894,0.012057491225318188,183,chrX,31266915,cg09192059,0.06317574556889767,4.584140610354648e-7,6.338742069626059,chrX,31285032,DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD;DMD,23,31266915,DMD,0.39613942767191895
5.424748882659574e-7,0.026043375535822425,0.4687715375717031,5.203506701088453,0.13003477873670868,0.17935464817548447,0.0807149092979329,0.024989835933046538,183,chr4,158394288,cg01024679,0.13003477873670868,5.424748882659574e-7,6.265620360963201,chr4,159315440,,4,158394288,NA,0.4687807596448036
5.773397263230575e-7,0.02613504665868478,0.49889888706644897,-5.19013242757301,-0.13341401090356314,-0.08268206565321504,-0.18414595615391124,0.025705319231314815,183,chr17,74641236,cg01686178,-0.13341401090356314,5.773397263230575e-7,6.23856855798847,chr17,74641236,ST6GALNAC1;ST6GALNAC1;ST6GALNAC1,17,74641236,ST6GALNAC1,0.4989092791815228
6.048715193318949e-7,0.02613504665868478,0.5226894406148284,-5.180114856607515,-0.1731823892093191,-0.10720078794388592,-0.23916399047475229,0.03343215237562072,183,chr6,10482947,cg27325096,-0.1731823892093191,6.048715193318949e-7,6.218336863977018,chr6,10482947,,6,10482947,NA,0.5227009331736956
