p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
1.599550418623636e-8,0.006251859600752115,0.013822546933544523,-6.031173340080714,-0.08003540718132876,-0.05378019991584487,-0.10629061444681265,0.013270287996772724,137,chr3,194470841,cg24199724,-0.08003540718132876,1.599550418623636e-8,7.7960020661863565,chr3,194191570,,3,194470841,NA,0.013822546933544523
2.6001906521597155e-8,0.006251859600752115,0.0224695735225447,-5.930092334913503,-0.06697283024291237,-0.04462824490135686,-0.08931741558446787,0.01129372469440465,137,chr8,88081893,cg15286746,-0.06697283024291237,2.6001906521597155e-8,7.584994807357899,chr8,88081893,CNBD1,8,88081893,CNBD1,0.022469599524451225
3.900410248903547e-8,0.006251859600752115,0.0337053951659,-5.84503739204609,-0.10764384974860962,-0.07120731808418684,-0.1440803814130324,0.01841628077436956,137,chr20,8275246,cg22748852,-0.10764384974860962,3.900410248903547e-8,7.408889711059474,chr20,8255893,PLCB1;PLCB1,20,8275246,PLCB1,0.03370547317410498
5.641330833313496e-8,0.006251859600752115,0.04874950398277024,-5.767054992138859,-0.04359741102825003,-0.02864050688719271,-0.05855431516930735,0.0075597356168231765,137,chr6,122402561,cg19561453,-0.04359741102825003,5.641330833313496e-8,7.248618430522895,chr6,122723706,HSF2;HSF2,6,122402561,HSF2,0.04874967322269524
5.9560521374305854e-8,0.006251859600752115,0.051469105424563656,-5.7555356015582815,-0.017842473475998984,-0.011709029283089907,-0.02397591766890806,0.0031000544017429463,137,chr16,77250184,cg26916605,-0.017842473475998984,5.9560521374305854e-8,7.22504150922421,chr16,77284081,,16,77250184,NA,0.05146934366664915
6.126582824884524e-8,0.006251859600752115,0.05294268168375487,-5.749540689790759,-0.10417664933717671,-0.06832803809075699,-0.14002526058359643,0.0181191255020004,137,chr9,12300873,cg02751109,-0.10417664933717671,6.126582824884524e-8,7.212781690913174,chr9,12300873,,9,12300873,NA,0.05294298801289611
6.642250611141998e-8,0.006251859600752115,0.05739874296615913,-5.732359963278395,-0.08662313984206509,-0.05672559193814261,-0.11652068774598756,0.015111252677252397,137,chr10,50886642,cg05138383,-0.08662313984206509,6.642250611141998e-8,7.17768474256136,chr10,52646402,A1CF;A1CF;A1CF;A1CF;A1CF;A1CF,10,50886642,A1CF,0.057399141501195794
7.359438035011875e-8,0.006251859600752115,0.06359621580765336,5.7105215902581,0.049485882348592386,0.06663100685652555,0.03234075784065922,0.008665737720528565,137,chr5,28468512,cg11507524,0.049485882348592386,7.359438035011875e-8,7.133155347022725,chr5,28468512,,5,28468512,NA,0.06359673096831582
8.586468072788597e-8,0.006251859600752115,0.07419944866291829,-5.67759191856193,-0.05141978252285392,-0.03350130260400687,-0.06933826244170097,0.00905661823893077,137,chr8,120761157,cg20569424,-0.05141978252285392,8.586468072788597e-8,7.06618544058423,chr8,121773397,LOC101927543;SNTB1,8,120761157,LOC101927543,0.07420013558036412
9.229905137739804e-8,0.006251859600752115,0.07975957915441888,-5.6621248321113855,-0.039300189629033755,-0.025567667458943746,-0.05303271179912376,0.006940890706992565,137,chr4,141054108,cg00841299,-0.039300189629033755,9.229905137739804e-8,7.034802762502566,chr4,141975262,RNF150,4,141054108,RNF150,0.07976040984588127
1.0039318838760533e-7,0.006251859600752115,0.08675397059964204,-5.644102974149178,-0.09960140699209967,-0.06468692141422455,-0.1345158925699748,0.01764698614612256,137,chr6,21662417,cg02147208,-0.09960140699209967,1.0039318838760533e-7,6.998295752788919,chr6,21662648,,6,21662417,NA,0.08675497453152592
1.0141781842808969e-7,0.006251859600752115,0.08763929503426784,-5.641923806933208,-0.019822052256494437,-0.012870904777580506,-0.026773199735408367,0.0035133498669612756,137,chr2,187577468,cg14888192,-0.019822052256494437,1.0141781842808969e-7,6.993885735681585,chr2,188442195,,2,187577468,NA,0.08764041063027056
1.1071314755392558e-7,0.006251859600752115,0.09567165932724925,-5.623085162693185,-0.0887822618026586,-0.05754401536674324,-0.12002050823857395,0.01578888799189664,137,chr3,77813107,cg07878774,-0.0887822618026586,1.1071314755392558e-7,6.955800802146827,chr3,77862258,,3,77813107,NA,0.0956729878850199
1.1351806896996652e-7,0.006251859600752115,0.0980953906016379,-5.617704027849572,-0.09539725789721942,-0.06179935736720923,-0.1289951584272296,0.016981538618676035,137,chr5,109384643,cg14187777,-0.09539725789721942,1.1351806896996652e-7,6.94493500517233,chr5,108720344,PJA2,5,109384643,PJA2,0.09809686633653451
1.179161532806364e-7,0.006251859600752115,0.10189582886362257,-5.609523058500793,-0.10018401716171553,-0.06484881281040228,-0.13551922151302878,0.01785963193606888,137,chr13,60427511,cg21017065,-0.10018401716171553,1.179161532806364e-7,6.928426697024394,chr13,61001645,TDRD3;TDRD3;TDRD3,13,60427511,TDRD3,0.1018974796897685
