p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
3.5287229008248586e-5,0.5609764754150032,1,4.822108979284917,0.4948999320440418,0.7041697528821298,0.2856301112059538,0.10263142831695847,39,chr1,43472312,cg05712748,NA,0.4948999320440418,3.5287229008248586e-5,4.4523824440394755,chr1,43472312,,1,43472312,1
5.0174592503733154e-5,0.5609764754150032,1,-4.699188639611902,-0.45361288252005383,-0.2567840437991348,-0.6504417212409729,0.096530043228381,39,chr5,16614241,cg12515659,FAM134B,-0.45361288252005383,5.0174592503733154e-5,4.2995161459774724,chr5,16614241,FAM134B,5,16614241,1
1.0463973697178283e-5,0.5609764754150032,1,5.245206272292366,0.43567602151937734,0.6050424446740822,0.2663095983646725,0.08306175179817464,39,chr1,43476956,cg08216425,NA,0.43567602151937734,1.0463973697178283e-5,4.980303360685011,chr1,43476956,,1,43476956,1
0.005386446728730023,0.5609764754150032,1,-2.9914977898240944,-0.39109923561798154,-0.12452110979459435,-0.6576773614413687,0.13073692949008625,39,chr16,77753719,cg11826549,NA,-0.39109923561798154,0.005386446728730023,2.2686976309139473,chr16,77753719,,16,77753719,1
0.0016495027862870803,0.5609764754150032,1,3.4455339845924806,0.3748654163487906,0.5967080781533568,0.1530227545442244,0.10879748045588576,39,chr8,41648357,cg22256607,ANK1,0.3748654163487906,0.0016495027862870803,2.7826469465217403,chr8,41648357,ANK1;ANK1;ANK1;ANK1;ANK1,8,41648357,1
0.0033338545057892527,0.5609764754150032,1,3.178459132534271,0.3747119760240586,0.6150968692419352,0.134327082806182,0.11789107878989485,39,chr3,139724110,cg25692928,CLSTN2,0.3747119760240586,0.0033338545057892527,2.4770533573309437,chr3,139724110,CLSTN2,3,139724110,1
0.010872093072636568,0.5609764754150032,1,-2.708702424769241,-0.3720317875448827,-0.091975722830199,-0.6520878522595663,0.13734686547437072,39,chr4,176711190,cg03088219,GPM6A,-0.3720317875448827,0.010872093072636568,1.963686838398496,chr4,176711190,GPM6A;GPM6A;GPM6A,4,176711190,1
0.007022937928067958,0.5609764754150032,1,-2.8860725344518454,-0.36996872698830296,-0.10858171579129378,-0.6313557381853121,0.12819107024230472,39,chr19,12766186,cg11738485,HOOK2,-0.36996872698830296,0.007022937928067958,2.1534811700596777,chr19,12877000,HOOK2;HOOK2,19,12766186,1
0.003958539230906501,0.5609764754150032,1,-3.1120355721936295,-0.36403131666207944,-0.12551372069840597,-0.6025489126257529,0.11697530706741856,39,chr1,229260510,cg02627872,NA,-0.36403131666207944,0.003958539230906501,2.402465046649042,chr1,229260510,,1,229260510,1
0.00490874277936007,0.5609764754150032,1,-3.028041868229484,-0.3605431088017876,-0.11775827558543625,-0.6033279420181389,0.11906807253381854,39,chr9,103989475,cg05611160,LPPR1,-0.3605431088017876,0.00490874277936007,2.3090297245575595,chr9,103989475,LPPR1;LPPR1,9,103989475,1
