probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg09074299,phenotype_signature_C2_vs_rest,1.1535037403083022e-4,1.3348389407283695e-10,1,-0.18119982053731593,TACC2,10,123893225
cg10549984,phenotype_signature_C1_vs_rest,5.267518570434886e-4,6.095592639298278e-10,1,-0.09217068313974149,NA,1,207537034
cg24112090,phenotype_signature_C1_vs_rest,0.00197462734257544,4.570092628554798e-9,1,-0.02291895121530757,RIN3,14,92519603
cg04871139,phenotype_signature_C1_vs_rest,0.0020995590461027,7.288853278483559e-9,1,-0.03105276885536402,AAK1,2,69560341
cg03867979,phenotype_signature_C2_vs_rest,0.00243508706835968,5.6357841406597055e-9,1,-0.21425256958473288,NA,6,170479824
cg17603188,phenotype_signature_C1_vs_rest,0.00342511106350972,1.5854206498438795e-8,1,-0.04928640539062211,PLD5,1,242188827
cg18645861,phenotype_signature_C1_vs_rest,0.00428712758417031,2.4805402198746972e-8,2,-0.07033199017124857,NA,1,160539778
cg13290417,phenotype_signature_C1_vs_rest,0.00429212249146361,3.4269054749606316e-8,1,-0.09174230190580686,OGDH,7,44670945
cg01278651,phenotype_signature_C1_vs_rest,0.00429212249146361,3.4768023959031854e-8,1,-0.02983870810882809,NPRL3,16,120123
cg02401524,phenotype_signature_C2_vs_rest,0.00432323214933809,1.5008582342011927e-8,1,-0.2450627214440355,NA,10,134833335
cg01635668,phenotype_signature_C1_vs_rest,0.00500632963885163,4.6346750468451225e-8,1,-0.04674703575361257,SLC24A3,20,19213673
cg12583591,phenotype_signature_C2_vs_rest,0.00538367192574748,2.492002298552795e-8,1,-0.20373660370645383,MUC16,19,9092130
cg19833642,phenotype_signature_C1_vs_rest,0.00571253651386876,6.299587710748601e-8,1,-0.02426410315584384,ZNF521,18,25329109
cg16730961,phenotype_signature_C1_vs_rest,0.00571253651386876,6.649033852497764e-8,1,-0.0290228619228413,SERINC5,5,80204430
cg15710961,phenotype_signature_C1_vs_rest,0.00571253651386876,8.234840461223548e-8,1,-0.06212323393918978,DST,6,56707793
cg15756055,phenotype_signature_C1_vs_rest,0.00571253651386876,8.334359254864297e-8,1,-0.04058920267672127,MAP4K3,2,39418814
cg17179455,phenotype_signature_C1_vs_rest,0.00571253651386876,8.647015162632514e-8,1,-0.11970030919514216,ETS1,11,128476906
cg18537383,phenotype_signature_C1_vs_rest,0.00571253651386876,9.650007106675847e-8,1,-0.0607647202724612,MCPH1,8,6576254
cg12380988,phenotype_signature_C1_vs_rest,0.00571253651386876,1.1298649380082044e-7,1,-0.08498793188986896,ANAPC11,17,79851485
cg21294295,phenotype_signature_C1_vs_rest,0.00571253651386876,1.2100770827449624e-7,1,-0.02090007000552075,NA,10,131923210
cg17084751,phenotype_signature_C1_vs_rest,0.00571253651386876,1.2167251696157586e-7,1,-0.067823428300264,ZNF215,11,6932327
cg05271710,phenotype_signature_C1_vs_rest,0.00571253651386876,1.229762986446877e-7,1,-0.05471512614224923,NA,6,139611579
cg02741985,phenotype_signature_C1_vs_rest,0.00571253651386876,1.2560081300917726e-7,1,-0.0874790957698429,CCDC57,17,82101532
cg10433549,phenotype_signature_C1_vs_rest,0.00592143630600554,1.525609525868111e-7,1,-0.08215917779131823,NA,17,43395380
cg01963353,phenotype_signature_C1_vs_rest,0.00592143630600554,1.579168659460373e-7,1,-0.08112345760187424,FKBP1A,20,1378231
cg25602071,phenotype_signature_C1_vs_rest,0.00592143630600554,1.614319443558438e-7,1,-0.05495167489792042,NA,6,142693805
cg15993159,phenotype_signature_C1_vs_rest,0.00592143630600554,1.628081681373723e-7,1,-0.03523920752492807,PITPNC1,17,67467925
cg26431230,phenotype_signature_C1_vs_rest,0.00592143630600554,1.649690040405051e-7,1,-0.04227644321347951,RNF103,2,86852158
