p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
1.5338181742812713e-8,0.0066311757952455036,0.01325452042941509,6.254466240505001,0.06856554118909029,0.09036148791220072,0.046769594465979863,0.010962652695292851,93,chr19,41425848,cg26296574,0.06856554118909029,1.5338181742812713e-8,7.814226120560841,chr19,41931753,B3GNT8,19,41425848,B3GNT8,0.01325452042941509
1.5347243992365934e-8,0.0066311757952455036,0.013262336243247014,6.2543316595501075,0.13858790285195047,0.18264384543193588,0.09453196027196506,0.02215870702033085,93,chr15,63983654,cg11266582,0.13858790285195047,1.5347243992365934e-8,7.813969602360769,chr15,64275853,DAPK2,15,63983654,DAPK2,0.013262351590491007
2.771959998927152e-8,0.007984649256642988,0.023953892330728987,-6.119138317811432,-0.019287675643730524,-0.013020819782786637,-0.025554531504674412,0.0031520247855140733,93,chr15,82047986,cg20633020,-0.019287675643730524,2.771959998927152e-8,7.557213041149175,chr15,82340327,,15,82047986,NA,0.023953947769928964
6.004710454549492e-8,0.011828070829203258,0.051889645345884895,5.940803762750454,0.08341104100164207,0.11132609141715646,0.05549599058612767,0.014040362942913416,93,chr2,231528545,cg22069247,0.08341104100164207,6.004710454549492e-8,7.221507929314053,chr2,232393256,NMUR1,2,231528545,NMUR1,0.05188982548719853
6.843744404458509e-8,0.011828070829203258,0.059140080396240115,-5.910439898755908,-0.09928071325756978,-0.0658838894636414,-0.13267753705149815,0.016797516759872212,93,chr1,224957573,cg02115923,-0.09928071325756978,6.843744404458509e-8,7.164706218564907,chr1,224957573,,1,224957573,NA,0.059140354146016295
8.229583816108005e-8,0.011852685523095608,0.07111570165938284,5.867532025636131,0.025160029354759264,0.033685448832727505,0.01663460987679102,0.004288008867242872,93,chr4,77014840,cg16382584,0.025160029354759264,8.229583816108005e-8,7.084622127234631,chr4,77935993,SEPT11,4,77014840,SEPT11,0.07111611313857365
1.2524250067731046e-7,0.015461222492185598,0.10822780599029512,5.7693742366468586,0.03329478297895013,0.0447685904890952,0.021820975468805064,0.005770952206127116,93,chr3,128597619,cg10248614,0.03329478297895013,1.2524250067731046e-7,6.9022482695482985,chr3,128316462,,3,128597619,NA,0.10822855744529919
1.640954824098963e-7,0.01737788852171061,0.14180229064709984,5.705875528599737,0.07210435082021342,0.09722895680825976,0.04697974483216709,0.012636860103029331,93,chr8,144080123,cg16622018,0.07210435082021342,1.640954824098963e-7,6.78490337501918,chr8,145135026,EXOSC4,8,144080123,EXOSC4,0.1418034393154767
2.26486562763998e-7,0.01737788852171061,0.1957170042931323,5.629779898782266,0.07300246116657995,0.09878384163349872,0.047221080699661175,0.012967196316568353,93,chr1,6599306,cg14823363,0.07300246116657995,2.26486562763998e-7,6.6449575591723775,chr1,6659366,KLHL21,1,6599306,KLHL21,0.1957188161856344
2.3521281230420273e-7,0.01737788852171061,0.20325750526299066,5.620825325671269,0.03880421190679007,0.05253004964204909,0.025078374171531054,0.006903650204101631,93,chr19,5263963,cg24151528,0.03880421190679007,2.3521281230420273e-7,6.62853902544681,chr19,5263974,PTPRS;PTPRS;PTPRS;PTPRS,19,5263963,PTPRS,0.2032596221783014
2.7908134609766623e-7,0.01737788852171061,0.2411659125795295,5.5802463116765,0.09234021524056577,0.12524034384245075,0.059440086638680785,0.01654769522401665,93,chr15,48809654,cg19965042,0.09234021524056577,2.7908134609766623e-7,6.554269190948094,chr15,49101851,CEP152;CEP152,15,48809654,CEP152,0.24116870339299046
2.855859204400085e-7,0.01737788852171061,0.24678650287494938,5.5747701106753915,0.09519208322115016,0.12914162761688072,0.0612425388254196,0.0170755172556555,93,chr14,51488174,cg22773376,0.09519208322115016,2.855859204400085e-7,6.544263207350829,chr14,51954892,FRMD6;FRMD6-AS2,14,51488174,FRMD6,0.24678964432007422
3.090945848104284e-7,0.01737788852171061,0.2671009945180836,5.55595122832177,0.03992820852429801,0.054216538863429545,0.025639878185166474,0.007186565699274275,93,chr16,29744414,cg13581487,0.03992820852429801,3.090945848104284e-7,6.509908603502048,chr16,29755735,C16orf54,16,29744414,C16orf54,0.2671047036531013
