probeID,gene,chromosome,position,beta,p,fdr
cg22446445,VIL1,2,219303984,-0.0283081546170407,8.22830021369933e-07,0.355525104313435
cg13550230,SRSF10,1,23978076,-0.0213709956461711,8.21529220284237e-07,0.355525104313435
cg10610309,,13,100083372,0.15406666312521,1.61904352780521e-06,0.466366567546642
cg26983017,HCK,20,30680224,0.21998408526214,0.000114667255499402,0.557077868992386
cg02627872,,1,229260510,-0.1846522928926,0.000514973992302551,0.557077868992386
cg19848924,,10,34344580,0.176783131740985,0.000238369915560947,0.557077868992386
cg02355809,GIMAP1,7,150412715,-0.1723884493924,3.75268146415059e-05,0.557077868992386
cg11014960,,3,122748132,0.164201892662373,5.42200906248584e-05,0.557077868992386
cg20622565,,13,112906400,0.154489750426225,0.000459990534175227,0.557077868992386
cg14710850,,1,227689829,0.151573635793638,0.000333074423238737,0.557077868992386
cg14289956,PPARD,6,35372052,0.1178613563082,5.26258604608368e-05,0.557077868992386
cg09371091,HRH1,3,11254070,-0.116184045207593,0.000734831713697285,0.557077868992386
cg14373797,HLA-DPB1,6,33053576,0.11054373321031,0.000811585515112433,0.557077868992386
cg22849321,,6,113128231,-0.108552148993463,0.000346553315112549,0.557077868992386
cg17416644,BRSK2,11,1453611,-0.107944463936914,0.000527566195902658,0.557077868992386
cg11572942,CDK11A,1,1656592,0.107674204038058,0.000921124060155717,0.557077868992386
cg11987751,SLC35E2,1,1663860,-0.106295533985418,0.000355380754300915,0.557077868992386
cg18651858,BRSK2,11,1463670,-0.100812328944915,0.000889795344278122,0.557077868992386
cg17429870,BRSK2,11,1442432,-0.0933592326835133,0.000705451188358793,0.557077868992386
cg14064268,BRSK2,11,1442324,-0.091710886093567,0.000377301484504357,0.557077868992386
