p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
6.616367048607195e-4,0.4535932851547849,1,3.467201128941052,0.1991521387542798,0.31251334182302254,0.08579093568553708,0.05743887687735745,183,chr20,30680224,cg26983017,HCK,0.1991521387542798,6.616367048607195e-4,3.1793804099302694,chr20,30680224,HCK;HCK;HCK;HCK;HCK;HCK,20,30680224,1
1.5865716960009904e-5,0.4535932851547849,1,-4.44026193309959,-0.18383537450776052,-0.1021246613494195,-0.26554608766610155,0.04140192116536502,183,chr7,150412715,cg02355809,GIMAP1,-0.18383537450776052,1.5865716960009904e-5,4.799540297673836,chr7,150412715,GIMAP1,7,150412715,1
6.321577262527406e-4,0.4535932851547849,1,-3.480281405664496,-0.15215192221823232,-0.06586964691587119,-0.23843419752059344,0.04371828150752129,183,chr20,61565484,cg09864671,DIDO1,-0.15215192221823232,6.321577262527406e-4,3.1991745497318265,chr20,61565484,DIDO1;DIDO1;DIDO1,20,61565484,1
0.017852617237963497,0.5027801731413568,1,2.3912071637532994,0.14353495443683845,0.2620023878351819,0.025067521038494953,0.060026147718436215,183,chr1,236702902,cg03013609,LGALS8,0.14353495443683845,0.017852617237963497,1.7482981062361969,chr1,236702902,LGALS8;LGALS8;LGALS8;LGALS8,1,236702902,1
2.1205091915157395e-4,0.4535932851547849,1,-3.783507185637063,-0.14024713810095177,-0.06708979045522946,-0.2134044857466741,0.03706802477694703,183,chr14,35096197,cg01088139,SNX6,-0.14024713810095177,2.1205091915157395e-4,3.6735598407162193,chr14,35096197,SNX6;SNX6,14,35096197,1
0.011066253685054329,0.48847004339611394,1,-2.567898976452737,-0.13919872264882757,-0.03221546385158701,-0.24618198144606812,0.054207242545466064,183,chr20,17680544,cg24859648,BANF2,-0.13919872264882757,0.011066253685054329,1.9559993781525549,chr20,17680544,BANF2;BANF2;BANF2,20,17680544,1
0.008780623206817422,0.4845345551249296,1,-2.65020926136094,-0.13917691962982148,-0.03553258693813506,-0.24282125232150792,0.05251544534953105,183,chr15,58750131,cg01104393,LOC101928694,-0.13917691962982148,0.008780623206817422,2.0564746588459757,chr15,58750131,LOC101928694;LIPC,15,58750131,1
0.0172392314917593,0.50161258348493,1,2.404446481380467,0.1373365589591551,0.2500639754068821,0.02460914251142811,0.057117744155530524,183,chr14,103364736,cg05070493,TRAF3,0.1373365589591551,0.0172392314917593,1.7634820985070976,chr14,103364736,TRAF3;TRAF3;TRAF3;TRAF3,14,103364736,1
0.006798916515637838,0.47979513263277035,1,2.7390499871632787,0.13334053570938598,0.2294178256505358,0.03726324576823613,0.048681307874735534,183,chr6,130545287,cg14256359,SAMD3,0.13334053570938598,0.006798916515637838,2.1675602915248757,chr6,130545287,SAMD3;SAMD3,6,130545287,1
0.017713578438223593,0.5025220041842319,1,2.3941725262894065,0.13286317584903853,0.24238677151562274,0.023339580182454328,0.0554944033440045,183,chr4,47423779,cg19935756,GABRB1,0.13286317584903853,0.017713578438223593,1.7516936952194613,chr4,47423779,GABRB1,4,47423779,1
