probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg16595750,atopy_IN_ASTHMA,0.19651025115949727,8.880241266998083e-7,1,-0.06184725510664735,FGFR2,10,121579083
cg10577375,atopy_IN_ASTHMA,0.19651025115949727,3.255157710274637e-6,1,0.08771513921534951,ACTR3C,7,149980362
cg25774326,atopy_IN_ASTHMA,0.19651025115949727,4.189699118785714e-6,1,-0.06128140214305865,PTGS1,9,125145828
cg16496709,atopy_IN_ASTHMA,0.19651025115949727,4.337178081574663e-6,1,0.20149115215824964,NA,19,13889669
cg26571320,atopy_IN_ASTHMA,0.19651025115949727,4.807670611990987e-6,1,0.06213952635228218,NA,16,3190141
cg05557991,atopy_IN_ASTHMA,0.19651025115949727,5.2436132519587456e-06,1,0.06533057600123167,CBFA2T3,16,88937233
cg13064873,atopy_IN_ASTHMA,0.19651025115949727,5.26223665534887e-6,1,0.05681421651602068,TMEM92-AS1,17,50283365
cg15536230,atopy_IN_ASTHMA,0.19651025115949727,5.327927594500039e-6,1,0.07749783973900175,HSF2BP,21,44985092
cg27165600,atopy_IN_ASTHMA,0.19651025115949727,5.720982868844093e-6,1,-0.023827635452462,ANKRD6,6,89501541
cg05013935,atopy_IN_ASTHMA,0.19651025115949727,6.680056756265595e-6,1,-0.02565944543449175,NA,6,33949231
cg18665259,atopy_IN_ASTHMA,0.19651025115949727,7.016563557851534e-6,1,-0.01690473971692216,VPS53,17,523296
cg04160588,atopy_IN_ASTHMA,0.19651025115949727,7.166228962889513e-6,1,0.06172300212946846,NA,22,49953468
cg27531366,atopy_IN_ASTHMA,0.19651025115949727,9.175282453408648e-6,1,0.04957359434762629,WDTC1,1,27300567
cg01112020,atopy_IN_ASTHMA,0.19651025115949727,9.521197599363346e-6,1,0.06089663395707439,ESPNL,2,238100345
cg03111114,atopy_IN_ASTHMA,0.19651025115949727,9.724428117598552e-6,1,-0.04517450688411969,NDST1,5,150506623
cg09039163,atopy_IN_ASTHMA,0.19651025115949727,9.90373008854608e-6,1,0.07622614852665827,ESPNL,2,238100395
cg04541009,atopy_IN_ASTHMA,0.19651025115949727,9.970172221546465e-6,1,0.07044813292739659,NA,21,43346041
cg18017482,atopy_IN_ASTHMA,0.19651025115949727,1.0546564767572864e-5,1,0.04885810553670955,NA,1,47449927
cg09150396,atopy_IN_ASTHMA,0.19651025115949727,1.055865262272117e-5,1,-0.03491267623750883,NA,2,160228767
cg00325499,atopy_IN_ASTHMA,0.19651025115949727,1.064166315801233e-5,1,0.04846750361622591,MSN,23,65694747
cg23166773,atopy_IN_ASTHMA,0.19651025115949727,1.072167809654088e-5,1,0.05589006962976495,SDCCAG8,1,243495714
cg25786651,atopy_IN_ASTHMA,0.19651025115949727,1.1124059970795867e-5,1,-0.03747625499587857,ASB10,7,151187399
cg01794929,atopy_IN_ASTHMA,0.19651025115949727,1.118097201070295e-5,1,-0.05026438424497626,SELM,22,31104954
cg07058807,atopy_IN_ASTHMA,0.19651025115949727,1.1193203378946254e-5,1,-0.04946298535507365,NA,21,45017761
cg10138310,atopy_IN_ASTHMA,0.19651025115949727,1.1652975527546363e-5,1,0.05812553877542964,ARHGAP4,23,153922293
cg03171795,atopy_IN_ASTHMA,0.19651025115949727,1.2108437305469888e-5,1,0.10608347942013652,NA,3,70833770
cg25090994,atopy_IN_ASTHMA,0.19651025115949727,1.2865399108532172e-5,1,-0.04907887467026051,CHRNG,2,232539767
cg00335252,atopy_IN_ASTHMA,0.19651025115949727,1.371614969456349e-5,1,0.04540241260261811,RBMS1,2,160388689
cg25072398,atopy_IN_ASTHMA,0.19651025115949727,1.385357705388221e-5,1,0.04463855859275531,SEMA5A,5,9437974
cg23429722,atopy_IN_ASTHMA,0.19651025115949727,1.410373623137166e-5,1,-0.04828276609976487,NA,5,586351
cg22900266,atopy_IN_ASTHMA,0.19651025115949727,1.4281294631907407e-5,1,0.05910079120688012,NA,2,64861866
cg14094841,atopy_IN_ASTHMA,0.19651025115949727,1.4455332197099606e-5,1,0.05923100333792748,NA,20,3711615
cg04767752,atopy_IN_ASTHMA,0.19651025115949727,1.4499928543050784e-5,1,-0.03473757508464401,RBL2,16,53433469
cg26269286,atopy_IN_ASTHMA,0.19651025115949727,1.4723422179554233e-5,1,0.03803696792204666,NA,14,103382645
cg21863172,atopy_IN_ASTHMA,0.19651025115949727,1.4855908065386667e-5,1,-0.05779267880455072,PDE8A,15,84992507
cg04258944,atopy_IN_ASTHMA,0.19651025115949727,1.5066773036268623e-5,1,-0.05828167701664114,BRD3,9,134049379
cg03494723,atopy_IN_ASTHMA,0.19651025115949727,1.5719003890045702e-5,1,-0.03824833374192832,NA,19,29883001
cg16360432,atopy_IN_ASTHMA,0.19651025115949727,1.57418520085636e-5,1,-0.04226982616774833,TRPV6,7,142885810
cg17364007,atopy_IN_ASTHMA,0.19651025115949727,1.5897277214144527e-5,1,-0.02926938301280801,NA,2,128362748
cg23796525,atopy_IN_ASTHMA,0.19651025115949727,1.6173826065721512e-5,1,0.04862623251781244,FKBP10,17,41822601
cg10512278,atopy_IN_ASTHMA,0.19651025115949727,1.6556049373629438e-5,1,0.0605699455264289,DPEP2,16,67993936
cg11147940,atopy_IN_ASTHMA,0.19651025115949727,1.7286544948552968e-5,1,0.06417395471517275,NA,1,51190314
cg01856536,atopy_IN_ASTHMA,0.19651025115949727,1.735733545528654e-5,1,0.07765163599806083,GALNT18,11,11407471
cg13295422,atopy_IN_ASTHMA,0.19651025115949727,1.8174341347525108e-5,1,0.06661050924030568,CELF2,10,11095722
cg11061137,atopy_IN_ASTHMA,0.19651025115949727,1.8218186963177515e-5,1,0.0635236237646617,IL27,16,28506892
cg06154659,atopy_IN_ASTHMA,0.19651025115949727,1.8393725198833237e-5,1,-0.06253633043555906,BIK,22,43115122
cg14314386,atopy_IN_ASTHMA,0.19651025115949727,1.9712779255712123e-5,1,-0.03540663239382514,NA,3,22113767
cg07737292,atopy_IN_ASTHMA,0.19651025115949727,1.9996112706155785e-5,1,0.09996105506287564,MIR138-2,16,56858548
cg21761784,atopy_IN_ASTHMA,0.19651025115949727,2.053548319397717e-5,1,0.05864610267547639,SCN4B,11,118142943
cg06839111,atopy_IN_ASTHMA,0.19651025115949727,2.0724858141593145e-5,1,-0.05107531605376859,SLC12A4,16,67944547
cg18671554,atopy_IN_ASTHMA,0.19651025115949727,2.1776808816124207e-5,1,-0.04705391837833947,RAB15,14,64960941
cg24660199,atopy_IN_ASTHMA,0.19651025115949727,2.2304200252321648e-5,1,-0.04448372764350979,LRDD,11,802935
cg26792089,atopy_IN_ASTHMA,0.19651025115949727,2.244269845990701e-5,1,0.06423580670320245,IL27,16,28506879
cg19821713,atopy_IN_ASTHMA,0.19651025115949727,2.2889479003469404e-5,1,0.04728712597150075,NA,15,96366587
cg27505312,atopy_IN_ASTHMA,0.19651025115949727,2.315724935593231e-5,1,-0.04679258849185636,TNS1,2,218784979
cg25480793,atopy_IN_ASTHMA,0.19651025115949727,2.371810804270005e-5,1,0.0600483971854342,NA,7,151927220
cg02153397,atopy_IN_ASTHMA,0.19651025115949727,2.39816382399825e-5,1,-0.0139895582484712,GAK,4,871292
cg11286877,atopy_IN_ASTHMA,0.19651025115949727,2.4344655792785818e-5,1,-0.04441449072058241,GPSM1,9,136352984
cg01843946,atopy_IN_ASTHMA,0.19651025115949727,2.456130585453438e-5,1,0.04808376166379412,NA,14,36655229
cg03418659,atopy_IN_ASTHMA,0.19651025115949727,2.4846949514249997e-5,1,0.03532837620396194,MYST1,16,31117093
cg12346269,atopy_IN_ASTHMA,0.19651025115949727,2.4892479063226356e-5,1,-0.04161369285806507,WNT7B,22,45926592
cg20830867,atopy_IN_ASTHMA,0.19651025115949727,2.5077941462839556e-5,1,-0.03480877049118885,NA,3,182684292
cg21972575,atopy_IN_ASTHMA,0.19651025115949727,2.5167902071586653e-5,1,0.04474768263326347,FIGNL2,12,51831820
