p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0012453996797200703,0.9999777899333567,1,3.4869397307895635,0.3246571407405942,0.5131102591033432,0.1362040223778453,0.09310661089834225,46,chr14,37445440,cg00814218,SLC25A21,0.3246571407405942,0.0012453996797200703,2.904691250302289,chr14,37445440,SLC25A21;SLC25A21,14,37445440,1
3.434722649642958e-5,0.9999777899333567,1,-4.6910679519124034,-0.30406928148602447,-0.17287236328673242,-0.43526619968531655,0.06481877572505954,46,chr10,3503185,cg23175573,NA,-0.30406928148602447,3.434722649642958e-5,4.464108326025876,chr10,3503185,,10,3503185,1
7.238156477253972e-4,0.9999777899333567,1,-3.6767872938932213,-0.30204762091393167,-0.13577156179355745,-0.4683236800343059,0.08214987617467097,46,chr14,35096197,cg01088139,SNX6,-0.30204762091393167,7.238156477253972e-4,3.1403720323809865,chr14,35096197,SNX6;SNX6,14,35096197,1
4.419944786337111e-4,0.9999777899333567,1,-3.8462404132678096,-0.2984485597453096,-0.14139207590586877,-0.4555050435847504,0.077594879070948225,46,chr16,73199845,cg00979438,NA,-0.2984485597453096,4.419944786337111e-4,3.3545831557954533,chr16,73199845,,16,73199845,1
0.002280987341266223,0.9999777899333567,1,3.2702113622159517,0.2968021955063267,0.4805042848093096,0.11310010620334376,0.09075933101315152,46,chr6,31096127,cg26566189,PSORS1C1,0.2968021955063267,0.002280987341266223,2.6418771249090076,chr6,31096127,PSORS1C1,6,31096127,1
2.591822391046193e-4,0.9999777899333567,1,4.026799202300848,0.2900197921511911,0.4357972836468105,0.14424230065557173,0.07202241223885178,46,chr17,5561734,cg11261447,NLRP1,0.2900197921511911,2.591822391046193e-4,3.586394762535782,chr17,5465054,NLRP1;NLRP1;NLRP1;NLRP1;NLRP1,17,5561734,1
0.0045751283321271525,0.9999777899333567,1,-3.0129140507960313,-0.28833235898163767,-0.09463243420741119,-0.48203228375586415,0.09569883312982606,46,chr9,12795679,cg04109990,LURAP1L,-0.28833235898163767,0.0045751283321271525,2.339596719487588,chr9,12795679,LURAP1L;LURAP1L-AS1,9,12795679,1
0.0022535309659753463,0.9999777899333567,1,3.274607094935856,0.2882463097185582,0.4664133506594066,0.1100792687777098,0.08802470078450875,46,chr3,53839610,cg12727358,CACNA1D,0.2882463097185582,0.0022535309659753463,2.6471364698717603,chr3,53839610,CACNA1D;CACNA1D;CACNA1D,3,53839610,1
0.0029663021601202054,0.9999777899333567,1,3.1742052683006152,0.2860809065248219,0.46850268054246846,0.10365913250717532,0.09012678208992513,46,chr3,52749334,cg01132052,NEK4,0.2860809065248219,0.0029663021601202054,2.5277846119762186,chr3,52749334,NEK4;NEK4,3,52749334,1
0.001007449221536983,0.9999777899333567,1,-3.5615807312556202,-0.2858594798771846,-0.12340465445866175,-0.44831430529570737,0.08026196833572996,46,chr17,113262,cg16767880,RPH3AL,-0.2858594798771846,0.001007449221536983,2.996776834379947,chr17,113262,RPH3AL,17,113262,1
9.485580293355569e-4,0.9999777899333567,1,3.5826728836182578,0.282404393388263,0.44195082738905217,0.12285795938747385,0.07882505675568506,46,chr1,227689829,cg14710850,NA,0.282404393388263,9.485580293355569e-4,3.022936095403334,chr1,227689829,,1,227689829,1
